"Time","AVG_resident_memory_bytes","MAX_resident_memory_bytes_max","MIN_resident_memory_bytes_min"
2023-03-15 10:00:00,66355200,66355200,66355200
2023-03-15 10:02:00,65449984,65449984,65449984
2023-03-15 10:04:00,65449984,65449984,65449984
2023-03-15 10:06:00,65318912,65318912,65318912
2023-03-15 10:08:00,65859584,65859584,65859584
2023-03-15 10:10:00,65691648,65691648,65691648
2023-03-15 10:12:00,65630208,65630208,65630208
2023-03-15 10:14:00,65630208,65630208,65630208
2023-03-15 10:16:00,66994176,66994176,66994176
2023-03-15 10:18:00,66998272,66998272,66998272
2023-03-15 10:20:00,65716224,65716224,65716224
2023-03-15 10:22:00,65716224,65716224,65716224
2023-03-15 10:24:00,65716224,65716224,65716224
2023-03-15 10:26:00,65716224,65716224,65716224
2023-03-15 10:28:00,65716224,65716224,65716224
2023-03-15 10:30:00,65724416,65724416,65724416
2023-03-15 10:32:00,65724416,65724416,65724416
2023-03-15 10:34:00,65724416,65724416,65724416
2023-03-15 10:36:00,65724416,65724416,65724416
2023-03-15 10:38:00,65724416,65724416,65724416
2023-03-15 10:40:00,65724416,65724416,65724416
2023-03-15 10:42:00,65724416,65724416,65724416
2023-03-15 10:44:00,65724416,65724416,65724416
2023-03-15 10:46:00,65724416,65724416,65724416
2023-03-15 10:48:00,65724416,65724416,65724416
2023-03-15 10:50:00,65724416,65724416,65724416
2023-03-15 10:52:00,65724416,65724416,65724416
2023-03-15 10:54:00,65724416,65724416,65724416
2023-03-15 10:56:00,65724416,65724416,65724416
2023-03-15 10:58:00,65724416,65724416,65724416
2023-03-15 11:00:00,65724416,65724416,65724416
2023-03-15 11:02:00,65724416,65724416,65724416
2023-03-15 11:04:00,65724416,65724416,65724416
2023-03-15 11:06:00,65724416,65724416,65724416
2023-03-15 11:08:00,65724416,65724416,65724416
2023-03-15 11:10:00,65724416,65724416,65724416
2023-03-15 11:12:00,65724416,65724416,65724416
2023-03-15 11:14:00,65724416,65724416,65724416
2023-03-15 11:16:00,65724416,65724416,65724416
2023-03-15 11:18:00,66600960,66600960,66600960
2023-03-15 11:20:00,67411968,67411968,67411968
2023-03-15 11:22:00,65806336,65806336,65806336
2023-03-15 11:24:00,65806336,65806336,65806336
2023-03-15 11:26:00,65806336,65806336,65806336
2023-03-15 11:28:00,65806336,65806336,65806336
2023-03-15 11:30:00,65806336,65806336,65806336
2023-03-15 11:32:00,64970752,64970752,64970752
2023-03-15 11:34:00,64888832,64888832,64888832
2023-03-15 11:36:00,64888832,64888832,64888832
2023-03-15 11:38:00,64888832,64888832,64888832
2023-03-15 11:40:00,64888832,64888832,64888832
2023-03-15 11:42:00,64888832,64888832,64888832
2023-03-15 11:44:00,64888832,64888832,64888832
2023-03-15 11:46:00,64888832,64888832,64888832
2023-03-15 11:48:00,64888832,64888832,64888832
2023-03-15 11:50:00,64888832,64888832,64888832
2023-03-15 11:52:00,64888832,64888832,64888832
2023-03-15 11:54:00,64888832,64888832,64888832
2023-03-15 11:56:00,64888832,64888832,64888832
2023-03-15 11:58:00,64888832,64888832,64888832
2023-03-15 12:00:00,64888832,64888832,64888832
2023-03-15 12:02:00,64888832,64888832,64888832
2023-03-15 12:04:00,64786432,64786432,64786432
2023-03-15 12:06:00,65437696,65437696,65437696
2023-03-15 12:08:00,65437696,65437696,65437696
2023-03-15 12:10:00,65437696,65437696,65437696
2023-03-15 12:12:00,65437696,65437696,65437696
2023-03-15 12:14:00,65437696,65437696,65437696
2023-03-15 12:16:00,65437696,65437696,65437696
2023-03-15 12:18:00,66146304,66146304,66146304
2023-03-15 12:20:00,67289088,67289088,67289088
2023-03-15 12:22:00,65826816,65826816,65826816
2023-03-15 12:24:00,65826816,65826816,65826816
2023-03-15 12:26:00,65826816,65826816,65826816
2023-03-15 12:28:00,65826816,65826816,65826816
2023-03-15 12:30:00,65826816,65826816,65826816
2023-03-15 12:32:00,65826816,65826816,65826816
2023-03-15 12:34:00,65826816,65826816,65826816
2023-03-15 12:36:00,65826816,65826816,65826816
2023-03-15 12:38:00,65826816,65826816,65826816
2023-03-15 12:40:00,65826816,65826816,65826816
2023-03-15 12:42:00,65126400,65126400,65126400
2023-03-15 12:44:00,66850816,66850816,66850816
2023-03-15 12:46:00,66850816,66850816,66850816
2023-03-15 12:48:00,65212416,65212416,65212416
2023-03-15 12:50:00,65753088,65753088,65753088
2023-03-15 12:52:00,65753088,65753088,65753088
2023-03-15 12:54:00,65404928,65404928,65404928
2023-03-15 12:56:00,65404928,65404928,65404928
2023-03-15 12:58:00,65404928,65404928,65404928
2023-03-15 13:00:00,65404928,65404928,65404928
2023-03-15 13:02:00,65404928,65404928,65404928
2023-03-15 13:04:00,65404928,65404928,65404928
2023-03-15 13:06:00,64925696,64925696,64925696
2023-03-15 13:08:00,65691648,65691648,65691648
2023-03-15 13:10:00,67043328,67043328,67043328
2023-03-15 13:12:00,65998848,65998848,65998848
2023-03-15 13:14:00,65703936,65703936,65703936
2023-03-15 13:16:00,65703936,65703936,65703936
2023-03-15 13:18:00,65703936,65703936,65703936
2023-03-15 13:20:00,65703936,65703936,65703936
2023-03-15 13:22:00,64655360,64655360,64655360
2023-03-15 13:24:00,64872448,64872448,64872448
2023-03-15 13:26:00,64872448,64872448,64872448
2023-03-15 13:28:00,64872448,64872448,64872448
2023-03-15 13:30:00,67014656,67014656,67014656
2023-03-15 13:32:00,67014656,67014656,67014656
2023-03-15 13:34:00,65507328,65507328,65507328
2023-03-15 13:36:00,65388544,65388544,65388544
2023-03-15 13:38:00,66252800,66252800,66252800
2023-03-15 13:40:00,65531904,65531904,65531904
2023-03-15 13:42:00,65531904,65531904,65531904
2023-03-15 13:44:00,65531904,65531904,65531904
2023-03-15 13:46:00,65531904,65531904,65531904
2023-03-15 13:48:00,65531904,65531904,65531904
2023-03-15 13:50:00,65531904,65531904,65531904
2023-03-15 13:52:00,65531904,65531904,65531904
2023-03-15 13:54:00,65531904,65531904,65531904
2023-03-15 13:56:00,65531904,65531904,65531904
2023-03-15 13:58:00,65531904,65531904,65531904
2023-03-15 14:00:00,65531904,65531904,65531904
2023-03-15 14:02:00,65531904,65531904,65531904
2023-03-15 14:04:00,65531904,65531904,65531904
2023-03-15 14:06:00,65531904,65531904,65531904
2023-03-15 14:08:00,65531904,65531904,65531904
2023-03-15 14:10:00,65531904,65531904,65531904
2023-03-15 14:12:00,65531904,65531904,65531904
2023-03-15 14:14:00,65531904,65531904,65531904
2023-03-15 14:16:00,65531904,65531904,65531904
2023-03-15 14:18:00,65531904,65531904,65531904
2023-03-15 14:20:00,65531904,65531904,65531904
2023-03-15 14:22:00,65396736,65396736,65396736
2023-03-15 14:24:00,65163264,65163264,65163264
2023-03-15 14:26:00,65163264,65163264,65163264
2023-03-15 14:28:00,65163264,65163264,65163264
2023-03-15 14:30:00,64491520,64491520,64491520
2023-03-15 14:32:00,65044480,65044480,65044480
2023-03-15 14:34:00,66392064,66392064,66392064
2023-03-15 14:36:00,66392064,66392064,66392064
2023-03-15 14:38:00,65626112,65626112,65626112
2023-03-15 14:40:00,65581056,65581056,65581056
2023-03-15 14:42:00,65581056,65581056,65581056
2023-03-15 14:44:00,65581056,65581056,65581056
2023-03-15 14:46:00,65581056,65581056,65581056
2023-03-15 14:48:00,65581056,65581056,65581056
2023-03-15 14:50:00,65581056,65581056,65581056
2023-03-15 14:52:00,65581056,65581056,65581056
2023-03-15 14:54:00,65581056,65581056,65581056
2023-03-15 14:56:00,65581056,65581056,65581056
2023-03-15 14:58:00,65581056,65581056,65581056
2023-03-15 15:00:00,64172032,64172032,64172032
2023-03-15 15:02:00,66056192,66056192,66056192
2023-03-15 15:04:00,66867200,66867200,66867200
2023-03-15 15:06:00,65470464,65470464,65470464
2023-03-15 15:08:00,65470464,65470464,65470464
2023-03-15 15:10:00,65470464,65470464,65470464
2023-03-15 15:12:00,65470464,65470464,65470464
2023-03-15 15:14:00,65470464,65470464,65470464
2023-03-15 15:16:00,65470464,65470464,65470464
2023-03-15 15:18:00,65470464,65470464,65470464
2023-03-15 15:20:00,65470464,65470464,65470464
2023-03-15 15:22:00,65470464,65470464,65470464
2023-03-15 15:24:00,66105344,66105344,66105344
2023-03-15 15:26:00,66842624,66842624,66842624
2023-03-15 15:28:00,64266240,64266240,64266240
