"Time","udp:99 ","udp:90","udp:50"
2023-03-15 10:00:00,185,96.4,53.6
2023-03-15 10:10:00,185,96.4,53.6
2023-03-15 10:20:00,185,96.4,53.6
2023-03-15 10:30:00,189,99.0,55.0
2023-03-15 10:40:00,191,110,56.2
2023-03-15 10:50:00,185,96.4,53.6
2023-03-15 11:00:00,189,99.0,55.0
2023-03-15 11:10:00,188,97.9,54.4
2023-03-15 11:20:00,185,96.4,53.6
2023-03-15 11:30:00,185,96.4,53.6
2023-03-15 11:40:00,189,99.0,55.0
2023-03-15 11:50:00,189,99.0,55.0
2023-03-15 12:00:00,168,92.9,51.6
2023-03-15 12:10:00,161,92.4,51.3
2023-03-15 12:20:00,129,91.3,50.7
2023-03-15 12:30:00,174,93.6,52.0
2023-03-15 12:40:00,174,93.6,52.0
2023-03-15 12:50:00,180,94.7,52.6
2023-03-15 13:00:00,180,94.7,52.6
2023-03-15 13:10:00,179,94.5,52.5
2023-03-15 13:20:00,163,92.5,51.4
2023-03-15 13:30:00,129,91.3,50.7
2023-03-15 13:40:00,179,94.5,52.5
2023-03-15 13:50:00,185,96.4,53.6
2023-03-15 14:00:00,185,96.4,53.6
2023-03-15 14:10:00,175,93.8,52.1
2023-03-15 14:20:00,189,99.0,55.0
2023-03-15 14:30:00,185,96.4,53.6
2023-03-15 14:40:00,185,96.4,53.6
2023-03-15 14:50:00,189,99.0,55.0
2023-03-15 15:00:00,185,96.4,53.6
2023-03-15 15:10:00,188,97.9,54.4
2023-03-15 15:20:00,173,93.5,51.9
2023-03-15 15:30:00,189,99.0,55.0
2023-03-15 15:40:00,189,99.0,55.0
2023-03-15 15:50:00,189,99.0,55.0
2023-03-15 16:00:00,189,99.0,55.0
2023-03-15 16:10:00,188,97.9,54.4
2023-03-15 16:20:00,174,93.6,52.0
2023-03-15 16:30:00,174,93.6,52.0
2023-03-15 16:40:00,163,92.5,51.4
2023-03-15 16:50:00,129,91.3,50.7
2023-03-15 17:00:00,163,92.5,51.4
2023-03-15 17:10:00,161,92.4,51.3
2023-03-15 17:20:00,163,92.5,51.4
2023-03-15 17:30:00,174,93.6,52.0
2023-03-15 17:40:00,129,91.3,50.7
2023-03-15 17:50:00,185,96.7,53.7
2023-03-15 18:00:00,185,96.4,53.6
2023-03-15 18:10:00,190,100,55.6
2023-03-15 18:20:00,189,99.3,55.2
2023-03-15 18:30:00,191,110,56.2
2023-03-15 18:40:00,185,96.4,53.6
2023-03-15 18:50:00,189,99.3,55.2
2023-03-15 19:00:00,189,99.0,55.0
2023-03-15 19:10:00,183,95.6,53.1
2023-03-15 19:20:00,185,96.7,53.7
2023-03-15 19:30:00,173,93.5,51.9
2023-03-15 19:40:00,189,99.0,55.0
2023-03-15 19:50:00,185,96.7,53.7
2023-03-15 20:00:00,189,99.0,55.0
2023-03-15 20:10:00,189,99.0,55.0
2023-03-15 20:20:00,185,96.7,53.7
2023-03-15 20:30:00,163,92.5,51.4
2023-03-15 20:40:00,174,93.6,52.0
2023-03-15 20:50:00,163,92.5,51.4
2023-03-15 21:00:00,174,93.6,52.0
2023-03-15 21:10:00,161,92.4,51.3
2023-03-15 21:20:00,163,92.5,51.4
2023-03-15 21:30:00,163,92.5,51.4
2023-03-15 21:40:00,163,92.5,51.4
2023-03-15 21:50:00,175,93.7,52.1
2023-03-15 22:00:00,173,93.5,51.9
2023-03-15 22:10:00,188,97.9,54.4
2023-03-15 22:20:00,185,96.7,53.7
2023-03-15 22:30:00,185,96.4,53.6
2023-03-15 22:40:00,173,93.5,51.9
2023-03-15 22:50:00,189,99.3,55.2
2023-03-15 23:00:00,185,96.4,53.6
2023-03-15 23:10:00,183,95.6,53.1
2023-03-15 23:20:00,185,96.4,53.6
2023-03-15 23:30:00,189,99.0,55.0
2023-03-15 23:40:00,185,96.4,53.6
2023-03-15 23:50:00,185,96.4,53.6
2023-03-16 00:00:00,189,99.0,55.0
2023-03-16 00:10:00,183,95.6,53.1
2023-03-16 00:20:00,185,96.4,53.6
2023-03-16 00:30:00,189,99.0,55.0
2023-03-16 00:40:00,174,93.6,52.0
2023-03-16 00:50:00,163,92.5,51.4
2023-03-16 01:00:00,174,93.6,52.0
2023-03-16 01:10:00,161,92.4,51.3
2023-03-16 01:20:00,163,92.5,51.4
2023-03-16 01:30:00,163,92.5,51.4
2023-03-16 01:40:00,163,92.5,51.4
2023-03-16 01:50:00,161,92.4,51.3
2023-03-16 02:00:00,173,93.5,51.9
2023-03-16 02:10:00,188,97.9,54.4
2023-03-16 02:20:00,185,96.4,53.6
2023-03-16 02:30:00,185,96.4,53.6
2023-03-16 02:40:00,173,93.5,51.9
2023-03-16 02:50:00,185,96.4,53.6
2023-03-16 03:00:00,189,99.0,55.0
2023-03-16 03:10:00,169,93.0,51.7
2023-03-16 03:20:00,185,96.4,53.6
2023-03-16 03:30:00,189,99.0,55.0
2023-03-16 03:40:00,189,99.0,55.0
2023-03-16 03:50:00,173,93.5,51.9
2023-03-16 04:00:00,189,99.0,55.0
2023-03-16 04:10:00,183,95.6,53.1
2023-03-16 04:20:00,185,96.4,53.6
2023-03-16 04:30:00,185,96.4,53.6
2023-03-16 04:40:00,191,110,56.3
2023-03-16 04:50:00,163,92.5,51.4
2023-03-16 05:00:00,129,91.3,50.7
2023-03-16 05:10:00,179,94.5,52.5
2023-03-16 05:20:00,163,92.5,51.4
2023-03-16 05:30:00,174,93.6,52.0
2023-03-16 05:40:00,174,93.6,52.0
2023-03-16 05:50:00,174,93.6,52.0
2023-03-16 06:00:00,174,93.6,52.0
2023-03-16 06:10:00,163,92.5,51.4
2023-03-16 06:20:00,174,93.6,52.0
2023-03-16 06:30:00,189,99.0,55.0
2023-03-16 06:40:00,189,99.0,55.0
2023-03-16 06:50:00,185,96.4,53.6
2023-03-16 07:00:00,185,96.4,53.6
2023-03-16 07:10:00,188,97.9,54.4
