"Time","sum(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode!=""idle""}[5m]))"
2023-03-15 10:00:00,0.849
2023-03-15 10:20:00,0.759
2023-03-15 10:40:00,0.612
2023-03-15 11:00:00,0.837
2023-03-15 11:20:00,0.876
2023-03-15 11:40:00,0.823
2023-03-15 12:00:00,0.846
2023-03-15 12:20:00,0.870
2023-03-15 12:40:00,0.857
2023-03-15 13:00:00,0.671
2023-03-15 13:20:00,0.753
2023-03-15 13:40:00,0.920
2023-03-15 14:00:00,0.883
2023-03-15 14:20:00,0.839
2023-03-15 14:40:00,0.840
2023-03-15 15:00:00,0.878
2023-03-15 15:20:00,0.895
2023-03-15 15:40:00,0.699
2023-03-15 16:00:00,0.763
2023-03-15 16:20:00,0.844
2023-03-15 16:40:00,0.864
2023-03-15 17:00:00,0.843
2023-03-15 17:20:00,0.850
2023-03-15 17:40:00,0.929
2023-03-15 18:00:00,0.873
2023-03-15 18:20:00,0.666
2023-03-15 18:40:00,0.784
2023-03-15 19:00:00,0.889
2023-03-15 19:20:00,0.881
2023-03-15 19:40:00,0.806
2023-03-15 20:00:00,0.891
2023-03-15 20:20:00,0.854
2023-03-15 20:40:00,0.727
2023-03-15 21:00:00,0.670
2023-03-15 21:20:00,0.749
2023-03-15 21:40:00,0.890
2023-03-15 22:00:00,0.971
2023-03-15 22:20:00,0.819
2023-03-15 22:40:00,0.847
2023-03-15 23:00:00,0.893
2023-03-15 23:20:00,0.813
2023-03-15 23:40:00,0.683
2023-03-16 00:00:00,0.807
2023-03-16 00:20:00,0.879
2023-03-16 00:40:00,0.861
2023-03-16 01:00:00,0.829
2023-03-16 01:20:00,0.860
2023-03-16 01:40:00,0.851
2023-03-16 02:00:00,0.936
2023-03-16 02:20:00,0.690
2023-03-16 02:40:00,0.747
2023-03-16 03:00:00,0.891
2023-03-16 03:20:00,0.856
2023-03-16 03:40:00,0.802
2023-03-16 04:00:00,0.874
2023-03-16 04:20:00,0.854
2023-03-16 04:40:00,0.774
2023-03-16 05:00:00,0.507
2023-03-16 05:20:00,0.550
2023-03-16 05:40:00,0.655
2023-03-16 06:00:00,0.695
2023-03-16 06:20:00,0.646
2023-03-16 06:40:00,0.656
2023-03-16 07:00:00,0.685
2023-03-16 07:20:00,0.539
2023-03-16 07:40:00,0.381
2023-03-16 08:00:00,0.569
2023-03-16 08:20:00,0.654
2023-03-16 08:40:00,0.641
2023-03-16 09:00:00,0.642
2023-03-16 09:20:00,0.623
2023-03-16 09:40:00,0.650
2023-03-16 10:00:00,0.867
2023-03-16 10:20:00,0.695
2023-03-16 10:40:00,0.771
2023-03-16 11:00:00,0.942
2023-03-16 11:20:00,0.808
2023-03-16 11:40:00,0.821
2023-03-16 12:00:00,0.890
2023-03-16 12:20:00,0.888
2023-03-16 12:40:00,0.776
2023-03-16 13:00:00,0.660
2023-03-16 13:20:00,0.787
2023-03-16 13:40:00,0.866
2023-03-16 14:00:00,0.861
2023-03-16 14:20:00,0.848
2023-03-16 14:40:00,0.862
2023-03-16 15:00:00,0.938
2023-03-16 15:20:00,0.827
2023-03-16 15:40:00,0.656
2023-03-16 16:00:00,0.837

