"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-15 10:00:00,4149,3499,5097,6245,183,32496,0,4184,359,144
2023-03-15 10:04:00,4266,3479,4366,6305,169,33835,0,4214,359,144
2023-03-15 10:08:00,4356,3505,5118,6383,187,31336,0,4628,364,142
2023-03-15 10:12:00,4668,3506,6546,7295,189,35401,0,6424,401,537
2023-03-15 10:16:00,4649,4085,5592,9519,178,33507,0,4862,417,145
2023-03-15 10:20:00,4484,3535,5183,6230,171,34824,0,4824,362,145
2023-03-15 10:24:00,4353,3516,4284,6327,183,35707,0,4284,362,146
2023-03-15 10:28:00,4253,3435,4189,6250,185,31397,0,4111,362,143
2023-03-15 10:32:00,4973,3465,8186,8628,179,32834,0,8185,477,458
2023-03-15 10:36:00,12565,4055,5557,9560,198,35208,0,5032,356,142
2023-03-15 10:40:00,4369,3503,5245,6230,192,33196,0,4951,361,145
2023-03-15 10:44:00,4297,3484,4932,6274,187,36257,0.195,4665,375,145
2023-03-15 10:48:00,4269,3484,4261,6253,176,33294,0.220,3916,379,143
2023-03-15 10:52:00,4966,3441,5156,8281,176,35733,0,4309,450,144
2023-03-15 10:56:00,4300,3940,5416,8787,178,32512,0,4969,362,145
2023-03-15 11:00:00,4332,3431,5175,6289,183,33855,0,4635,364,142
2023-03-15 11:04:00,4246,3467,7364,6281,180,32377,0,7016,365,504
2023-03-15 11:08:00,4589,3479,5062,7495,190,34027,0,4626,409,145
2023-03-15 11:12:00,4493,3489,4314,6757,177,32493,0,3980,377,144
2023-03-15 11:16:00,4308,3999,5127,9264,183,35180,0,4718,358,144
2023-03-15 11:20:00,4267,3498,5365,6204,191,36254,0,4658,362,143
2023-03-15 11:24:00,4293,3479,7397,6191,189,37002,0,7509,361,299
2023-03-15 11:28:00,4953,3446,5461,8558,176,34990,0,5017,470,145
2023-03-15 11:32:00,4195,3466,4410,6236,176,34342,0,4226,358,144
2023-03-15 11:36:00,9465,4059,4527,11056,173,35315,0,4143,361,144
2023-03-15 11:40:00,4328,3443,5212,6158,183,34394,0,4422,360,144
2023-03-15 11:44:00,4619,3472,5385,6869,167,35896,0,4742,412,144
2023-03-15 11:48:00,4754,3484,5490,7751,192,33379,0,4731,425,143
2023-03-15 11:52:00,4397,3445,5127,6318,176,34688,0,4766,367,145
2023-03-15 11:56:00,4342,4114,6624,8942,181,35127,0,6704,362,641
2023-03-15 12:00:00,4339,3424,4482,6197,173,34113,0.203,4329,361,144
2023-03-15 12:04:00,4757,3497,5851,8442,172,36456,0,5110,449,147
2023-03-15 12:08:00,4326,3440,5243,6338,159,34722,0,4719,364,142
2023-03-15 12:12:00,4326,3479,5011,6451,170,35901,0,4712,363,142
2023-03-15 12:16:00,4281,3961,6938,8759,166,35156,0,6817,358,285
2023-03-15 12:20:00,4344,3486,4099,6223,169,37218,0,3973,365,143
2023-03-15 12:24:00,5039,3438,4777,8566,176,33690,0,4576,457,143
