"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-15 10:00:00,1351,1359,6091,1521,156,3097,0,5590,72.3,585
2023-03-15 10:04:00,1410,1368,5324,1589,140,3173,0,5350,75.4,586
2023-03-15 10:08:00,1494,1378,6126,1602,153,2775,0,5812,76.6,564
2023-03-15 10:12:00,1480,1399,7589,2041,159,3121,0,7839,78.4,2114
2023-03-15 10:16:00,1425,1455,6754,2008,145,3227,0,6351,72.5,588
2023-03-15 10:20:00,1487,1381,6143,1526,146,3057,0,6025,71.5,586
2023-03-15 10:24:00,1431,1379,5646,1565,157,2843,0,5691,76.8,587
2023-03-15 10:28:00,1421,1363,5037,1557,157,3129,0,5428,80.2,579
2023-03-15 10:32:00,1442,1347,9342,2557,152,3164,0,9872,79.1,4859
2023-03-15 10:36:00,1910,1466,6750,1623,170,3100,0,6623,74.5,567
2023-03-15 10:40:00,1429,1371,6255,1534,156,2934,0,6221,75.2,596
2023-03-15 10:44:00,1401,1364,6034,1595,156,2819,0,5881,81.9,600
2023-03-15 10:48:00,1389,1374,5308,1533,144,3034,0,5212,79.3,591
2023-03-15 10:52:00,1439,1353,6028,2479,160,2962,0,5857,80.9,594
2023-03-15 10:56:00,1417,1428,6462,1673,146,3092,0,6436,76.9,592
2023-03-15 11:00:00,1433,1356,6218,1558,154,2992,0,5874,78.0,571
2023-03-15 11:04:00,1408,1368,8270,1577,153,2955,0,8353,79.3,2604
2023-03-15 11:08:00,1447,1373,6071,2258,155,2973,0,5944,80.5,591
2023-03-15 11:12:00,1394,1384,5471,1707,153,2921,0,5260,74.1,589
2023-03-15 11:16:00,1414,1415,6362,1639,156,3060,0,6064,71.0,583
2023-03-15 11:20:00,1444,1360,6340,1515,157,3371,0,5949,74.0,578
2023-03-15 11:24:00,1388,1364,8387,1500,175,3157,0,8904,71.4,3791
2023-03-15 11:28:00,1413,1371,6505,2662,152,2989,0,6341,77.2,600
2023-03-15 11:32:00,1358,1371,5593,1524,142,2963,0,5609,72.2,577
2023-03-15 11:36:00,1728,1475,5605,1698,151,3364,0,5717,78.5,594
2023-03-15 11:40:00,1417,1371,6145,1440,149,2942,0,5644,74.5,586
2023-03-15 11:44:00,1460,1354,6365,1816,142,2929,0,6047,81.9,585
2023-03-15 11:48:00,1419,1381,6550,2335,162,3188,0,6071,82.6,591
2023-03-15 11:52:00,1448,1368,6137,1527,150,3021,0,6116,78.8,576
2023-03-15 11:56:00,1427,1471,8072,1681,149,3254,0,8294,76.0,3105
2023-03-15 12:00:00,1433,1352,5648,1461,146,3129,0,5511,76.9,593
2023-03-15 12:04:00,1388,1380,6978,2579,143,3224,0,6800,78.9,607
2023-03-15 12:08:00,1418,1354,6239,1555,135,3072,0,5967,78.4,566
