"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-15 10:00:00,7.85,15.1,1214,40.1,3.07,23.1,0,1406,22.5,19.1
2023-03-15 10:04:00,8.62,15.7,1170,42.7,2.81,23.6,0,1399,24.6,19.3
2023-03-15 10:08:00,9.01,16.0,1251,45.3,3.14,22.1,0,1483,25.1,18.8
2023-03-15 10:12:00,8.96,16.2,1691,46.0,3.28,24.5,0,2158,25.5,47.6
2023-03-15 10:16:00,8.39,16.9,1337,45.2,2.94,24.1,0,1569,22.7,19.2
2023-03-15 10:20:00,8.88,15.6,1250,41.9,2.86,24.8,0,1489,22.2,19.3
2023-03-15 10:24:00,8.56,15.8,1210,41.8,3.04,24.9,0,1453,23.6,19.3
2023-03-15 10:28:00,8.77,15.8,1154,43.5,3.13,22.3,0,1437,25.4,18.9
2023-03-15 10:32:00,8.55,15.1,2012,45.6,2.94,23.3,0,2583,23.5,43.5
2023-03-15 10:36:00,12.4,16.9,1357,46.7,3.18,24.4,0,1622,24.1,18.8
2023-03-15 10:40:00,8.47,15.5,1240,42.0,3.11,23.6,0,1502,24.1,19.5
2023-03-15 10:44:00,8.33,15.7,1234,43.9,3.05,25.3,0,1478,26.4,19.5
2023-03-15 10:48:00,8.31,15.8,1173,42.1,2.88,22.7,0,1396,25.5,19.2
2023-03-15 10:52:00,8.75,15.5,1252,46.7,3.10,25.0,0,1491,26.2,19.3
2023-03-15 10:56:00,8.67,16.8,1312,46.8,2.87,23.4,0,1582,25.0,19.5
2023-03-15 11:00:00,8.76,15.8,1260,43.9,3.16,24.2,0,1482,25.2,18.8
2023-03-15 11:04:00,8.70,15.9,1932,45.0,3.09,22.9,0,2309,25.6,46.3
2023-03-15 11:08:00,8.86,15.9,1249,46.6,3.10,23.5,0,1492,25.5,19.4
2023-03-15 11:12:00,8.30,15.6,1190,44.9,2.90,22.7,0,1408,23.5,19.4
2023-03-15 11:16:00,8.36,16.3,1274,45.5,3.00,24.1,0,1511,22.0,19.1
2023-03-15 11:20:00,8.57,15.4,1240,42.4,3.12,25.5,0,1463,23.3,19.0
2023-03-15 11:24:00,8.13,15.4,1832,41.6,3.10,25.9,0,2307,22.2,31.0
2023-03-15 11:28:00,8.61,15.5,1304,47.1,3.08,24.5,0,1557,24.4,19.4
2023-03-15 11:32:00,7.95,15.4,1185,41.1,2.85,23.7,0,1419,22.1,19.2
2023-03-15 11:36:00,10.8,16.8,1237,48.1,3.05,24.5,0,1495,25.0,19.3
2023-03-15 11:40:00,8.40,15.7,1233,40.5,2.98,24.0,0,1438,24.1,19.4
2023-03-15 11:44:00,8.86,15.3,1262,42.3,2.81,24.8,0,1498,26.2,19.3
2023-03-15 11:48:00,8.59,16.0,1307,45.4,3.23,23.6,0,1530,26.7,19.2
2023-03-15 11:52:00,8.75,15.8,1254,44.2,2.87,23.7,0,1514,25.6,19.1
2023-03-15 11:56:00,8.58,17.4,1953,47.2,2.92,24.4,0,2378,24.7,54.1
2023-03-15 12:00:00,8.63,15.7,1202,43.1,2.91,23.7,0,1440,24.9,19.1
2023-03-15 12:04:00,8.45,15.9,1351,48.0,2.86,25.4,0,1628,25.8,19.3
2023-03-15 12:08:00,8.61,15.6,1256,43.8,2.65,24.3,0,1487,25.4,19.0
2023-03-15 12:12:00,8.48,15.9,1264,45.7,2.90,25.0,0,1516,25.2,19.1
2023-03-15 12:16:00,8.46,16.6,1786,46.2,2.96,24.7,0,2189,24.4,30.9
2023-03-15 12:20:00,8.56,15.9,1186,43.0,2.83,25.6,0,1405,25.2,19.3
2023-03-15 12:24:00,8.73,15.0,1250,45.3,2.91,23.4,0,1482,22.1,19.1
2023-03-15 12:28:00,8.94,16.1,1254,44.7,3.20,24.5,0,1471,25.2,19.4
2023-03-15 12:32:00,8.52,15.8,1251,43.3,3.11,24.5,0,1485,24.1,19.6
2023-03-15 12:36:00,10.8,16.9,1331,46.4,2.88,21.8,0,1564,21.4,18.9
2023-03-15 12:40:00,8.39,15.6,1241,44.4,3.22,26.1,0,1493,24.0,19.3
2023-03-15 12:44:00,8.45,15.2,1203,43.2,2.93,23.9,0.0161,1424,23.2,19.4
2023-03-15 12:48:00,8.20,15.0,1991,43.0,3.10,24.4,0,2576,21.9,54.9
2023-03-15 12:52:00,8.33,15.4,1247,43.3,2.77,22.8,0,1495,23.3,18.9
2023-03-15 12:56:00,8.64,16.3,1305,46.2,3.02,24.1,0,1552,22.9,19.5
2023-03-15 13:00:00,8.25,15.4,1308,45.8,3.01,24.2,0,1562,22.4,19.2
2023-03-15 13:04:00,8.82,16.4,1232,44.0,2.87,24.8,0.0149,1427,25.1,19.7
2023-03-15 13:08:00,8.38,15.1,1611,42.3,2.97,23.5,0,1991,22.3,26.2
2023-03-15 13:12:00,8.21,15.5,1214,42.6,3.00,23.4,0,1458,22.6,19.1
2023-03-15 13:16:00,8.09,16.1,1300,44.9,3.12,23.9,0,1514,21.9,19.0
2023-03-15 13:20:00,8.20,15.4,1289,45.7,3.08,24.9,0.0134,1535,22.8,19.4
2023-03-15 13:24:00,8.62,15.6,1275,43.6,2.94,23.6,0,1488,24.8,19.3
2023-03-15 13:28:00,8.28,15.2,1210,40.7,3.16,23.5,0,1421,22.2,19.5
2023-03-15 13:32:00,8.31,15.3,1193,44.4,2.97,24.1,0,1419,22.6,18.8
2023-03-15 13:36:00,10.8,16.5,1372,48.8,3.03,24.4,0,1656,22.5,19.0
2023-03-15 13:40:00,8.21,15.4,2150,42.6,2.78,25.9,0,2605,21.6,62.8
2023-03-15 13:44:00,8.57,15.8,1247,43.9,2.88,23.2,0,1504,25.7,19.1
2023-03-15 13:48:00,8.15,14.9,1252,42.3,3.09,23.3,0,1455,22.7,19.1
2023-03-15 13:52:00,8.03,15.6,1211,42.4,3.07,24.1,0,1482,21.9,19.1
2023-03-15 13:56:00,8.63,16.1,1284,47.1,2.87,24.1,0,1553,23.4,19.1
2023-03-15 14:00:00,8.20,14.9,1493,42.2,2.78,23.6,0,1835,21.8,25.7
2023-03-15 14:04:00,8.42,15.1,1277,42.8,2.85,24.3,0,1578,22.0,19.3
2023-03-15 14:08:00,7.96,15.3,1228,43.3,2.87,23.7,0,1488,21.9,19.1
2023-03-15 14:12:00,7.98,15.2,1228,42.3,2.88,21.3,0,1421,21.5,19.2
2023-03-15 14:16:00,8.17,16.2,1260,47.7,2.75,24.6,0,1506,22.4,19.3
2023-03-15 14:20:00,8.41,15.3,1243,43.3,2.85,24.8,0,1486,22.0,19.0
2023-03-15 14:24:00,8.41,15.2,1219,42.5,2.85,24.0,0,1445,22.5,19.3
2023-03-15 14:28:00,8.58,15.6,1236,42.6,2.92,24.2,0,1472,25.3,19.2
2023-03-15 14:32:00,8.32,15.1,2275,46.9,3.06,24.0,0,2826,22.1,63.7
2023-03-15 14:36:00,10.6,16.5,1294,47.2,3.06,23.6,0,1571,22.4,19.1
2023-03-15 14:40:00,8.49,15.4,1120,41.1,2.85,23.5,0.0171,1400,21.7,19.4
2023-03-15 14:44:00,8.24,15.3,1255,42.8,2.91,24.9,0,1472,22.0,19.2
2023-03-15 14:48:00,8.35,15.2,1317,42.3,2.83,23.6,0,1557,22.0,19.2
2023-03-15 14:52:00,8.29,15.3,1510,47.0,3.01,24.7,0,1761,23.7,23.4
2023-03-15 14:56:00,8.28,16.4,1266,46.3,3.03,24.8,0,1527,24.6,19.6
