"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-03-15 10:00:00,4149,6998,1004094,24980,550,64993,0,970663,11853,2022
2023-03-15 10:04:00,4266,6958,860184,25222,508,67671,0,977672,11835,2016
2023-03-15 10:08:00,4356,7010,1008340,25533,561,62671,0,1073648,12014,1989
2023-03-15 10:12:00,4668,7012,1289551,29180,568,70801,0,1490381,13248,7520
2023-03-15 10:16:00,4649,8170,1101690,38075,533,67015,0,1128030,13749,2035
2023-03-15 10:20:00,4484,7070,1021034,24919,514,69648,0,1119082,11931,2036
2023-03-15 10:24:00,4353,7031,843897,25307,550,71413,0,993954,11949,2043
2023-03-15 10:28:00,4253,6871,825313,25000,554,62794,0,953858,11962,1998
2023-03-15 10:32:00,4973,6929,1612557,34511,536,65669,0,1899019,15725,6413
2023-03-15 10:36:00,12565,8111,1094636,38238,595,70416,0,1167340,11743,1990
2023-03-15 10:40:00,4369,7005,1033272,24922,575,66391,0,1148567,11926,2033
2023-03-15 10:44:00,4297,6968,971518,25095,562,72514,0.976,1082315,12366,2026
2023-03-15 10:48:00,4269,6968,839324,25010,529,66588,1.10,908397,12494,1998
2023-03-15 10:52:00,4966,6882,1015811,33125,529,71466,0,999711,14843,2012
2023-03-15 10:56:00,4300,7879,1066867,35147,534,65023,0,1152836,11949,2033
2023-03-15 11:00:00,4332,6863,1019532,25157,548,67710,0,1075299,12016,1982
2023-03-15 11:04:00,4246,6934,1450623,25122,541,64755,0,1627788,12029,7056
2023-03-15 11:08:00,4589,6958,997283,29982,570,68055,0,1073121,13494,2029
2023-03-15 11:12:00,4493,6978,849943,27028,531,64986,0,923375,12435,2021
2023-03-15 11:16:00,4308,7999,1009927,37058,549,70360,0,1094491,11819,2014
2023-03-15 11:20:00,4267,6995,1056945,24817,572,72508,0,1080636,11936,2000
2023-03-15 11:24:00,4293,6958,1457279,24762,568,74005,0,1742099,11929,4182
2023-03-15 11:28:00,4953,6892,1075798,34233,529,69980,0,1163916,15524,2031
2023-03-15 11:32:00,4195,6931,868752,24944,528,68684,0,980398,11811,2012
2023-03-15 11:36:00,9465,8117,891742,44222,520,70631,0,961238,11919,2015
2023-03-15 11:40:00,4328,6885,1026711,24632,549,68789,0,1025799,11891,2016
2023-03-15 11:44:00,4619,6944,1060840,27476,502,71792,0,1100162,13603,2017
2023-03-15 11:48:00,4754,6969,1081445,31005,576,66758,0,1097542,14027,2006
2023-03-15 11:52:00,4397,6890,1009952,25274,529,69376,0,1105672,12098,2030
2023-03-15 11:56:00,4342,8227,1304942,35768,542,70254,0,1555333,11948,8977
2023-03-15 12:00:00,4339,6849,882999,24790,520,68227,1.02,1004304,11929,2017
2023-03-15 12:04:00,4757,6994,1152642,33766,517,72912,0,1185435,14805,2054
2023-03-15 12:08:00,4326,6881,1032849,25351,477,69444,0,1094761,12008,1992
2023-03-15 12:12:00,4326,6958,987107,25805,510,71802,0,1093113,11991,1991
2023-03-15 12:16:00,4281,7923,1366746,35037,499,70311,0,1581578,11822,3995
2023-03-15 12:20:00,4344,6971,807580,24890,506,74435,0,921716,12046,2005
2023-03-15 12:24:00,5039,6877,941047,34266,527,67381,0,1061710,15079,2006
2023-03-15 12:28:00,4277,7036,1038843,25676,563,70253,0,1067906,12013,2038
2023-03-15 12:32:00,4269,7021,1022107,25055,578,69942,0,1103032,12017,2042
2023-03-15 12:36:00,10703,8319,1067887,43146,521,61012,0,1117607,11774,1981
2023-03-15 12:40:00,4726,6966,959326,29257,546,75840,0,1057317,13361,2008
2023-03-15 12:44:00,4713,7013,900916,28708,540,67452,0,951290,14101,2023
2023-03-15 12:48:00,4339,6887,1439804,25163,544,68771,0,1787642,11857,8894
2023-03-15 12:52:00,4289,6837,998504,25453,481,65907,0,1106033,11793,1976
2023-03-15 12:56:00,4390,7925,1030052,34864,541,68697,0,1144234,11944,2047
2023-03-15 13:00:00,4831,6915,1054621,33538,531,69577,0,1127955,15119,2016
2023-03-15 13:04:00,4294,7086,944924,24930,531,71386,0,956837,11990,2049
2023-03-15 13:08:00,4342,6907,1151030,25129,511,67592,0,1346661,11924,3203
2023-03-15 13:12:00,4345,6949,1009693,25154,525,68039,0,1017606,11967,1999
2023-03-15 13:16:00,4356,7853,1062012,35668,574,68060,0,1109192,11932,2008
2023-03-15 13:20:00,4926,6907,1062077,34407,541,70209,0,1150985,15120,2005
2023-03-15 13:24:00,4338,6900,1037232,25395,546,66536,0,1090412,11980,2021
2023-03-15 13:28:00,4341,6895,949042,24884,579,68343,0,976692,11968,2046
2023-03-15 13:32:00,4267,6934,891349,25613,498,68637,0,939537,11949,1983
2023-03-15 13:36:00,10921,8344,1100949,45773,560,68875,0,1183417,14533,2006
2023-03-15 13:40:00,4482,7011,1615653,26864,518,73493,0,1832692,12293,10434
2023-03-15 13:44:00,4315,6921,1016235,24779,535,65633,0,1090253,12081,2001
2023-03-15 13:48:00,4332,6893,1043961,25124,570,65730,0,1061825,12017,1991
2023-03-15 13:52:00,4286,6958,915604,25348,554,68432,0,1025847,11864,2003
2023-03-15 13:56:00,4989,7996,982929,43095,500,68678,0,1074211,15321,1987
2023-03-15 14:00:00,4324,6877,1231680,25257,496,67130,2.17,1366508,11960,3178
2023-03-15 14:04:00,4336,6913,1083774,24976,495,69860,0,1113270,11782,2022
2023-03-15 14:08:00,4318,6923,1010492,25427,522,68227,0,1115440,11971,1997
2023-03-15 14:12:00,4335,6956,995212,25227,507,62323,0.793,1010945,11767,2018
2023-03-15 14:16:00,4878,7934,916357,43292,508,72494,0,969178,13964,2021
2023-03-15 14:20:00,4370,6987,998654,25074,523,71097,0,1101360,12022,2001
2023-03-15 14:24:00,4300,6807,981096,25148,515,69183,0,1065018,11828,2030
2023-03-15 14:28:00,4345,6857,1008875,25042,507,68723,0,1061324,12016,2032
2023-03-15 14:32:00,5021,6939,1693512,34687,542,69357,0,1967243,14769,10704
2023-03-15 14:36:00,10623,8156,950874,42591,549,66895,0,1058967,11942,1982
2023-03-15 14:40:00,4365,6934,802793,24995,531,68472,0,975803,11919,2021
2023-03-15 14:44:00,4302,7011,1046648,24853,541,71705,0,1092406,11963,2000
2023-03-15 14:48:00,4332,6925,1114397,24736,523,66578,0,1139024,12026,2006
2023-03-15 14:52:00,4865,6994,1242910,33877,559,71614,0,1323538,15504,2751
2023-03-15 14:56:00,4200,7832,997315,34699,537,72000,0,1087622,11877,2049
2023-03-15 15:00:00,4374,7017,831992,25008,471,68787,0,926213,11836,2042
2023-03-15 15:04:00,4384,6930,967520,25328,558,73465,0,1036266,12051,3003
2023-03-15 15:08:00,4453,6884,1093968,25440,534,69837,0,1135487,13284,2027
2023-03-15 15:12:00,72670,6955,1211698,30437,570,72929,0,1252662,12826,2024
2023-03-15 15:16:00,4231,7939,1066209,36405,508,66151,0,1120847,11752,2025
2023-03-15 15:20:00,4384,6958,912767,24697,493,66547,0,1012264,12080,1996
2023-03-15 15:24:00,4345,6906,1527574,25012,563,68408,0,1781391,11878,9984
2023-03-15 15:28:00,4916,6910,1031837,35259,505,72523,0,1119778,15462,2028
2023-03-15 15:32:00,4368,6894,1022014,25312,501,66233,0,1083627,11959,1989
2023-03-15 15:36:00,10394,8388,1121203,43818,586,65132,0,1137369,11921,2032
2023-03-15 15:40:00,4379,7002,1011569,25181,502,63354,0,1104044,12011,2010
2023-03-15 15:44:00,4285,6965,962525,24847,567,65564,0,1043946,12380,2035
2023-03-15 15:48:00,5105,6824,893904,33401,583,68596,0,1024734,15294,2036
2023-03-15 15:52:00,4338,6916,1015003,25472,586,69354,0,1088683,12106,2010
2023-03-15 15:56:00,4279,8144,1058651,35879,574,66329,0,1155172,11852,4095
2023-03-15 16:00:00,4362,6828,1060278,25378,525,68542,0,1063018,11935,1995
2023-03-15 16:04:00,4763,6837,1103748,31426,579,67399,0,1138456,13633,2031
2023-03-15 16:08:00,4290,6916,893550,28674,520,67209,0,943295,12528,2011
2023-03-15 16:12:00,4353,6873,813771,25759,503,63606,0,1020703,12037,2014
2023-03-15 16:16:00,4280,7838,1762546,37013,537,64535,0,1956012,11737,9986
2023-03-15 16:20:00,4324,6921,1140927,25458,536,65255,0,1105528,11897,2027
2023-03-15 16:24:00,5002,6924,1068487,33754,509,70345,0,1158632,15541,2021
2023-03-15 16:28:00,4274,6826,965935,25395,506,66535,0,1034424,11947,2011
2023-03-15 16:32:00,4353,6869,825658,25589,560,64773,0,959243,11901,2024
2023-03-15 16:36:00,10084,8199,907791,42283,515,66205,0,1025636,12052,2171
2023-03-15 16:40:00,4275,6926,1053407,26419,503,68738,0,1106829,11934,1988
2023-03-15 16:44:00,4771,6909,1050646,32481,527,66866,0,1139720,14950,1977
2023-03-15 16:48:00,4361,6985,1104634,25270,539,65158,0,1078271,11963,6111
2023-03-15 16:52:00,4339,6956,923419,25623,553,68240,0,1026759,12068,1977
2023-03-15 16:56:00,4400,8077,916268,35183,546,66903,0,962307,12005,2007
2023-03-15 17:00:00,4822,6965,1051318,31829,527,68967,0,1166066,14528,2010
2023-03-15 17:04:00,4600,6909,1010548,25118,535,65885,1.08,1104852,11984,2025
2023-03-15 17:08:00,77203,6877,1747493,24766,510,70926,1.20,2095259,11972,9089
2023-03-15 17:12:00,4326,6968,1020476,25340,508,68399,0,1110977,11950,1985
2023-03-15 17:16:00,4329,8183,990477,35738,527,66987,0,991412,12060,1996
2023-03-15 17:20:00,4901,7021,903559,33792,540,64546,0,1001654,15273,1980
2023-03-15 17:24:00,4274,6906,1026252,24903,536,64310,0,1067753,11895,2019
2023-03-15 17:28:00,67254,6990,1179413,25376,518,68896,0,1224445,11876,1983
2023-03-15 17:32:00,4325,6937,1014587,25534,562,66951,0,1054098,12013,1986
2023-03-15 17:36:00,11565,8217,1110665,47790,513,73934,0,1145684,13186,1987
2023-03-15 17:40:00,4588,6894,1091825,29987,529,71429,0,1275934,13407,7970
2023-03-15 17:44:00,4268,6871,820388,25223,518,72693,0,1009054,12175,2048
2023-03-15 17:48:00,4301,6955,1082220,25251,574,71694,1.36,1068687,11955,2010
2023-03-15 17:52:00,4304,6937,1056341,24989,522,62581,0,1102506,11980,2017
2023-03-15 17:56:00,4987,7921,1125787,42364,512,69600,0,1192455,15253,2010
2023-03-15 18:00:00,4406,6912,1585802,24958,527,63386,0,1882691,11843,8716
2023-03-15 18:04:00,4215,6875,803140,25011,522,69673,0,888066,11916,2010
2023-03-15 18:08:00,4291,6939,935367,25431,524,65471,0,991833,11954,2019
2023-03-15 18:12:00,4319,6901,1027495,25374,566,66903,0,1139718,11937,2021
2023-03-15 18:16:00,4918,7682,1128378,44241,526,67086,0,1171759,14652,2028
2023-03-15 18:20:00,4353,7034,993223,24734,555,72434,0,1030910,11928,1992
2023-03-15 18:24:00,4289,6961,949856,24779,539,69183,0,979121,11858,1991
2023-03-15 18:28:00,4206,6837,809123,24960,554,70909,0,917201,11839,2004
2023-03-15 18:32:00,4871,6988,1239117,30335,541,70649,0,1293561,13745,8084
2023-03-15 18:36:00,9878,8361,1106158,40907,494,67629,0,1196774,12627,1997
2023-03-15 18:40:00,4329,7031,1001239,24801,516,71965,0,1095520,11949,2033
