"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-15 10:00:00,0.996,0.996,1
2023-03-15 10:04:00,0.996,1,0.996
2023-03-15 10:08:00,1,0.996,1
2023-03-15 10:12:00,0.996,0.996,0.996
2023-03-15 10:16:00,0.996,1,0.996
2023-03-15 10:20:00,1,0.996,1
2023-03-15 10:24:00,0.996,0.996,0.996
2023-03-15 10:28:00,1,1,0.996
2023-03-15 10:32:00,0.996,0.996,1
2023-03-15 10:36:00,0.996,0.996,0.996
2023-03-15 10:40:00,1,1,1
2023-03-15 10:44:00,0.996,0.996,0.996
2023-03-15 10:48:00,0.996,0.996,0.996
2023-03-15 10:52:00,1,1,1
2023-03-15 10:56:00,0.996,0.996,0.996
2023-03-15 11:00:00,0.996,0.996,0.996
2023-03-15 11:04:00,1,1,1
2023-03-15 11:08:00,0.996,0.996,0.996
2023-03-15 11:12:00,0.996,0.996,0.996
2023-03-15 11:16:00,1,1,1
2023-03-15 11:20:00,0.996,0.996,0.996
2023-03-15 11:24:00,0.996,0.996,0.996
2023-03-15 11:28:00,1,1,1
2023-03-15 11:32:00,0.996,0.996,0.996
2023-03-15 11:36:00,1.000,0.996,0.996
2023-03-15 11:40:00,0.996,1,1.000
2023-03-15 11:44:00,0.996,0.996,0.996
2023-03-15 11:48:00,0.996,0.996,0.996
2023-03-15 11:52:00,1,1,1
2023-03-15 11:56:00,0.996,0.996,0.996
2023-03-15 12:00:00,0.996,0.996,0.996
2023-03-15 12:04:00,1,0.996,1
2023-03-15 12:08:00,0.996,1,0.996
2023-03-15 12:12:00,0.996,0.996,0.996
2023-03-15 12:16:00,1,0.996,1
2023-03-15 12:20:00,0.996,1,0.996
2023-03-15 12:24:00,0.996,0.996,0.996
2023-03-15 12:28:00,1,0.996,1
2023-03-15 12:32:00,0.996,1,0.996
2023-03-15 12:36:00,1,0.996,1
2023-03-15 12:40:00,0.996,0.996,0.996
2023-03-15 12:44:00,0.996,1,0.996
2023-03-15 12:48:00,1,0.996,0.996
2023-03-15 12:52:00,0.996,0.996,1
