"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop"
2023-03-15 10:00:00,8.14,15.4,1248,42.3,3,23.8,0,1.79,1473,23.1,19.7
2023-03-15 10:01:00,8.14,15.4,1248,42.3,3,23.8,0,1.79,1473,23.1,19.7
2023-03-15 10:02:00,8.14,15.4,1248,42.3,3,23.8,0,1.79,1473,23.1,19.7
2023-03-15 10:03:00,8.14,15.4,1248,42.3,3,23.8,0,1.79,1473,23.1,19.7
2023-03-15 10:04:00,8.14,15.4,1248,42.3,3,23.8,0,1.79,1473,23.1,19.7
2023-03-15 10:05:00,13.1,16.0,1466,44.0,2.93,24.1,0.00333,1.79,1806,24.7,27.3
2023-03-15 10:06:00,13.1,16.0,1466,44.0,2.93,24.1,0.00333,1.79,1806,24.7,27.3
2023-03-15 10:07:00,13.1,16.0,1466,44.0,2.93,24.1,0.00333,1.79,1806,24.7,27.3
2023-03-15 10:08:00,13.1,16.0,1466,44.0,2.93,24.1,0.00333,1.79,1806,24.7,27.3
2023-03-15 10:09:00,13.1,16.0,1466,44.0,2.93,24.1,0.00333,1.79,1806,24.7,27.3
2023-03-15 10:10:00,13.4,16.8,1608,86.1,3.26,23.9,0,1.79,1917,26.9,19.3
2023-03-15 10:11:00,13.4,16.8,1608,86.1,3.26,23.9,0,1.79,1917,26.9,19.3
2023-03-15 10:12:00,13.4,16.8,1608,86.1,3.26,23.9,0,1.79,1917,26.9,19.3
2023-03-15 10:13:00,13.4,16.8,1608,86.1,3.26,23.9,0,1.79,1917,26.9,19.3
2023-03-15 10:14:00,13.4,16.8,1608,86.1,3.26,23.9,0,1.79,1917,26.9,19.3
2023-03-15 10:15:00,8.59,15.9,1468,43.9,3.06,24.7,0,1.79,1753,25.0,26.8
2023-03-15 10:16:00,8.59,15.9,1468,43.9,3.06,24.7,0,1.79,1753,25.0,26.8
2023-03-15 10:17:00,8.59,15.9,1468,43.9,3.06,24.7,0,1.79,1753,25.0,26.8
2023-03-15 10:18:00,8.59,15.9,1468,43.9,3.06,24.7,0,1.79,1753,25.0,26.8
2023-03-15 10:19:00,8.59,15.9,1468,43.9,3.06,24.7,0,1.79,1753,25.0,26.8
2023-03-15 10:20:00,8.82,15.4,1235,44.0,2.90,24.0,0.00333,1.79,1481,22.5,19.4
2023-03-15 10:21:00,8.82,15.4,1235,44.0,2.90,24.0,0.00333,1.79,1481,22.5,19.4
2023-03-15 10:22:00,8.82,15.4,1235,44.0,2.90,24.0,0.00333,1.79,1481,22.5,19.4
2023-03-15 10:23:00,8.82,15.4,1235,44.0,2.90,24.0,0.00333,1.79,1481,22.5,19.4
2023-03-15 10:24:00,8.82,15.4,1235,44.0,2.90,24.0,0.00333,1.79,1481,22.5,19.4
2023-03-15 10:25:00,12.6,15.6,1490,43.2,3.05,24.1,0,1.79,1795,22.9,27.1
2023-03-15 10:26:00,12.6,15.6,1490,43.2,3.05,24.1,0,1.79,1795,22.9,27.1
2023-03-15 10:27:00,12.6,15.6,1490,43.2,3.05,24.1,0,1.79,1795,22.9,27.1
2023-03-15 10:28:00,12.6,15.6,1490,43.2,3.05,24.1,0,1.79,1795,22.9,27.1
2023-03-15 10:29:00,12.6,15.6,1490,43.2,3.05,24.1,0,1.79,1795,22.9,27.1
2023-03-15 10:30:00,8.65,16.4,1273,44.4,2.95,23.5,0,1.79,1522,25.4,19.0
2023-03-15 10:31:00,8.65,16.4,1273,44.4,2.95,23.5,0,1.79,1522,25.4,19.0
2023-03-15 10:32:00,8.65,16.4,1273,44.4,2.95,23.5,0,1.79,1522,25.4,19.0
