"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-15 10:00:00,14499,492,494
2023-03-15 10:04:00,14495,490,496
2023-03-15 10:08:00,14498,492,496
2023-03-15 10:12:00,14498,489,494
2023-03-15 10:16:00,14507,490,494
2023-03-15 10:20:00,14498,489,496
2023-03-15 10:24:00,14495,490,493
2023-03-15 10:28:00,14495,490,494
2023-03-15 10:32:00,14502,490,496
2023-03-15 10:36:00,14506,492,494
2023-03-15 10:40:00,14494,492,492
2023-03-15 10:44:00,14495,492,497
2023-03-15 10:48:00,14479,492,491
2023-03-15 10:52:00,14478,489,495
2023-03-15 10:56:00,14490,492,491
2023-03-15 11:00:00,14482,490,491
2023-03-15 11:04:00,14482,492,493
2023-03-15 11:08:00,14478,490,494
2023-03-15 11:12:00,14480,489,492
2023-03-15 11:16:00,14490,491,494
2023-03-15 11:20:00,14479,491,494
2023-03-15 11:24:00,14481,492,494
2023-03-15 11:28:00,14481,492,493
2023-03-15 11:32:00,14485,493,492
2023-03-15 11:36:00,14486,493,495
2023-03-15 11:40:00,14480,489,494
2023-03-15 11:44:00,14478,490,493
2023-03-15 11:48:00,14435,492,494
2023-03-15 11:52:00,14434,492,492
2023-03-15 11:56:00,14442,490,494
2023-03-15 12:00:00,14437,489,494
2023-03-15 12:04:00,14441,490,495
2023-03-15 12:08:00,14443,492,494
2023-03-15 12:12:00,14435,490,492
2023-03-15 12:16:00,14444,490,494
2023-03-15 12:20:00,14435,492,495
2023-03-15 12:24:00,14434,492,494
2023-03-15 12:28:00,14437,492,496
2023-03-15 12:32:00,14436,489,495
2023-03-15 12:36:00,14446,490,496
2023-03-15 12:40:00,14435,490,494
2023-03-15 12:44:00,14438,493,491
2023-03-15 12:48:00,14434,490,495
2023-03-15 12:52:00,14435,490,491
2023-03-15 12:56:00,14442,490,491
2023-03-15 13:00:00,14435,490,491
2023-03-15 13:04:00,14437,492,492
2023-03-15 13:08:00,14438,493,496
2023-03-15 13:12:00,14435,490,494
2023-03-15 13:16:00,14443,492,494
2023-03-15 13:20:00,14437,490,494
2023-03-15 13:24:00,14434,492,491
2023-03-15 13:28:00,14438,490,494
2023-03-15 13:32:00,14434,490,492
2023-03-15 13:36:00,14442,492,494
2023-03-15 13:40:00,14436,490,494
2023-03-15 13:44:00,14440,491,494
2023-03-15 13:48:00,14434,492,496
2023-03-15 13:52:00,14438,490,491
2023-03-15 13:56:00,14442,489,494
2023-03-15 14:00:00,14437,490,493
2023-03-15 14:04:00,14438,489,494
2023-03-15 14:08:00,14437,492,492
2023-03-15 14:12:00,14434,491,494
2023-03-15 14:16:00,14446,490,494
2023-03-15 14:20:00,14438,490,494
2023-03-15 14:24:00,14438,489,491
2023-03-15 14:28:00,14438,492,492
2023-03-15 14:32:00,14434,490,497
2023-03-15 14:36:00,14447,492,494
2023-03-15 14:40:00,14434,491,494
2023-03-15 14:44:00,14437,490,491
2023-03-15 14:48:00,14434,492,494
2023-03-15 14:52:00,14434,492,495
2023-03-15 14:56:00,14443,492,493
2023-03-15 15:00:00,14434,491,495
2023-03-15 15:04:00,14435,492,492
2023-03-15 15:08:00,14450,490,492
2023-03-15 15:12:00,14435,489,496
2023-03-15 15:16:00,14444,490,491
2023-03-15 15:20:00,14434,491,494
2023-03-15 15:24:00,14435,492,492
2023-03-15 15:28:00,14438,490,494
2023-03-15 15:32:00,14438,490,495
2023-03-15 15:36:00,14445,490,492
2023-03-15 15:40:00,14438,490,494
2023-03-15 15:44:00,14436,490,491
2023-03-15 15:48:00,14436,490,494
2023-03-15 15:52:00,14434,492,496
2023-03-15 15:56:00,14443,490,494
2023-03-15 16:00:00,14438,490,491
2023-03-15 16:04:00,14435,490,494
2023-03-15 16:08:00,14435,490,491
2023-03-15 16:12:00,14435,489,492
2023-03-15 16:16:00,14444,491,494
2023-03-15 16:20:00,14438,490,491
2023-03-15 16:24:00,14434,492,495
2023-03-15 16:28:00,14438,490,494
2023-03-15 16:32:00,14435,491,491
2023-03-15 16:36:00,14442,492,494
2023-03-15 16:40:00,14438,492,496
2023-03-15 16:44:00,14436,490,495
2023-03-15 16:48:00,14434,490,494
2023-03-15 16:52:00,14436,489,491
2023-03-15 16:56:00,14446,490,494
2023-03-15 17:00:00,14438,490,494
2023-03-15 17:04:00,14435,491,494
2023-03-15 17:08:00,14435,489,491
2023-03-15 17:12:00,14434,492,494
2023-03-15 17:16:00,14450,490,494
2023-03-15 17:20:00,14437,492,491
2023-03-15 17:24:00,14436,492,494
2023-03-15 17:28:00,14438,492,494
2023-03-15 17:32:00,14434,490,492
2023-03-15 17:36:00,14446,489,494
2023-03-15 17:40:00,14445,489,494
2023-03-15 17:44:00,14436,492,494
2023-03-15 17:48:00,14434,492,491
2023-03-15 17:52:00,14434,490,494
2023-03-15 17:56:00,14440,490,491
2023-03-15 18:00:00,14444,492,495
2023-03-15 18:04:00,14437,492,494
2023-03-15 18:08:00,14438,489,496
2023-03-15 18:12:00,14436,490,494
2023-03-15 18:16:00,14445,492,491
2023-03-15 18:20:00,14444,489,495
2023-03-15 18:24:00,14434,490,491
2023-03-15 18:28:00,14435,490,495
2023-03-15 18:32:00,14438,492,491
2023-03-15 18:36:00,14442,491,494
2023-03-15 18:40:00,14443,492,494
2023-03-15 18:44:00,14434,490,491
2023-03-15 18:48:00,14434,492,496
2023-03-15 18:52:00,14442,492,494
2023-03-15 18:56:00,14444,489,494
2023-03-15 19:00:00,14442,490,496
2023-03-15 19:04:00,14434,489,491
2023-03-15 19:08:00,14437,490,494
2023-03-15 19:12:00,14437,490,494
2023-03-15 19:16:00,14440,489,494
2023-03-15 19:20:00,14445,490,494
2023-03-15 19:24:00,14433,490,494
2023-03-15 19:28:00,14439,492,491
2023-03-15 19:32:00,14438,490,494
2023-03-15 19:36:00,14444,490,491
2023-03-15 19:40:00,14453,492,492
2023-03-15 19:44:00,14440,492,495
2023-03-15 19:48:00,14442,492,494
2023-03-15 19:52:00,14442,490,494
2023-03-15 19:56:00,14442,492,491
2023-03-15 20:00:00,14446,490,491
2023-03-15 20:04:00,14447,492,494
2023-03-15 20:08:00,14442,490,491
2023-03-15 20:12:00,14440,492,494
2023-03-15 20:16:00,14446,492,494
2023-03-15 20:20:00,14441,492,494
2023-03-15 20:24:00,14440,491,494
2023-03-15 20:28:00,14440,490,495
2023-03-15 20:32:00,14449,492,492
2023-03-15 20:36:00,14447,492,494
2023-03-15 20:40:00,14438,492,494
2023-03-15 20:44:00,14442,492,491
2023-03-15 20:48:00,14438,492,494
2023-03-15 20:52:00,14442,492,494
2023-03-15 20:56:00,14446,490,494
2023-03-15 21:00:00,14442,490,494
2023-03-15 21:04:00,14438,489,494
2023-03-15 21:08:00,14440,490,494
2023-03-15 21:12:00,14439,489,494
2023-03-15 21:16:00,14446,490,493
2023-03-15 21:20:00,14440,492,494
2023-03-15 21:24:00,14440,490,494
