"Time","Transmit Total","Receive Total"
2023-03-15 10:00:00,542720,445645
2023-03-15 10:02:00,732884,587425
2023-03-15 10:04:00,648839,505352
2023-03-15 10:06:00,741808,617424
2023-03-15 10:08:00,888950,686018
2023-03-15 10:10:00,557439,460015
2023-03-15 10:12:00,678849,554817
2023-03-15 10:14:00,662145,556142
2023-03-15 10:16:00,563261,445869
2023-03-15 10:18:00,566732,454414
2023-03-15 10:20:00,547152,449989
2023-03-15 10:22:00,659726,540935
2023-03-15 10:24:00,711243,587257
2023-03-15 10:26:00,566108,447227
2023-03-15 10:28:00,571019,460390
2023-03-15 10:30:00,564288,461539
2023-03-15 10:32:00,592538,481877
2023-03-15 10:34:00,661925,560726
2023-03-15 10:36:00,570039,450863
2023-03-15 10:38:00,586284,478334
2023-03-15 10:40:00,552981,434711
2023-03-15 10:42:00,553339,442358
2023-03-15 10:44:00,660896,559272
2023-03-15 10:46:00,569386,448663
2023-03-15 10:48:00,573595,468976
2023-03-15 10:50:00,613918,470170
2023-03-15 10:52:00,553876,441928
2023-03-15 10:54:00,669350,568983
2023-03-15 10:56:00,636956,504831
2023-03-15 10:58:00,574907,473671
2023-03-15 11:00:00,567684,447427
2023-03-15 11:02:00,550971,441449
2023-03-15 11:04:00,677533,571286
2023-03-15 11:06:00,653822,540657
2023-03-15 11:08:00,574858,468633
2023-03-15 11:10:00,568056,448686
2023-03-15 11:12:00,555330,452255
2023-03-15 11:14:00,630362,520554
2023-03-15 11:16:00,658571,548570
2023-03-15 11:18:00,619204,496318
2023-03-15 11:20:00,573281,453010
2023-03-15 11:22:00,557733,455608
2023-03-15 11:24:00,605804,484472
2023-03-15 11:26:00,661360,551579
2023-03-15 11:28:00,564665,464724
2023-03-15 11:30:00,561572,447897
2023-03-15 11:32:00,551900,452230
2023-03-15 11:34:00,569669,449096
2023-03-15 11:36:00,669627,558215
2023-03-15 11:38:00,598680,479847
2023-03-15 11:40:00,552544,442218
2023-03-15 11:42:00,591068,467883
2023-03-15 11:44:00,611614,468160
2023-03-15 11:46:00,674547,572315
2023-03-15 11:48:00,650137,516968
2023-03-15 11:50:00,551317,440913
2023-03-15 11:52:00,561232,459889
2023-03-15 11:54:00,580583,461000
2023-03-15 11:56:00,676269,574688
2023-03-15 11:58:00,692969,563213
2023-03-15 12:00:00,574457,455176
2023-03-15 12:02:00,552346,451884
2023-03-15 12:04:00,604945,468496
2023-03-15 12:06:00,675754,564412
2023-03-15 12:08:00,682474,559387
2023-03-15 12:10:00,555503,445519
2023-03-15 12:12:00,566059,447045
2023-03-15 12:14:00,550508,440687
2023-03-15 12:16:00,577841,483002
2023-03-15 12:18:00,670427,550812
2023-03-15 12:20:00,558967,458317
2023-03-15 12:22:00,574681,448674
2023-03-15 12:24:00,594215,464647
2023-03-15 12:26:00,575368,475684
2023-03-15 12:28:00,685526,567981
2023-03-15 12:30:00,592699,484252
2023-03-15 12:32:00,575279,451490
2023-03-15 12:34:00,563853,447451
2023-03-15 12:36:00,610853,486238
2023-03-15 12:38:00,667913,555231
2023-03-15 12:40:00,642394,530137
2023-03-15 12:42:00,570026,445967
2023-03-15 12:44:00,550808,454131
2023-03-15 12:46:00,576039,453732
