"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-03-15 10:00:00,0,576,0,0,0,584
2023-03-15 10:02:00,0,773,0,0,0,803
2023-03-15 10:04:00,0,679,0,0,0,699
2023-03-15 10:06:00,0,778,0,0,0,764
2023-03-15 10:08:00,0,907,0,0,0,907
2023-03-15 10:10:00,0,616,0,0,0,618
2023-03-15 10:12:00,0,746,0,0,0,775
2023-03-15 10:14:00,0,735,0,0,0,752
2023-03-15 10:16:00,0,585,0,0,0,606
2023-03-15 10:18:00,0,594,0,0,0,613
2023-03-15 10:20:00,0,585,0,0,0,596
2023-03-15 10:22:00,0,707,0,0,0,737
2023-03-15 10:24:00,0,776,0,0,0,796
2023-03-15 10:26:00,0,587,0,0,0,608
2023-03-15 10:28:00,0,603,0,0,0,617
2023-03-15 10:30:00,0,599,0,0,0,609
2023-03-15 10:32:00,0,632,0,0,0,648
2023-03-15 10:34:00,0,739,0,0,0,756
2023-03-15 10:36:00,0,582,0,0,0,604
2023-03-15 10:38:00,0,614,0,0,0,624
2023-03-15 10:40:00,0,568,0,0,0,588
2023-03-15 10:42:00,0,582,0,0,0,596
2023-03-15 10:44:00,0,743,0,0,0,759
2023-03-15 10:46:00,0,612,0,0,0,632
2023-03-15 10:48:00,0,614,0,0,0,622
2023-03-15 10:50:00,0,619,0,0,0,639
2023-03-15 10:52:00,0,591,0,0,0,603
2023-03-15 10:54:00,0,752,0,0,0,768
2023-03-15 10:56:00,0,674,0,0,0,702
2023-03-15 10:58:00,0,615,0,0,0,623
2023-03-15 11:00:00,0,596,0,0,0,615
2023-03-15 11:02:00,0,596,0,0,0,606
2023-03-15 11:04:00,0,755,0,0,0,773
2023-03-15 11:06:00,0,732,0,0,0,754
2023-03-15 11:08:00,0,616,0,0,0,622
2023-03-15 11:10:00,0,593,0,0,0,612
2023-03-15 11:12:00,0,595,0,0,0,604
2023-03-15 11:14:00,0,687,0,0,0,712
2023-03-15 11:16:00,0,730,0,0,0,758
2023-03-15 11:18:00,0,635,0,0,0,644
2023-03-15 11:20:00,0,591,0,0,0,612
2023-03-15 11:22:00,0,593,0,0,0,603
2023-03-15 11:24:00,0,628,0,0,0,650
2023-03-15 11:26:00,0,734,0,0,0,761
2023-03-15 11:28:00,0,599,0,0,0,610
2023-03-15 11:30:00,0,584,0,0,0,601
2023-03-15 11:32:00,0,583,0,0,0,589
2023-03-15 11:34:00,0,585,0,0,0,603
2023-03-15 11:36:00,0,746,0,0,0,768
2023-03-15 11:38:00,0,639,0,0,0,655
2023-03-15 11:40:00,0,594,0,0,0,606
2023-03-15 11:42:00,0,620,0,0,0,625
2023-03-15 11:44:00,0,623,0,0,0,640
2023-03-15 11:46:00,0,756,0,0,0,772
2023-03-15 11:48:00,0,702,0,0,0,730
2023-03-15 11:50:00,0,593,0,0,0,606
2023-03-15 11:52:00,0,604,0,0,0,611
2023-03-15 11:54:00,0,605,0,0,0,623
