"Time","192.168.0.211:9796","192.168.0.221:9796","192.168.0.222:9796"
2023-03-15 10:00:00,0.0673,0.0610,0.106
2023-03-15 10:02:00,0.0824,0.0589,0.104
2023-03-15 10:04:00,0.0692,0.0576,0.106
2023-03-15 10:06:00,0.0850,0.0680,0.0599
2023-03-15 10:08:00,0.0680,0.0570,0.108
2023-03-15 10:10:00,0.0707,0.0597,0.106
2023-03-15 10:12:00,0.0865,0.0683,0.109
2023-03-15 10:14:00,0.0706,0.0630,0.111
2023-03-15 10:16:00,0.0781,0.0605,0.0661
2023-03-15 10:18:00,0.0666,0.0541,0.106
2023-03-15 10:20:00,0.0716,0.0591,0.0854
2023-03-15 10:22:00,0.0757,0.0786,0.108
2023-03-15 10:24:00,0.0694,0.0648,0.105
2023-03-15 10:26:00,0.0779,0.0605,0.0951
2023-03-15 10:28:00,0.0662,0.0536,0.106
2023-03-15 10:30:00,0.0749,0.0662,0.0583
2023-03-15 10:32:00,0.0671,0.0585,0.109
2023-03-15 10:34:00,0.0692,0.0582,0.105
2023-03-15 10:36:00,0.0758,0.0645,0.106
2023-03-15 10:38:00,0.0680,0.0632,0.108
2023-03-15 10:40:00,0.0702,0.0583,0.0513
2023-03-15 10:42:00,0.0675,0.0572,0.105
2023-03-15 10:44:00,0.0708,0.0572,0.0960
2023-03-15 10:46:00,0.0744,0.0625,0.108
2023-03-15 10:48:00,0.0694,0.0667,0.106
2023-03-15 10:50:00,0.0800,0.0646,0.0698
2023-03-15 10:52:00,0.0696,0.0541,0.107
2023-03-15 10:54:00,0.0848,0.0681,0.0709
2023-03-15 10:56:00,0.0731,0.0691,0.108
2023-03-15 10:58:00,0.0672,0.0590,0.107
2023-03-15 11:00:00,0.0754,0.0631,0.0952
2023-03-15 11:02:00,0.0703,0.0593,0.113
2023-03-15 11:04:00,0.0910,0.0668,0.0551
2023-03-15 11:06:00,0.0743,0.0584,0.108
2023-03-15 11:08:00,0.0722,0.0614,0.108
2023-03-15 11:10:00,0.0731,0.0617,0.108
2023-03-15 11:12:00,0.0718,0.0646,0.108
2023-03-15 11:14:00,0.0856,0.0668,0.0570
2023-03-15 11:16:00,0.0711,0.0544,0.113
2023-03-15 11:18:00,0.0705,0.0634,0.0888
2023-03-15 11:20:00,0.0719,0.0637,0.109
2023-03-15 11:22:00,0.0690,0.0591,0.107
2023-03-15 11:24:00,0.0773,0.0635,0.0823
2023-03-15 11:26:00,0.0760,0.0552,0.107
2023-03-15 11:28:00,0.0742,0.0605,0.0751
2023-03-15 11:30:00,0.0668,0.0644,0.105
2023-03-15 11:32:00,0.0696,0.0618,0.116
2023-03-15 11:34:00,0.0737,0.0602,0.0983
2023-03-15 11:36:00,0.0782,0.0636,0.114
2023-03-15 11:38:00,0.0755,0.0606,0.0495
2023-03-15 11:40:00,0.0684,0.0512,0.112
2023-03-15 11:42:00,0.0724,0.0632,0.104
2023-03-15 11:44:00,0.0730,0.0620,0.109
2023-03-15 11:46:00,0.0852,0.0630,0.109
2023-03-15 11:48:00,0.0787,0.0658,0.0609
2023-03-15 11:50:00,0.0696,0.0524,0.106
2023-03-15 11:52:00,0.0723,0.0621,0.0835
2023-03-15 11:54:00,0.0712,0.0690,0.109
2023-03-15 11:56:00,0.0836,0.0617,0.107
2023-03-15 11:58:00,0.0770,0.0589,0.0875
2023-03-15 12:00:00,0.0725,0.0535,0.114
2023-03-15 12:02:00,0.0736,0.0625,0.0620
2023-03-15 12:04:00,0.0720,0.0604,0.117
2023-03-15 12:06:00,0.0770,0.0701,0.108
2023-03-15 12:08:00,0.0748,0.0607,0.103
2023-03-15 12:10:00,0.0707,0.0610,0.113
2023-03-15 12:12:00,0.0802,0.0644,0.0495
2023-03-15 12:14:00,0.0721,0.0578,0.107
2023-03-15 12:16:00,0.0736,0.0617,0.105
2023-03-15 12:18:00,0.0710,0.0725,0.107
2023-03-15 12:20:00,0.0731,0.0616,0.108
