"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-15 10:00:00,230916,129852,181952,151756,117630,176258
2023-03-15 10:02:00,340648,184927,207309,213411,183656,190358
2023-03-15 10:04:00,307527,134736,206576,193542,121052,190758
2023-03-15 10:06:00,258899,189074,293835,171136,168195,278093
2023-03-15 10:08:00,365008,174786,349156,194783,162047,329189
2023-03-15 10:10:00,231341,128612,197486,152691,117147,190176
2023-03-15 10:12:00,314884,182916,181050,208862,182269,163687
2023-03-15 10:14:00,311825,157326,192995,210517,158027,187599
2023-03-15 10:16:00,237585,146755,178922,161971,125890,158009
2023-03-15 10:18:00,244405,136971,185355,162095,123085,169234
2023-03-15 10:20:00,230970,132706,183477,151829,119208,178952
2023-03-15 10:22:00,288700,188325,182701,187429,185064,168443
2023-03-15 10:24:00,334043,165452,211747,205710,173790,207756
2023-03-15 10:26:00,236448,151405,178255,158061,128269,160898
2023-03-15 10:28:00,245809,137008,188201,166372,123297,170722
2023-03-15 10:30:00,235130,142423,186735,158294,124026,179218
2023-03-15 10:32:00,249572,153238,189727,154624,151110,176143
2023-03-15 10:34:00,310981,163652,187292,206186,173182,181359
2023-03-15 10:36:00,239216,149384,181439,161667,127308,161888
2023-03-15 10:38:00,250346,136984,198955,167623,123270,187442
2023-03-15 10:40:00,232909,147439,172633,152930,126288,155493
2023-03-15 10:42:00,237907,135776,179656,155912,121697,164749
2023-03-15 10:44:00,310651,163599,186646,205049,173174,181050
2023-03-15 10:46:00,241937,150634,176814,160884,128407,159371
2023-03-15 10:48:00,244546,136643,192406,157965,123406,187604
2023-03-15 10:50:00,261188,153963,198767,154444,130393,185333
2023-03-15 10:52:00,237247,135833,180797,153803,121788,166337
2023-03-15 10:54:00,312410,165919,191021,209386,174380,185217
2023-03-15 10:56:00,295002,159681,182274,201534,138056,165241
2023-03-15 10:58:00,245393,134102,195411,164468,121797,187406
2023-03-15 11:00:00,238700,152089,176894,157201,129459,160767
2023-03-15 11:02:00,235976,134776,180219,155692,120837,164920
2023-03-15 11:04:00,311154,176465,189915,208630,179157,183499
2023-03-15 11:06:00,310389,160523,182909,209784,164257,166615
2023-03-15 11:08:00,248062,131278,195518,160600,120411,187622
2023-03-15 11:10:00,239456,151456,177144,159489,130360,158836
2023-03-15 11:12:00,235922,133174,186234,155890,119365,177000
2023-03-15 11:14:00,270399,182901,177062,177910,182137,160506
2023-03-15 11:16:00,311532,164346,182693,211684,171021,165865
2023-03-15 11:18:00,265435,136419,217350,161258,122972,212087
2023-03-15 11:20:00,238424,157149,177708,156579,133128,163303
2023-03-15 11:22:00,237149,131492,189093,153111,118573,183924
2023-03-15 11:24:00,249241,168016,188546,156424,154577,173471
2023-03-15 11:26:00,313016,164715,183628,213397,171759,166424
2023-03-15 11:28:00,238727,134883,191055,157922,122193,184609
2023-03-15 11:30:00,238550,144801,178221,157414,127056,163427
2023-03-15 11:32:00,235044,129944,186912,153778,117786,180666
2023-03-15 11:34:00,238526,153469,177674,156212,131311,161573
2023-03-15 11:36:00,316474,165930,187223,214938,173123,170154
2023-03-15 11:38:00,261497,144981,192202,177501,126316,176031
2023-03-15 11:40:00,238167,137155,177222,155649,123553,163016
2023-03-15 11:42:00,257206,127439,206424,150158,116714,201011
2023-03-15 11:44:00,261524,151154,198936,155094,130137,182929
2023-03-15 11:46:00,316166,165680,192702,212184,173107,187024
2023-03-15 11:48:00,307360,161060,181717,208855,145489,162623
2023-03-15 11:50:00,237699,137103,176514,154840,123332,162741
2023-03-15 11:52:00,237428,132850,190955,154587,119303,185999
2023-03-15 11:54:00,240519,157161,182904,160513,133183,167304
2023-03-15 11:56:00,317036,165944,193289,214872,174262,185554
2023-03-15 11:58:00,319069,183006,190893,207883,180768,174562
2023-03-15 12:00:00,248912,137188,188358,157871,123426,173879
2023-03-15 12:02:00,234983,130488,186875,152103,118234,181547
2023-03-15 12:04:00,259379,145056,200510,153401,127227,187868
2023-03-15 12:06:00,294272,164364,217118,181286,173735,209391
2023-03-15 12:08:00,314740,181240,186494,211201,180032,168154
2023-03-15 12:10:00,239496,136996,179011,158040,123346,164133
2023-03-15 12:12:00,237134,149268,179657,152143,127342,167560
2023-03-15 12:14:00,235971,137255,177281,154176,123398,163113
2023-03-15 12:16:00,244925,140366,192550,164889,134798,183314
2023-03-15 12:18:00,309082,180654,180690,208855,179443,162514
2023-03-15 12:20:00,237734,135979,185254,154110,122799,181409
2023-03-15 12:22:00,241189,152772,180720,152628,128994,167052
2023-03-15 12:24:00,256417,135835,201963,155300,121805,187542
2023-03-15 12:26:00,246015,133899,195454,168010,121673,186001
2023-03-15 12:28:00,312455,185259,187812,216544,182051,169387
2023-03-15 12:30:00,270839,133537,188324,181165,121453,181633
2023-03-15 12:32:00,242863,151452,180964,157969,129126,164395
2023-03-15 12:34:00,241785,134644,187424,153910,120623,172919
2023-03-15 12:36:00,256615,152566,201672,165284,130834,190120
2023-03-15 12:38:00,314429,164795,188689,211579,171736,171915
2023-03-15 12:40:00,311448,144901,186045,208786,143206,178145
2023-03-15 12:42:00,242110,149861,178055,156106,128957,160904
2023-03-15 12:44:00,231180,133078,186550,152782,119253,182095
2023-03-15 12:46:00,243711,152147,180181,161552,130603,161577
2023-03-15 12:48:00,301717,165060,183494,204302,172134,166838
2023-03-15 12:50:00,311949,167123,187942,209227,175123,182742
2023-03-15 12:52:00,269323,157192,209720,161478,133234,194894
2023-03-15 12:54:00,233265,130911,188633,157198,118179,181531
2023-03-15 12:56:00,245199,154473,184000,165562,131833,165283
2023-03-15 12:58:00,254151,158174,186023,172389,162038,168553
2023-03-15 13:00:00,308283,176639,184868,205392,179563,179088
2023-03-15 13:02:00,242021,137308,180869,155520,123463,166972
2023-03-15 13:04:00,231214,129289,184168,151930,117442,177901
2023-03-15 13:06:00,243610,152749,178632,156297,130976,162197
2023-03-15 13:08:00,245098,136594,196534,163164,125035,185790
2023-03-15 13:10:00,340643,182123,206687,207074,182427,189411
2023-03-15 13:12:00,276444,136923,215369,157990,123163,201805
2023-03-15 13:14:00,233265,130873,188991,157795,118279,181721
2023-03-15 13:16:00,245165,154990,184562,165732,132151,165956
2023-03-15 13:18:00,243306,133264,192432,158579,120234,187058
2023-03-15 13:20:00,305257,185888,176742,206786,183539,160581
2023-03-15 13:22:00,283371,137039,185190,185449,123230,170503
2023-03-15 13:24:00,232665,131373,187235,155057,118457,181134
2023-03-15 13:26:00,267120,157253,205593,161455,133142,190456
2023-03-15 13:28:00,267881,132846,217079,162118,120629,210578
2023-03-15 13:30:00,303280,182032,173686,203300,180181,157767
2023-03-15 13:32:00,314622,155487,181287,206146,153604,167528
2023-03-15 13:34:00,233049,141663,187435,156863,123538,179686
2023-03-15 13:36:00,246211,137068,186118,164035,123346,169256
2023-03-15 13:38:00,250860,132585,200267,167482,121148,190810
2023-03-15 13:40:00,283470,180616,172957,189547,179792,155921
2023-03-15 13:42:00,314859,168191,186728,205907,175708,179304
2023-03-15 13:44:00,231916,147603,174235,153450,126523,156295
2023-03-15 13:46:00,263849,137059,203303,158332,123288,189033
2023-03-15 13:48:00,268358,134257,218013,163442,121874,211308
2023-03-15 13:50:00,234459,171553,178270,160450,162816,160232
2023-03-15 13:52:00,328608,166730,205982,212134,174670,200256
2023-03-15 13:54:00,244959,152449,189159,155675,128864,173994
2023-03-15 13:56:00,239396,136908,181742,160736,123152,165055
2023-03-15 13:58:00,244311,134880,193952,161217,122142,187250
2023-03-15 14:00:00,230012,153859,172043,148995,129583,158728
2023-03-15 14:02:00,316097,165505,192232,209423,174198,186220
2023-03-15 14:04:00,263549,150916,204865,160242,128033,188787
2023-03-15 14:06:00,262335,193706,206161,160624,180616,190020
2023-03-15 14:08:00,307625,192112,286375,222622,180975,279842
2023-03-15 14:10:00,231834,141744,263114,154118,123814,249306
2023-03-15 14:12:00,315784,163970,191442,209618,173423,184760
2023-03-15 14:14:00,287031,152453,178354,190367,130496,161970
2023-03-15 14:16:00,237797,134760,182110,161668,120657,164717
2023-03-15 14:18:00,244477,152023,186948,162204,130585,172348
2023-03-15 14:20:00,230972,133627,174350,152357,119613,159957
2023-03-15 14:22:00,342049,163949,217644,211604,173495,211007
2023-03-15 14:24:00,336320,176248,204148,210812,169547,187467
2023-03-15 14:26:00,236411,132818,189155,157666,119198,183062
2023-03-15 14:28:00,244882,154173,184493,162815,131676,166822
2023-03-15 14:30:00,231340,133754,174767,152970,119681,160121
2023-03-15 14:32:00,286539,166177,190979,187728,174327,185769
2023-03-15 14:34:00,311482,188280,180990,207686,185199,166573
2023-03-15 14:36:00,238313,131010,190003,158241,118395,182763
2023-03-15 14:38:00,248675,154553,188434,162438,131859,171110
2023-03-15 14:40:00,229871,133534,173574,149814,119451,159943
2023-03-15 14:42:00,237043,162348,186928,153512,156662,181063
2023-03-15 14:44:00,311207,168229,179394,205862,175587,165684
2023-03-15 14:46:00,236951,128601,187630,158712,117199,179050
2023-03-15 14:48:00,245158,152203,184390,164396,130746,165248
2023-03-15 14:50:00,270126,133308,216285,156851,119415,208807
2023-03-15 14:52:00,260499,151139,200462,152969,130220,184030
2023-03-15 14:54:00,311530,168209,180461,207004,175552,166266
2023-03-15 14:56:00,244990,128812,187358,164416,117243,179303
2023-03-15 14:58:00,244483,152947,183523,162650,131067,165262
2023-03-15 15:00:00,238172,134041,184945,155657,120721,181458
2023-03-15 15:02:00,235906,154276,179172,154765,130430,163838
2023-03-15 15:04:00,311261,168420,179859,206212,175784,166070
2023-03-15 15:06:00,299170,138492,192303,202229,128201,185278
2023-03-15 15:08:00,250089,157301,191990,165784,133263,175135
2023-03-15 15:10:00,238086,133178,186155,155896,120763,180813
2023-03-15 15:12:00,235063,151217,177782,153876,128198,161814
2023-03-15 15:14:00,334941,168232,203799,207822,175519,190297
2023-03-15 15:16:00,307468,169176,185197,204542,168687,179208
2023-03-15 15:18:00,243238,144848,183138,158707,127208,168293
2023-03-15 15:20:00,238062,132522,184579,155117,121129,178611
2023-03-15 15:22:00,236835,149716,177489,152081,127646,161438
2023-03-15 15:24:00,282913,167983,188662,178575,175295,175238
2023-03-15 15:26:00,319164,179188,191542,209652,178782,176627
2023-03-15 15:28:00,245030,137138,185516,164895,123241,168328
2023-03-15 15:30:00,238335,132504,185396,156539,121009,179104
2023-03-15 15:32:00,257829,149793,198583,151428,127527,183542
2023-03-15 15:34:00,263029,148735,214130,158552,144130,209984
2023-03-15 15:36:00,316110,184397,184420,212734,181353,167813
2023-03-15 15:38:00,242707,137083,189239,162876,123312,171982
2023-03-15 15:40:00,239418,134391,188048,159276,121881,181729
2023-03-15 15:42:00,236557,141807,181106,156978,123727,165520
2023-03-15 15:44:00,238482,133561,187591,155387,121607,181981
2023-03-15 15:46:00,316294,181838,181265,211169,180510,187952
2023-03-15 15:48:00,256366,136248,183495,172976,122448,167308
2023-03-15 15:50:00,238440,152750,179658,156691,130996,167005
2023-03-15 15:52:00,238107,133926,182646,156316,119859,167322
2023-03-15 15:54:00,239506,130964,187968,157513,120287,180491
2023-03-15 15:56:00,316126,181420,179695,211743,181536,161107
2023-03-15 15:58:00,306513,142367,193987,208766,133746,187239
2023-03-15 16:00:00,238676,153840,177066,157775,131490,160583
2023-03-15 16:02:00,257781,133826,200730,151836,119768,187580
2023-03-15 16:04:00,239334,135033,190200,158498,122225,184595
2023-03-15 16:06:00,319386,188505,186557,216087,185571,169586
2023-03-15 16:08:00,313666,161811,195099,208403,169570,188757
2023-03-15 16:10:00,238106,154752,176186,155721,131947,160778
2023-03-15 16:12:00,234761,133770,177892,151947,119710,163859
2023-03-15 16:14:00,239130,145988,187692,157066,127678,181746
