,Time,Type,Response,Code
0,2023-03-16 01:39:59.944922,Public,0.00505,200
0,2023-03-16 01:40:00.052958,Public,0.006546,200
0,2023-03-16 01:40:00.159669,Public,0.005236,200
0,2023-03-16 01:40:00.265804,Public,0.004789,200
0,2023-03-16 01:40:00.380950,Public,0.012902,200
0,2023-03-16 01:40:00.503363,Public,0.018515,200
0,2023-03-16 01:40:00.619721,Public,0.012931,200
0,2023-03-16 01:40:00.726419,Public,0.005069,200
0,2023-03-16 01:40:00.840828,Public,0.012384,200
0,2023-03-16 01:40:00.961802,Public,0.01742,200
0,2023-03-16 01:40:01.070768,Public,0.005893,200
0,2023-03-16 01:40:01.186657,Public,0.013389,200
0,2023-03-16 01:40:01.306404,Public,0.016784,200
0,2023-03-16 01:40:01.426906,Public,0.016844,200
0,2023-03-16 01:40:01.547902,Public,0.017171,200
0,2023-03-16 01:40:01.655499,Public,0.004842,200
0,2023-03-16 01:40:01.773829,Public,0.015909,200
0,2023-03-16 01:40:01.885303,Public,0.008921,200
0,2023-03-16 01:40:02.006337,Public,0.018172,200
0,2023-03-16 01:40:02.125935,Public,0.01626,200
0,2023-03-16 01:40:02.247135,Public,0.017985,200
0,2023-03-16 01:40:02.369056,Public,0.017665,200
0,2023-03-16 01:40:02.490180,Public,0.017122,200
0,2023-03-16 01:40:02.608391,Public,0.014728,200
0,2023-03-16 01:40:02.730798,Public,0.018352,200
0,2023-03-16 01:40:02.851121,Public,0.016763,200
0,2023-03-16 01:40:02.973226,Public,0.018069,200
0,2023-03-16 01:40:03.094497,Public,0.017243,200
0,2023-03-16 01:40:03.213544,Public,0.014919,200
0,2023-03-16 01:40:03.334466,Public,0.016982,200
0,2023-03-16 01:40:03.456401,Public,0.017943,200
0,2023-03-16 01:40:03.578473,Public,0.017909,200
0,2023-03-16 01:40:03.689430,Public,0.007751,200
0,2023-03-16 01:40:03.806996,Public,0.01521,200
0,2023-03-16 01:40:03.928505,Public,0.017559,200
0,2023-03-16 01:40:04.041067,Public,0.008938,200
0,2023-03-16 01:40:04.160500,Public,0.016414,200
0,2023-03-16 01:40:04.282319,Public,0.018195,200
0,2023-03-16 01:40:04.404340,Public,0.017472,200
0,2023-03-16 01:40:04.524816,Public,0.016746,200
0,2023-03-16 01:40:04.645139,Public,0.016054,200
0,2023-03-16 01:40:04.752533,Public,0.005293,200
0,2023-03-16 01:40:04.858837,Public,0.004956,200
0,2023-03-16 01:40:04.970322,Public,0.00966,200
0,2023-03-16 01:40:05.083006,Public,0.009996,200
0,2023-03-16 01:40:05.190338,Public,0.005759,200
0,2023-03-16 01:40:05.296618,Public,0.004951,200
0,2023-03-16 01:40:05.403018,Public,0.005057,200
0,2023-03-16 01:40:05.510989,Public,0.006461,200
0,2023-03-16 01:40:05.618221,Public,0.005699,200
0,2023-03-16 01:40:05.724922,Public,0.005332,200
0,2023-03-16 01:40:05.834176,Public,0.007511,200
0,2023-03-16 01:40:05.953618,Public,0.016781,200
0,2023-03-16 01:40:06.070543,Public,0.014144,200
0,2023-03-16 01:40:06.191533,Public,0.01736,200
0,2023-03-16 01:40:06.313665,Public,0.018649,200
0,2023-03-16 01:40:06.435532,Public,0.017805,200
0,2023-03-16 01:40:06.556752,Public,0.017225,200
0,2023-03-16 01:40:06.668909,Public,0.008886,200
0,2023-03-16 01:40:06.787304,Public,0.015714,200
0,2023-03-16 01:40:06.906386,Public,0.015408,200
0,2023-03-16 01:40:07.013368,Public,0.005061,200
0,2023-03-16 01:40:07.126786,Public,0.011588,200
0,2023-03-16 01:40:07.248676,Public,0.01828,200
0,2023-03-16 01:40:07.375141,Public,0.022497,200
0,2023-03-16 01:40:07.495975,Public,0.016879,200
0,2023-03-16 01:40:07.618140,Public,0.01802,200
0,2023-03-16 01:40:07.726946,Public,0.005842,200
0,2023-03-16 01:40:07.833366,Public,0.004874,200
0,2023-03-16 01:40:07.939746,Public,0.005046,200
0,2023-03-16 01:40:08.054011,Public,0.012331,200
0,2023-03-16 01:40:08.174988,Public,0.018265,200
0,2023-03-16 01:40:08.293271,Public,0.01435,200
0,2023-03-16 01:40:08.415052,Public,0.017912,200
0,2023-03-16 01:40:08.523070,Public,0.005197,200
0,2023-03-16 01:40:08.642657,Public,0.01697,200
0,2023-03-16 01:40:08.764689,Public,0.017815,200
0,2023-03-16 01:40:08.871938,Public,0.005004,200
0,2023-03-16 01:40:08.992737,Public,0.018184,200
0,2023-03-16 01:40:09.113951,Public,0.017194,200
0,2023-03-16 01:40:09.233873,Public,0.014742,200
0,2023-03-16 01:40:09.341291,Public,0.005279,200
0,2023-03-16 01:40:09.448459,Public,0.005817,200
0,2023-03-16 01:40:09.557277,Public,0.007302,200
0,2023-03-16 01:40:09.663471,Public,0.004788,200
0,2023-03-16 01:40:09.770503,Public,0.0057,200
0,2023-03-16 01:40:09.880062,Public,0.007954,200
0,2023-03-16 01:40:09.996966,Public,0.013967,200
0,2023-03-16 01:40:10.104281,Public,0.005114,200
0,2023-03-16 01:40:10.210867,Public,0.005146,200
0,2023-03-16 01:40:10.317108,Public,0.004911,200
0,2023-03-16 01:40:10.423696,Public,0.005237,200
0,2023-03-16 01:40:10.530303,Public,0.005228,200
0,2023-03-16 01:40:10.650671,Public,0.01748,200
0,2023-03-16 01:40:10.758398,Public,0.005146,200
0,2023-03-16 01:40:10.872669,Public,0.012264,200
0,2023-03-16 01:40:10.980532,Public,0.005039,200
0,2023-03-16 01:40:11.100117,Public,0.017015,200
0,2023-03-16 01:40:11.222847,Public,0.018622,200
0,2023-03-16 01:40:11.336901,Public,0.010306,200
0,2023-03-16 01:40:11.457370,Public,0.01756,200
0,2023-03-16 01:40:11.579412,Public,0.017805,200
0,2023-03-16 01:40:11.700869,Public,0.017002,200
0,2023-03-16 01:40:11.829381,Public,0.024796,200
0,2023-03-16 01:40:11.937626,Public,0.006573,200
0,2023-03-16 01:40:12.057512,Public,0.017175,200
0,2023-03-16 01:40:12.178789,Public,0.017231,200
0,2023-03-16 01:40:12.300844,Public,0.017955,200
0,2023-03-16 01:40:12.419006,Public,0.014396,200
0,2023-03-16 01:40:12.539071,Public,0.017149,200
0,2023-03-16 01:40:12.660821,Public,0.017624,200
0,2023-03-16 01:40:12.782574,Public,0.01756,200
0,2023-03-16 01:40:12.903431,Public,0.016927,200
0,2023-03-16 01:40:13.010422,Public,0.004896,200
0,2023-03-16 01:40:13.116570,Public,0.004811,200
0,2023-03-16 01:40:13.222712,Public,0.004841,200
0,2023-03-16 01:40:13.329007,Public,0.004977,200
0,2023-03-16 01:40:13.435258,Public,0.00494,200
0,2023-03-16 01:40:13.541601,Public,0.004959,200
0,2023-03-16 01:40:13.661877,Public,0.017785,200
0,2023-03-16 01:40:13.784073,Public,0.018699,200
0,2023-03-16 01:40:13.901725,Public,0.013967,200
0,2023-03-16 01:40:14.019123,Public,0.014521,200
0,2023-03-16 01:40:14.134983,Public,0.01242,200
0,2023-03-16 01:40:14.257092,Public,0.019228,200
0,2023-03-16 01:40:14.364645,Public,0.004798,200
0,2023-03-16 01:40:14.484763,Public,0.017544,200
0,2023-03-16 01:40:14.606714,Public,0.017738,200
0,2023-03-16 01:40:14.724397,Public,0.013662,200
0,2023-03-16 01:40:14.832466,Public,0.005719,200
0,2023-03-16 01:40:14.939301,Public,0.005286,200
0,2023-03-16 01:40:15.049081,Public,0.0081,200
0,2023-03-16 01:40:15.168692,Public,0.016572,200
0,2023-03-16 01:40:15.289611,Public,0.016946,200
0,2023-03-16 01:40:15.397377,Public,0.005697,200
0,2023-03-16 01:40:15.503575,Public,0.004797,200
0,2023-03-16 01:40:15.609639,Public,0.004717,200
0,2023-03-16 01:40:15.715687,Public,0.00476,200
0,2023-03-16 01:40:15.822134,Public,0.00516,200
0,2023-03-16 01:40:15.928345,Public,0.004895,200
0,2023-03-16 01:40:16.034725,Public,0.005025,200
0,2023-03-16 01:40:16.141584,Public,0.005437,200
0,2023-03-16 01:40:16.248526,Public,0.005455,200
0,2023-03-16 01:40:16.355202,Public,0.005313,200
0,2023-03-16 01:40:16.461398,Public,0.004854,200
0,2023-03-16 01:40:16.567617,Public,0.004878,200
0,2023-03-16 01:40:16.673742,Public,0.00484,200
0,2023-03-16 01:40:16.779989,Public,0.004954,200
0,2023-03-16 01:40:16.886758,Public,0.005446,200
0,2023-03-16 01:40:16.993655,Public,0.005565,200
0,2023-03-16 01:40:17.099993,Public,0.004965,200
0,2023-03-16 01:40:17.220219,Public,0.017537,200
0,2023-03-16 01:40:17.331047,Public,0.007527,200
0,2023-03-16 01:40:17.440122,Public,0.007479,200
0,2023-03-16 01:40:17.560443,Public,0.017453,200
0,2023-03-16 01:40:17.682685,Public,0.017979,200
0,2023-03-16 01:40:17.791156,Public,0.005436,200
0,2023-03-16 01:40:17.910943,Public,0.01728,200
0,2023-03-16 01:40:18.023309,Public,0.009268,200
0,2023-03-16 01:40:18.130661,Public,0.005503,200
0,2023-03-16 01:40:18.237192,Public,0.005195,200
0,2023-03-16 01:40:18.343780,Public,0.00522,200
0,2023-03-16 01:40:18.450126,Public,0.005041,200
0,2023-03-16 01:40:18.568157,Public,0.015598,200
0,2023-03-16 01:40:18.685141,Public,0.012463,200
0,2023-03-16 01:40:18.792519,Public,0.005049,200
0,2023-03-16 01:40:18.904134,Public,0.009394,200
0,2023-03-16 01:40:19.023853,Public,0.017077,200
0,2023-03-16 01:40:19.145046,Public,0.017226,200
0,2023-03-16 01:40:19.260046,Public,0.011554,200
0,2023-03-16 01:40:19.381890,Public,0.017867,200
0,2023-03-16 01:40:19.503173,Public,0.017148,200
0,2023-03-16 01:40:19.624734,Public,0.017397,200
0,2023-03-16 01:40:19.732451,Public,0.004973,200
0,2023-03-16 01:40:19.849570,Public,0.014831,200
0,2023-03-16 01:40:19.970139,Public,0.017672,200
0,2023-03-16 01:40:20.091890,Public,0.017746,200
0,2023-03-16 01:40:20.198530,Public,0.004861,200
0,2023-03-16 01:40:20.318903,Public,0.017809,200
0,2023-03-16 01:40:20.440548,Public,0.017657,200
0,2023-03-16 01:40:20.562080,Public,0.017553,200
0,2023-03-16 01:40:20.683405,Public,0.017177,200
0,2023-03-16 01:40:20.790893,Public,0.004703,200
0,2023-03-16 01:40:20.909618,Public,0.016103,200
