"Time","failure","success","failure","success","failure","success"
2023-03-21 20:30:00,,0.000103,,0.0000848,,0.0000682
2023-03-21 20:32:00,,0.000101,,0.0000915,,0.0000691
2023-03-21 20:34:00,,0.0000657,,0.0000768,,0.0000897
2023-03-21 20:36:00,,0.0000583,,0.0000710,,0.0000826
2023-03-21 20:38:00,,0.000107,,0.0000918,,0.0000773
2023-03-21 20:40:00,,0.000136,,0.0000887,,0.0000709
2023-03-21 20:42:00,,0.000108,,0.0000865,,0.0000715
2023-03-21 20:44:00,,0.0000665,,0.000105,,0.0000709
2023-03-21 20:46:00,,0.0000914,,0.0000685,,0.0000746
2023-03-21 20:48:00,,0.0000788,,0.0000961,,0.0000775
2023-03-21 20:50:00,,0.0000615,,0.0000953,,0.0000743
2023-03-21 20:52:00,,0.0000741,,0.000142,,0.0000814
2023-03-21 20:54:00,,0.0000949,,0.0000815,,0.0000692
2023-03-21 20:56:00,,0.0000725,,0.000122,,0.0000847
2023-03-21 20:58:00,,0.0000641,,0.0000661,,0.000110
2023-03-21 21:00:00,,0.0000702,,0.0000994,,0.0000881
2023-03-21 21:02:00,,0.0000810,,0.0000890,,0.000100
2023-03-21 21:04:00,,0.000104,,0.000104,,0.0000669
2023-03-21 21:06:00,,0.0000690,,0.000143,,0.0000948
2023-03-21 21:08:00,,0.0000594,,0.0000687,,0.0000591
2023-03-21 21:10:00,,0.0000551,,0.0000738,,0.0000628
2023-03-21 21:12:00,,0.000104,,0.000152,,0.0000794
2023-03-21 21:14:00,,0.0000631,,0.0000750,,0.0000610
2023-03-21 21:16:00,,0.0000819,,0.0000795,,0.0000893
2023-03-21 21:18:00,,0.0000620,,0.0000967,,0.0000823
2023-03-21 21:20:00,,0.0000892,,0.0000750,,0.0000648
2023-03-21 21:22:00,,0.000100,,0.000108,,0.0000888
2023-03-21 21:24:00,,0.0000863,,0.0000986,,0.0000607
2023-03-21 21:26:00,,0.0000954,,0.000103,,0.0000624
2023-03-21 21:28:00,,0.0000619,,0.0000627,,0.0000573
2023-03-21 21:30:00,,0.0000689,,0.0000767,,0.000102
2023-03-21 21:32:00,,0.0000700,,0.0000716,,0.0000621
2023-03-21 21:34:00,,0.000129,,0.0000804,,0.0000668
2023-03-21 21:36:00,,0.000105,,0.0000933,,0.0000944
2023-03-21 21:38:00,,0.0000948,,0.0000729,,0.0000710
2023-03-21 21:40:00,,0.000113,,0.0000740,,0.0000817
2023-03-21 21:42:00,,0.0000754,,0.0000699,,0.0000767
2023-03-21 21:44:00,,0.0000592,,0.000106,,0.0000914
2023-03-21 21:46:00,,0.000108,,0.0000973,,0.0000747
2023-03-21 21:48:00,,0.0000695,,0.0000917,,0.0000644
2023-03-21 21:50:00,,0.000109,,0.000106,,0.0000729
2023-03-21 21:52:00,,0.0000746,,0.0000753,,0.0000944
2023-03-21 21:54:00,,0.0000707,,0.000133,,0.0000975
2023-03-21 21:56:00,,0.0000689,,0.0000915,,0.0000590
2023-03-21 21:58:00,,0.0000980,,0.0000644,,0.000105
2023-03-21 22:00:00,,0.0000759,,0.000106,,0.0000714
2023-03-21 22:02:00,,0.0000753,,0.0000707,,0.0000585
2023-03-21 22:04:00,,0.0000845,,0.000132,,0.0000920
2023-03-21 22:06:00,,0.0000910,,0.0000844,,0.0000805
2023-03-21 22:08:00,,0.0000771,,0.0000601,,0.000112
2023-03-21 22:10:00,,0.000110,,0.0000886,,0.0000672
2023-03-21 22:12:00,,0.0000644,,0.0000769,,0.0000586
2023-03-21 22:14:00,,0.000117,,0.0000770,,0.0000919
2023-03-21 22:16:00,,0.0000926,,0.0000653,,0.0000779
2023-03-21 22:18:00,,0.0000968,,0.0000723,,0.0000978
2023-03-21 22:20:00,,0.0000747,,0.000110,,0.0000904
2023-03-21 22:22:00,,0.000101,,0.0000909,,0.0000707
2023-03-21 22:24:00,,0.000146,,0.0000827,,0.0000709
2023-03-21 22:26:00,,0.000100,,0.0000756,,0.0000801
2023-03-21 22:28:00,,0.0000726,,0.000105,,0.000101
2023-03-21 22:30:00,,0.0000680,,0.0000657,,0.0000698
2023-03-21 22:32:00,,0.0000785,,0.0000759,,0.0000981
2023-03-21 22:34:00,,0.000108,,0.0000820,,0.0000696
2023-03-21 22:36:00,,0.0000634,,0.0000792,,0.0000612
2023-03-21 22:38:00,,0.0000997,,0.0000797,,0.000113
2023-03-21 22:40:00,,0.0000678,,0.0000910,,0.0000598
2023-03-21 22:42:00,,0.0000731,,0.000112,,0.0000836
2023-03-21 22:44:00,,0.0000827,,0.0000845,,0.0000880
2023-03-21 22:46:00,,0.0000657,,0.0000958,,0.0000619
2023-03-21 22:48:00,,0.0000850,,0.0000844,,0.0000737
2023-03-21 22:50:00,,0.0000870,,0.0000705,,0.0000916
2023-03-21 22:52:00,,0.0000871,,0.0000778,,0.0000723
2023-03-21 22:54:00,,0.0000767,,0.0000798,,0.0000757
2023-03-21 22:56:00,,0.0000665,,0.0000782,,0.0000605
2023-03-21 22:58:00,,0.0000977,,0.0000835,,0.000110
2023-03-21 23:00:00,,0.0000734,,0.0000745,,0.0000865
2023-03-21 23:02:00,,0.0000709,,0.0000954,,0.0000758
2023-03-21 23:04:00,,0.0000937,,0.000107,,0.0000860
