"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-21 20:30:00,495886,816694,1366266,2067536,597293,730919
2023-03-21 20:32:00,457004,287753,1426191,1625722,631597,761921
2023-03-21 20:34:00,464908,820129,1336125,2046904,581083,691358
2023-03-21 20:36:00,522668,815024,1436388,2213736,627797,879422
2023-03-21 20:38:00,481333,271010,1401073,1509763,612553,759804
2023-03-21 20:40:00,457778,816767,1337924,2054885,573084,679255
2023-03-21 20:42:00,503312,288024,1457544,1559165,669146,832301
2023-03-21 20:44:00,487354,820354,1348095,2040110,573460,710273
2023-03-21 20:46:00,492312,796321,1369226,2040988,588040,822490
2023-03-21 20:48:00,516667,613308,2062777,2818574,622445,773242
2023-03-21 20:50:00,465682,815413,1340444,2056641,572885,688951
2023-03-21 20:52:00,474033,1470853,4186514,1540170,2661905,1029158
2023-03-21 20:54:00,532403,989993,1727416,2056216,854858,809146
2023-03-21 20:56:00,479568,514668,1346721,1974592,575747,853031
2023-03-21 20:58:00,483488,817961,1344780,2049326,582481,716913
2023-03-21 21:00:00,461120,817341,1350887,2053578,587347,689701
2023-03-21 21:02:00,489196,282116,1441382,1526757,626728,789314
2023-03-21 21:04:00,508309,1121101,2040110,2085128,1083516,848153
2023-03-21 21:06:00,498164,254344,1425569,1730094,583948,823352
2023-03-21 21:08:00,464512,816366,1328514,2053237,577153,693816
2023-03-21 21:10:00,481742,812749,1352787,2049486,571721,697898
2023-03-21 21:12:00,528813,271358,2059903,2817195,609190,782854
2023-03-21 21:14:00,506429,1262235,2360253,2084832,1323068,879343
2023-03-21 21:16:00,480074,252739,1356888,1473899,570473,812654
2023-03-21 21:18:00,482456,832193,1402771,2080201,624072,752095
2023-03-21 21:20:00,514533,804158,1366450,2048578,571637,732863
2023-03-21 21:22:00,462615,599022,1328912,1470129,564567,686177
2023-03-21 21:24:00,464315,1401763,2656715,2655361,2171237,894158
2023-03-21 21:26:00,410048,252911,1300139,1470873,565253,811342
2023-03-21 21:28:00,431030,850927,1726061,2099665,642077,996519
2023-03-21 21:30:00,426228,377141,1625325,1959066,585614,898723
2023-03-21 21:32:00,433632,819105,1638384,2038161,571473,927698
2023-03-21 21:34:00,434160,1508809,3480844,2077407,1742082,1132049
2023-03-21 21:36:00,448558,258902,1729938,1605856,593141,1055466
2023-03-21 21:38:00,467377,849493,2388643,3417029,645670,1031091
2023-03-21 21:40:00,432265,256584,1643362,1488884,566525,925818
2023-03-21 21:42:00,428333,818216,1649420,2035836,587818,939790
2023-03-21 21:44:00,437637,1999547,4239484,2027488,2624674,1146670
2023-03-21 21:46:00,444390,1829586,4484127,1511956,2667189,1272868
2023-03-21 21:48:00,436546,849112,1727390,2095876,654875,990104
2023-03-21 21:50:00,424006,270330,1691895,1496834,601224,959237
2023-03-21 21:52:00,431778,818872,1641791,2040781,575716,940599
2023-03-21 21:54:00,439331,382463,1652525,1944357,585665,942414
2023-03-21 21:56:00,432518,1509324,2974557,2053848,1765071,1194587
2023-03-21 21:58:00,429437,831006,1668730,2064656,612769,960157
2023-03-21 22:00:00,433888,273944,1730440,1511490,607122,1023776
2023-03-21 22:02:00,457773,815922,1631187,2034021,569058,925894
2023-03-21 22:04:00,418808,270522,1674798,1499104,590136,959925
2023-03-21 22:06:00,469497,1379804,2748585,2169183,1551699,1139724
2023-03-21 22:08:00,433646,811406,1648116,2024892,571897,953128
2023-03-21 22:10:00,449221,271914,1706186,1517043,606592,978243
2023-03-21 22:12:00,427971,817090,1640853,2040715,593372,925986
2023-03-21 22:14:00,426863,285810,1732074,1499946,630505,1004434
2023-03-21 22:16:00,424860,1250551,2364495,2045398,1324134,1082597
2023-03-21 22:18:00,460229,797652,1667131,2022369,585125,963164
2023-03-21 22:20:00,428913,272560,1697567,1518544,605707,962176
2023-03-21 22:22:00,422577,817607,1624215,2028782,573142,901605
2023-03-21 22:24:00,470973,286664,1777786,2093791,653344,1078067
2023-03-21 22:26:00,456379,1126840,2093460,2044393,1104856,1134508
2023-03-21 22:28:00,415211,747726,1657123,1975101,572992,968264
2023-03-21 22:30:00,423812,832022,1667648,1864860,629400,961415
2023-03-21 22:32:00,418726,814959,1649787,2025130,570046,947330
2023-03-21 22:34:00,408759,285405,1745485,1534193,638171,1024474
2023-03-21 22:36:00,466399,995334,1925068,2165052,890212,1139820
2023-03-21 22:38:00,424600,252100,1589057,1931971,568354,900308
2023-03-21 22:40:00,426696,815066,1599925,2060106,572188,901248
2023-03-21 22:42:00,440265,810446,1605738,2028071,589527,908698
2023-03-21 22:44:00,437743,268531,1639782,1538232,608191,958289
2023-03-21 22:46:00,469042,877047,1657434,2072172,690374,1056979
2023-03-21 22:48:00,414369,255613,1614605,1476653,582850,921160
2023-03-21 22:50:00,453212,813289,1643445,3370054,579316,925087
2023-03-21 22:52:00,436709,803423,1593424,2018667,571524,895111
2023-03-21 22:54:00,415504,254322,1596321,1511020,593180,910119
2023-03-21 22:56:00,445662,830989,1658387,2077109,613013,1093461
2023-03-21 22:58:00,417985,252815,1590036,1482180,574871,906523
2023-03-21 23:00:00,433894,836260,1731014,2086503,621369,1019038
2023-03-21 23:02:00,422665,790139,1593971,2010359,575354,884716
2023-03-21 23:04:00,436315,594064,1586917,1484977,576303,900343
2023-03-21 23:06:00,461566,832358,1732789,2202916,622850,1064655
2023-03-21 23:08:00,409020,253628,1609567,1469484,565802,939485
2023-03-21 23:10:00,441670,846188,1704642,2106641,635025,983851
2023-03-21 23:12:00,435042,370137,1606900,1924526,578456,912381
2023-03-21 23:14:00,425842,880175,1598407,2039420,4779563,924450
2023-03-21 23:16:00,438395,832960,1660138,2056001,609527,1048513
2023-03-21 23:18:00,441003,258341,1633353,1477147,583135,959837
2023-03-21 23:20:00,451559,848343,1705206,2116404,637473,993208
2023-03-21 23:22:00,432816,254139,1591202,1477306,571574,898604
2023-03-21 23:24:00,431134,816588,1592303,2041667,589876,886272
2023-03-21 23:26:00,433236,803243,1616038,2023934,576494,1081666
2023-03-21 23:28:00,452658,597306,1601167,1473736,567379,914332
2023-03-21 23:30:00,463610,848532,1674153,2115963,647184,976504
2023-03-21 23:32:00,409628,268997,1631525,1462720,602951,919175
2023-03-21 23:34:00,463588,816703,1601878,2048384,573572,926255
2023-03-21 23:36:00,484615,362834,1684744,2063782,587073,1039401
2023-03-21 23:38:00,419197,816079,1585517,2036075,569374,885127
2023-03-21 23:40:00,435461,841958,1661220,2083636,624766,930589
2023-03-21 23:42:00,423397,272966,1666705,1492547,622988,972640
2023-03-21 23:44:00,440829,817157,1599524,2038008,573094,906433
2023-03-21 23:46:00,479315,271962,1675269,1513657,603413,1090661
2023-03-21 23:48:00,456970,816830,1770376,2037910,586194,984681
2023-03-21 23:50:00,425670,795342,1606909,2048198,581596,916444
2023-03-21 23:52:00,430759,617541,1931186,2052020,610867,959508
2023-03-21 23:54:00,422640,815914,1591925,2036248,584964,886285
2023-03-21 23:56:00,442958,284575,1715764,1534888,633620,1150875
2023-03-21 23:58:00,438355,904843,2048470,2052097,712622,976823
2023-03-22 00:00:00,444169,381583,1623946,1979772,591399,938782
2023-03-22 00:02:00,443392,829764,1653405,2061161,605363,951952
2023-03-22 00:04:00,429181,813922,1591759,2028697,575017,902982
2023-03-22 00:06:00,458245,285713,1791071,1658947,646202,1120102
2023-03-22 00:08:00,413349,1043991,2337678,2053833,937256,971179
2023-03-22 00:10:00,421241,251717,1585925,1512247,567754,879383
2023-03-22 00:12:00,453068,814607,2245903,3365089,583975,895775
2023-03-22 00:14:00,420133,808232,1583079,2029602,583948,898666
2023-03-22 00:16:00,440886,282460,1710581,1530655,622407,1085207
2023-03-22 00:18:00,436209,1183471,2720000,2055372,1210968,1078783
2023-03-22 00:20:00,434348,251570,1609608,1479875,564536,922001
2023-03-22 00:22:00,486025,816035,1614307,2036379,569694,950612
2023-03-22 00:24:00,416572,756283,1571212,1975396,586047,867407
2023-03-22 00:26:00,435406,832567,1654454,1842504,601621,1099512
2023-03-22 00:28:00,432688,1306622,3003496,2076395,1400201,1086600
2023-03-22 00:30:00,432869,255764,1599815,1493685,588608,892328
2023-03-22 00:32:00,423227,833050,1645153,2035268,604988,941380
2023-03-22 00:34:00,418688,254205,1579235,1552396,564830,885253
2023-03-22 00:36:00,453166,820848,1690547,2176793,593529,1041312
2023-03-22 00:38:00,464973,1436278,3590075,2634563,1639899,1144284
