"Time","min","avg","max","deleted","deleted max"
2023-03-21 20:30:00,21,41.7,74,1236,1573
2023-03-21 20:32:00,21,41.7,74,1236,1573
2023-03-21 20:34:00,21,36,57,1078,1444
2023-03-21 20:36:00,21,36,57,1078,1444
2023-03-21 20:38:00,21,36,57,1078,1444
2023-03-21 20:40:00,21,36,57,1078,1444
2023-03-21 20:42:00,21,36,57,1078,1444
2023-03-21 20:44:00,21,36,57,1078,1444
2023-03-21 20:46:00,21,36,57,1078,1444
2023-03-21 20:48:00,21,36,57,1078,1444
2023-03-21 20:50:00,21,36,57,1078,1444
2023-03-21 20:52:00,21,36,57,1078,1444
2023-03-21 20:54:00,21,36.3,57,770,1099
2023-03-21 20:56:00,21,36.3,57,770,1099
2023-03-21 20:58:00,21,36.3,57,770,1099
2023-03-21 21:00:00,21,36.3,57,770,1099
2023-03-21 21:02:00,21,36.3,57,770,1099
2023-03-21 21:04:00,21,36.3,57,770,1099
2023-03-21 21:06:00,21,36.3,57,770,1099
2023-03-21 21:08:00,21,36.3,57,770,1099
2023-03-21 21:10:00,21,36.3,57,770,1099
2023-03-21 21:12:00,21,28.7,34,884,1442
2023-03-21 21:14:00,21,28.7,34,884,1442
2023-03-21 21:16:00,21,28.7,34,884,1442
2023-03-21 21:18:00,21,28.7,34,884,1442
2023-03-21 21:20:00,21,28.7,34,884,1442
2023-03-21 21:22:00,21,28.7,34,884,1442
2023-03-21 21:24:00,21,28.7,34,884,1442
2023-03-21 21:26:00,21,28.7,34,884,1442
2023-03-21 21:28:00,21,28.7,34,884,1442
2023-03-21 21:30:00,21,28.7,34,884,1442
2023-03-21 21:32:00,21,28.7,34,884,1442
2023-03-21 21:34:00,21,28.7,34,884,1442
2023-03-21 21:36:00,21,28.7,34,884,1442
2023-03-21 21:38:00,21,28.7,34,884,1442
2023-03-21 21:40:00,21,28.7,34,884,1442
2023-03-21 21:42:00,21,28.7,34,884,1442
2023-03-21 21:44:00,21,28.7,34,884,1442
2023-03-21 21:46:00,21,28.7,34,884,1442
2023-03-21 21:48:00,21,28.7,34,884,1442
2023-03-21 21:50:00,21,26.3,31,920,1549
2023-03-21 21:52:00,20,26,31,943,1549
2023-03-21 21:54:00,20,26,31,943,1549
2023-03-21 21:56:00,20,26,31,943,1549
2023-03-21 21:58:00,20,26,31,943,1549
2023-03-21 22:00:00,20,26,31,943,1549
2023-03-21 22:02:00,20,26,31,943,1549
2023-03-21 22:04:00,20,26,31,943,1549
2023-03-21 22:06:00,20,26,31,943,1549
2023-03-21 22:08:00,20,26,31,943,1549
2023-03-21 22:10:00,20,26,31,943,1549
2023-03-21 22:12:00,20,26,31,943,1549
2023-03-21 22:14:00,20,26,31,943,1549
2023-03-21 22:16:00,20,26,31,943,1549
2023-03-21 22:18:00,20,26,31,943,1549
2023-03-21 22:20:00,20,26,31,943,1549
2023-03-21 22:22:00,20,26,31,943,1549
2023-03-21 22:24:00,20,26,31,943,1549
2023-03-21 22:26:00,20,26,31,943,1549
2023-03-21 22:28:00,20,28.3,34,883,1368
2023-03-21 22:30:00,20,28.3,34,883,1368
2023-03-21 22:32:00,20,28.3,34,883,1368
2023-03-21 22:34:00,20,28.3,34,883,1368
2023-03-21 22:36:00,20,28.3,34,883,1368
2023-03-21 22:38:00,20,28.3,34,883,1368
2023-03-21 22:40:00,20,28.3,34,883,1368
2023-03-21 22:42:00,20,28.3,34,883,1368
2023-03-21 22:44:00,20,28.3,34,883,1368
2023-03-21 22:46:00,20,28.3,34,883,1368
2023-03-21 22:48:00,20,24.7,34,878,1368
2023-03-21 22:50:00,20,24.7,34,878,1368
2023-03-21 22:52:00,20,24.7,34,878,1368
2023-03-21 22:54:00,20,24.7,34,878,1368
2023-03-21 22:56:00,20,24.7,34,878,1368
