"Time","to-endpoint","to-overlay","to-stack"
2023-03-21 20:30:00,48.0,9.72,27.1
2023-03-21 20:32:00,48.1,9.48,27.1
2023-03-21 20:34:00,48.3,9.20,27.2
2023-03-21 20:36:00,50.1,11.2,27.7
2023-03-21 20:38:00,47.9,9.48,27.3
2023-03-21 20:40:00,47.5,8.54,27.2
2023-03-21 20:42:00,48.3,10.1,27.6
2023-03-21 20:44:00,48.4,10.3,27.6
2023-03-21 20:46:00,49.3,10.3,27.8
2023-03-21 20:48:00,48.2,9.48,27.6
2023-03-21 20:50:00,47.9,9.06,27.2
2023-03-21 20:52:00,103,127,27.3
2023-03-21 20:54:00,58.8,18.0,26.9
2023-03-21 20:56:00,49.8,10.3,27.8
2023-03-21 20:58:00,48.3,9.02,27.5
2023-03-21 21:00:00,47.5,8.84,27.1
2023-03-21 21:02:00,48.2,10.1,27.6
2023-03-21 21:04:00,66.4,28.5,27.3
2023-03-21 21:06:00,50.1,10.9,27.9
2023-03-21 21:08:00,48.0,9.04,27.3
2023-03-21 21:10:00,47.8,9.06,27.2
2023-03-21 21:12:00,47.9,10.1,27.4
2023-03-21 21:14:00,73.1,41.8,27.1
2023-03-21 21:16:00,49.4,10.7,27.5
2023-03-21 21:18:00,49.0,9.40,27.5
2023-03-21 21:20:00,48.0,10.0,27.2
2023-03-21 21:22:00,47.2,8.94,27.0
2023-03-21 21:24:00,79.3,53.9,27.5
2023-03-21 21:26:00,49.8,9.92,27.7
2023-03-21 21:28:00,48.5,10,27.2
2023-03-21 21:30:00,48.0,9.06,27.1
2023-03-21 21:32:00,47.6,9.28,27.1
2023-03-21 21:34:00,83.7,66.1,27.1
2023-03-21 21:36:00,49.0,10.4,27.4
2023-03-21 21:38:00,48.2,10.1,27.1
2023-03-21 21:40:00,47.1,8.94,26.9
2023-03-21 21:42:00,48.0,8.96,27.1
2023-03-21 21:44:00,99.5,126,26.9
2023-03-21 21:46:00,109,121,27.7
2023-03-21 21:48:00,47.3,10.1,26.9
2023-03-21 21:50:00,47.0,9.04,26.9
2023-03-21 21:52:00,48.8,9.42,27.6
2023-03-21 21:54:00,48.5,9.36,27.5
2023-03-21 21:56:00,82.3,90.3,27.8
2023-03-21 21:58:00,49.0,9.26,27.7
2023-03-21 22:00:00,48.0,8.78,27.3
2023-03-21 22:02:00,48.6,10.1,27.4
2023-03-21 22:04:00,47.9,9.48,27.2
2023-03-21 22:06:00,73.2,76.9,27.6
2023-03-21 22:08:00,48.7,9.16,27.4
2023-03-21 22:10:00,47.9,9.96,27.2
2023-03-21 22:12:00,48.3,9.66,27.2
2023-03-21 22:14:00,47.6,9.52,27.0
2023-03-21 22:16:00,67.7,63.9,27.8
2023-03-21 22:18:00,48.6,10.2,27.5
2023-03-21 22:20:00,48.1,9.08,27.4
2023-03-21 22:22:00,47.7,9.42,27
2023-03-21 22:24:00,47.1,10.2,26.9
2023-03-21 22:26:00,61.8,52.2,27.6
2023-03-21 22:28:00,48.3,9.06,27.2
2023-03-21 22:30:00,48.0,9.54,27.1
2023-03-21 22:32:00,48.3,9.42,27.2
2023-03-21 22:34:00,47.5,8.98,27.1
2023-03-21 22:36:00,56.3,39.7,27.5
2023-03-21 22:38:00,48.0,8.88,27.2
2023-03-21 22:40:00,47.7,9.14,27.0
2023-03-21 22:42:00,47.3,9.20,26.9
2023-03-21 22:44:00,47.5,9.70,27.0
2023-03-21 22:46:00,51.3,27.2,27.8
