"Time","AVG_resident_memory_bytes","MAX_resident_memory_bytes_max","MIN_resident_memory_bytes_min"
2023-03-21 20:30:00,65544192,65544192,65544192
2023-03-21 20:32:00,65544192,65544192,65544192
2023-03-21 20:34:00,65544192,65544192,65544192
2023-03-21 20:36:00,65544192,65544192,65544192
2023-03-21 20:38:00,65544192,65544192,65544192
2023-03-21 20:40:00,65544192,65544192,65544192
2023-03-21 20:42:00,65544192,65544192,65544192
2023-03-21 20:44:00,64167936,64167936,64167936
2023-03-21 20:46:00,66191360,66191360,66191360
2023-03-21 20:48:00,66048000,66048000,66048000
2023-03-21 20:50:00,66048000,66048000,66048000
2023-03-21 20:52:00,66048000,66048000,66048000
2023-03-21 20:54:00,66048000,66048000,66048000
2023-03-21 20:56:00,64659456,64659456,64659456
2023-03-21 20:58:00,67350528,67350528,67350528
2023-03-21 21:00:00,66056192,66056192,66056192
2023-03-21 21:02:00,66056192,66056192,66056192
2023-03-21 21:04:00,64897024,64897024,64897024
2023-03-21 21:06:00,66064384,66064384,66064384
2023-03-21 21:08:00,66117632,66117632,66117632
2023-03-21 21:10:00,64610304,64610304,64610304
2023-03-21 21:12:00,64802816,64802816,64802816
2023-03-21 21:14:00,64802816,64802816,64802816
2023-03-21 21:16:00,64802816,64802816,64802816
2023-03-21 21:18:00,64802816,64802816,64802816
2023-03-21 21:20:00,64802816,64802816,64802816
2023-03-21 21:22:00,64802816,64802816,64802816
2023-03-21 21:24:00,64802816,64802816,64802816
2023-03-21 21:26:00,64802816,64802816,64802816
2023-03-21 21:28:00,64802816,64802816,64802816
2023-03-21 21:30:00,64802816,64802816,64802816
2023-03-21 21:32:00,64802816,64802816,64802816
2023-03-21 21:34:00,64790528,64790528,64790528
2023-03-21 21:36:00,66265088,66265088,66265088
2023-03-21 21:38:00,66002944,66002944,66002944
2023-03-21 21:40:00,66002944,66002944,66002944
2023-03-21 21:42:00,65843200,65843200,65843200
2023-03-21 21:44:00,65843200,65843200,65843200
2023-03-21 21:46:00,65843200,65843200,65843200
2023-03-21 21:48:00,65843200,65843200,65843200
2023-03-21 21:50:00,65843200,65843200,65843200
2023-03-21 21:52:00,64540672,64540672,64540672
2023-03-21 21:54:00,64651264,64651264,64651264
2023-03-21 21:56:00,64651264,64651264,64651264
2023-03-21 21:58:00,64651264,64651264,64651264
