"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-21 20:28:00,4523,3435,4899,7059,183,34182,0,4009,399,144,0
2023-03-21 20:32:00,4710,3491,4150,7837,180,33602,0,3943,432,146,0
2023-03-21 20:36:00,11282,3541,5239,8869,196,34370,0,4569,363,147,0
2023-03-21 20:40:00,4375,4058,4917,6308,169,33129,0,4361,365,142,0
2023-03-21 20:44:00,4387,3512,5123,6325,177,33699,0.211,4213,365,144,0
2023-03-21 20:48:00,80436,3486,5183,7257,163,34751,0,4632,372,144,0
2023-03-21 20:52:00,4861,3422,9783,7792,170,35665,0,10368,435,563,0
2023-03-21 20:56:00,4380,3515,4389,9468,179,34644,0,3859,365,141,0
2023-03-21 21:00:00,4343,4020,5060,6295,185,33149,0.207,4243,363,146,0
2023-03-21 21:04:00,4503,3497,6900,6999,174,34761,0,7166,394,697,0.318
2023-03-21 21:08:00,4464,3467,5013,6942,171,34661,0,4759,371,143,0
2023-03-21 21:12:00,67902,3452,5241,6363,174,32127,0,4765,385,145,0
2023-03-21 21:16:00,4379,3458,4210,9011,186,36821,0,4110,366,143,0
2023-03-21 21:20:00,4227,3969,4940,6233,175,33472,0,4398,361,144,0
2023-03-21 21:24:00,4553,3482,8682,23666,176,31585,0,8993,391,711,0
2023-03-21 21:28:00,4744,3476,5066,7972,182,32401,0,4290,441,143,0
2023-03-21 21:32:00,4416,3468,4890,6354,174,32709,0,4453,362,143,0
2023-03-21 21:36:00,10452,3565,4317,9278,187,35351,0,4384,378,145,0
2023-03-21 21:40:00,4367,4055,4029,6479,182,36517,0,3733,370,145,0
2023-03-21 21:44:00,4299,3507,8869,6355,181,33068,0,9065,371,426,0
2023-03-21 21:48:00,4840,3468,5052,7578,174,32799,0.246,4654,425,142,0
2023-03-21 21:52:00,4357,3451,5111,6265,177,33693,0.243,4267,362,145,0.392
2023-03-21 21:56:00,4334,3486,7188,10725,184,34418,0,7096,363,364,0
2023-03-21 22:00:00,4568,4026,4956,7033,172,32788,0,4073,389,145,0
2023-03-21 22:04:00,4549,3446,4137,7528,171,31298,0,3761,410,143,0
2023-03-21 22:08:00,4368,3432,5208,6380,192,35655,0,4383,361,142,0
2023-03-21 22:12:00,4348,3443,5035,6395,172,33804,0,4612,378,144,0
2023-03-21 22:16:00,4449,3469,6297,8468,169,33818,0,5894,366,245,0
