"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-21 20:28:00,0,0,35575,227136,0,30212,0,0,0,15656,0
2023-03-21 20:32:00,0,0,34450,219182,0,66451,0,0,0,17245,0
2023-03-21 20:36:00,0,0,34671,234013,0,28622,0,0,0,16672,0
2023-03-21 20:40:00,0,0,34480,5107,0,30947,0,0,0,15635,0
2023-03-21 20:44:00,0,0,33643,229109,0,29769,0,0,0,16662,0
2023-03-21 20:48:00,0,0,36936,227268,0,30314,0,0,0,15935,0
2023-03-21 20:52:00,0,0,37521,229208,0,26536,0,0,0,16800,0
2023-03-21 20:56:00,0,0,34809,224424,0,31199,0,0,0,17972,0
2023-03-21 21:00:00,0,0,33378,5296,0,31186,0,0,0,15928,0
2023-03-21 21:04:00,0,0,254297,225719,0,102316,0,0,0,15890,0
2023-03-21 21:08:00,0,0,32498,228598,0,31231,0,0,0,16146,0
2023-03-21 21:12:00,0,0,33929,225931,0,28024,0,0,0,15871,0
2023-03-21 21:16:00,0,0,33265,229878,0,31104,0,0,0,16691,0
2023-03-21 21:20:00,0,0,34457,6058,0,30437,0,0,0,15947,0
2023-03-21 21:24:00,0,0,35401,368528,0,29906,0,0,0,16181,0
2023-03-21 21:28:00,0,0,34362,226337,0,29732,0,0,0,16132,0
2023-03-21 21:32:00,0,0,34764,219588,0,64152,0,0,0,15961,0
2023-03-21 21:36:00,0,0,34104,235531,0,29021,0,0,0,17644,0
2023-03-21 21:40:00,0,0,35158,5304,0,27844,0,0,0,15640,0
2023-03-21 21:44:00,0,622,34021,230189,0,65675,0,0,0,15766,0
2023-03-21 21:48:00,0,0,34591,229691,0,30032,0,0,0,17974,0
2023-03-21 21:52:00,0,0,34792,227422,0,28350,0,0,0,16650,0
2023-03-21 21:56:00,0,0,36082,225144,0,30088,0,0,0,15613,0
2023-03-21 22:00:00,0,0,33296,5331,0,30448,0,0,0,16567,0
2023-03-21 22:04:00,0,0,581596,227597,0,297536,0,0,0,15582,0
2023-03-21 22:08:00,0,0,34746,233602,0,30006,0,0,0,16764,0
2023-03-21 22:12:00,0,0,34192,217908,0,30553,0,0,0,15974,0
2023-03-21 22:16:00,0,0,35509,232660,0,60615,0,0,0,15958,0
2023-03-21 22:20:00,0,0,36437,5509,0,32654,0,0,0,16830,0
2023-03-21 22:24:00,0,0,32598,225712,0,30088,0,0,0,15861,0
2023-03-21 22:28:00,0,0,33283,227617,919,28657,0,0,0,16649,0
2023-03-21 22:32:00,0,0,33480,229371,0,65840,0,0,0,16500,0
2023-03-21 22:36:00,0,0,33861,227180,0,27207,0,0,0,15855,0
2023-03-21 22:40:00,0,0,33986,5265,0,31994,0,0,0,16726,0
2023-03-21 22:44:00,0,0,37427,237912,0,28190,0,0,0,15834,0
2023-03-21 22:48:00,0,0,34223,229505,0,31485,0,0,0,16123,0
2023-03-21 22:52:00,0,0,36612,216586,0,30417,0,0,0,16046,0
2023-03-21 22:56:00,0,0,38314,236806,0,29630,0,0,0,16042,0
2023-03-21 23:00:00,0,0,35725,5273,0,28900,0,0,0,16655,0
2023-03-21 23:04:00,0,0,246990,234384,0,100467,0,0,0,15325,0
2023-03-21 23:08:00,0,0,35148,226919,0,30361,0,0,0,16235,0
2023-03-21 23:12:00,0,0,35827,225011,0,28492,0,0,0,16565,0
2023-03-21 23:16:00,0,0,33555,230701,0,29586,0,0,0,16228,0
2023-03-21 23:20:00,0,0,34333,5425,0,32609,0,0,0,16220,0
2023-03-21 23:24:00,0,0,36874,226572,0,29082,0,0,0,16137,0
2023-03-21 23:28:00,0,0,36047,229815,0,28044,0,0,0,16325,0
2023-03-21 23:32:00,0,0,33176,223370,0,67919,0,0,0,16236,0
2023-03-21 23:36:00,0,0,34091,229395,0,30443,0,1060,0,16442,0
2023-03-21 23:40:00,0,0,33427,5344,0,27256,0,0,0,16733,0
2023-03-21 23:44:00,0,0,33054,230425,0,65960,0,0,0,15548,0
2023-03-21 23:48:00,0,0,37045,233337,0,30624,0,0,0,16325,0
2023-03-21 23:52:00,0,0,35993,217919,0,26856,0,0,0,15907,0
2023-03-21 23:56:00,0,0,34643,229537,0,33203,0,0,0,16221,0
2023-03-22 00:00:00,0,0,34223,5334,0,27460,0,0,0,16681,0
2023-03-22 00:04:00,0,0,3533551,228169,0,2877756,0,0,0,15669,0
2023-03-22 00:08:00,0,0,34473,226694,0,28013,0,0,0,16183,0
2023-03-22 00:12:00,0,0,33490,232481,0,31295,0,0,0,16280,0
2023-03-22 00:16:00,0,0,36324,230789,0,63917,0,0,0,16114,0
2023-03-22 00:20:00,0,0,35380,5462,0,31705,0,0,0,16123,0
2023-03-22 00:24:00,0,0,34913,224179,0,28521,0,0,0,15938,0
2023-03-22 00:28:00,0,0,35644,230130,0,27451,0,0,0,16240,0
2023-03-22 00:32:00,0,0,32848,220466,0,67008,0,0,0,16395,0
2023-03-22 00:36:00,0,0,34930,230182,0,30981,0,0,0,15685,0
2023-03-22 00:40:00,0,0,33782,5496,0,26878,0,0,0,16601,0
2023-03-22 00:44:00,0,0,34628,232716,0,33013,0,0,0,15553,0
2023-03-22 00:48:00,0,0,34184,222687,0,29199,0,0,0,15914,0
2023-03-22 00:52:00,0,0,34588,225756,0,29615,0,0,0,17685,0
2023-03-22 00:56:00,0,0,36895,226549,0,30324,0,0,0,15848,0
2023-03-22 01:00:00,0,0,34797,5380,0,30286,0,0,0,16303,0
2023-03-22 01:04:00,0,0,240245,232299,0,102185,0,0,0,15942,0
2023-03-22 01:08:00,0,0,35662,235333,0,30152,0,0,0,16146,0
2023-03-22 01:12:00,0,0,36596,218638,0,30213,0,0,0,16702,0
2023-03-22 01:16:00,0,0,37948,227409,0,27921,0,0,0,15933,0
2023-03-22 01:20:00,0,0,35527,5500,0,29631,0,0,0,16267,0
2023-03-22 01:24:00,0,0,34996,224257,0,29880,0,0,0,16021,0
2023-03-22 01:28:00,0,0,35961,234001,0,28826,0,0,0,15797,0
