"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tiefighter","tracee-lvgxw","tracee-nxgbl","tracee-z2w8m","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-21 20:30:00,20676608,327217152,70344704,4231168,217100288,40214528,64647168,10518528,265285632,263745536,24248320,264073216,20254720,9830400,8003584,8204288,8560640,9048064,11771904,8982528,8548352,10960896,7954432,7737344,8994816,8462336,8376320,18395136,17895424,18251776,57643008,47816704,67362816,35508224,66904064,13402112,9625600,6651904,6758400,6651904,4816896,4825088,4874240,7729152,66510848,68886528,42217472,43868160,14934016,14598144,15024128,10502144,55726080,52547584,51294208,2621440,20807680,293314560,68997120,3969024,298622976,1282523136,6545408,6705152,7352320,7868416,270761984,89219072,639012864,883838976,958234624,114708480,16535552,37941248,661934080,12349440,13029376,11931648,53354496,2789376,292864000,610304,606208,618496,286720,115048448,112906240,119496704,42897408,64798720,5484544,34045952,278528
2023-03-21 20:32:00,18296832,327204864,70348800,4235264,217100288,39960576,64643072,10526720,265555968,265887744,24248320,268140544,20070400,9834496,8003584,8204288,8560640,9048064,11767808,8982528,8585216,11104256,7954432,7737344,8994816,8462336,8376320,18395136,17895424,18251776,57679872,47824896,70012928,35516416,72044544,13271040,9625600,6643712,6758400,6651904,4816896,4825088,4874240,7729152,66514944,68882432,42217472,43868160,14934016,14598144,15024128,10506240,55721984,52539392,51290112,2621440,20692992,293314560,68993024,3969024,299044864,1627414528,6512640,6934528,7344128,7729152,270761984,89219072,639139840,883843072,959942656,114294784,16535552,37466112,648011776,12967936,11833344,12718080,53354496,2793472,292864000,610304,606208,618496,286720,115904512,105709568,118906880,47673344,64798720,5406720,34045952,278528
2023-03-21 20:34:00,19877888,327204864,70574080,4411392,217100288,38776832,64647168,10555392,261554176,266014720,24256512,269828096,20529152,9801728,8003584,8204288,8556544,9048064,11771904,8982528,8585216,11202560,7958528,7737344,8994816,8462336,8376320,18395136,17899520,18251776,57741312,47824896,70860800,35516416,67682304,13266944,9625600,6647808,6758400,6656000,4816896,4825088,4874240,7729152,66510848,68886528,42217472,43868160,14934016,14598144,15024128,10502144,55726080,52543488,51294208,2621440,20787200,293314560,68993024,4001792,293535744,1583239168,6471680,6729728,7303168,7589888,270761984,89219072,639008768,883838976,974671872,114946048,16531456,36274176,632745984,13475840,11218944,12054528,53354496,2662400,292864000,610304,606208,618496,286720,115994624,113426432,118730752,48218112,64798720,5459968,34045952,278528
2023-03-21 20:36:00,20832256,327204864,70574080,4415488,217100288,38776832,64643072,10559488,261922816,260931584,24252416,269938688,20549632,9801728,8003584,8208384,8556544,9048064,11776000,8982528,8585216,11014144,7962624,7737344,8994816,8462336,8376320,18399232,17895424,18255872,57737216,47828992,71106560,35516416,67698688,13266944,9625600,6647808,6758400,6651904,4816896,4825088,4874240,7729152,66506752,68878336,42217472,43868160,14934016,14598144,15024128,10502144,55726080,52543488,51294208,2621440,21696512,293314560,68612096,4005888,295993344,1395572736,6397952,6737920,7458816,7598080,270761984,89219072,639004672,883838976,941383680,114151424,16527360,35950592,655618048,12283904,13512704,11423744,53354496,2662400,292864000,610304,606208,618496,286720,112721920,107900928,120832000,43945984,64798720,5455872,34045952,278528
2023-03-21 20:38:00,19062784,327204864,70574080,4415488,217100288,38776832,64643072,10555392,262762496,262422528,24252416,264310784,19894272,9809920,8003584,8204288,8556544,9048064,11780096,8982528,8585216,11018240,7966720,7737344,8994816,8462336,8376320,18395136,17895424,18251776,65409024,48545792,70979584,35516416,70615040,13266944,9625600,6643712,6754304,6651904,4816896,4825088,4874240,7729152,66506752,68886528,42217472,43868160,14934016,14598144,15028224,10506240,55726080,52547584,51294208,2621440,20381696,293314560,68743168,4034560,307073024,1618739200,6438912,6635520,8056832,7581696,270761984,89219072,639012864,883847168,959426560,115032064,16531456,36605952,654176256,13144064,11513856,11784192,53354496,2662400,292864000,610304,606208,618496,286720,116535296,112406528,120340480,43950080,64798720,5484544,34045952,278528
2023-03-21 20:40:00,19525632,327204864,70574080,4415488,217100288,38780928,64647168,10588160,262668288,261726208,24252416,263680000,19681280,9678848,8003584,8204288,8556544,9048064,11784192,8982528,8536064,11014144,7966720,7741440,8998912,8462336,8376320,18395136,17895424,18251776,59207680,47890432,71131136,35524608,71282688,13266944,9625600,6643712,6754304,6651904,4816896,4820992,4874240,7729152,66506752,68882432,42217472,43868160,14934016,14598144,15028224,10506240,55726080,52609024,51298304,2621440,21008384,293314560,68755456,4034560,308678656,1492434944,6586368,6746112,7344128,7798784,270761984,89219072,639016960,883965952,959569920,115593216,16539648,37269504,652124160,11550720,11788288,12177408,53354496,2793472,292864000,610304,606208,618496,286720,118112256,111529984,118349824,43556864,64798720,5484544,34045952,278528
2023-03-21 20:42:00,19525632,327213056,70574080,4415488,217100288,38776832,64643072,10473472,264232960,263503872,24256512,264978432,21000192,9678848,8003584,8204288,8556544,9048064,11784192,8982528,8560640,11022336,7966720,7741440,8998912,8462336,8376320,18395136,17928192,18251776,59211776,47890432,73777152,35520512,69984256,13336576,9625600,6647808,6758400,6651904,4816896,4825088,4874240,7729152,66514944,68886528,42217472,43868160,14934016,14598144,15028224,10506240,55721984,52547584,51290112,2621440,21229568,293314560,68755456,4038656,308727808,1568591872,6619136,6750208,7573504,7598080,270761984,89219072,639012864,883183616,975740928,114589696,16535552,35287040,635744256,12177408,13991936,14073856,53280768,2666496,292864000,610304,606208,618496,286720,117063680,112373760,120860672,48463872,64798720,5451776,34045952,278528
2023-03-21 20:44:00,20193280,327208960,70574080,4280320,217100288,38780928,64643072,10469376,264458240,263569408,24260608,265068544,21041152,9678848,8003584,8204288,8564736,9048064,11784192,8982528,8585216,11022336,7966720,7745536,8998912,8462336,8376320,18395136,17965056,18251776,59080704,47894528,74543104,35520512,68997120,13336576,9625600,6647808,6758400,6651904,4816896,4820992,4874240,7729152,66510848,68886528,42217472,43868160,14934016,14598144,15028224,10502144,55726080,52543488,51294208,2621440,20746240,293314560,69140480,3952640,306782208,1464311808,6742016,6586368,7344128,7786496,270761984,89219072,639148032,883179520,976314368,116822016,16605184,35946496,614604800,12001280,11960320,11235328,53280768,2662400,292864000,610304,606208,618496,286720,116666368,111427584,119238656,48705536,64798720,5451776,34045952,278528
2023-03-21 20:46:00,20193280,327208960,70574080,4280320,217100288,38776832,64643072,10469376,259952640,264245248,24866816,267214848,21094400,9682944,8003584,8204288,8568832,9048064,11784192,8982528,8585216,11022336,7974912,7741440,8998912,8462336,8376320,18395136,17895424,18251776,59080704,47894528,74285056,35520512,68427776,13336576,9625600,6647808,6758400,6651904,4816896,4825088,4874240,7729152,66514944,68886528,42213376,43868160,14934016,14598144,15028224,10502144,55738368,52551680,51298304,2621440,20615168,293314560,69013504,3952640,306786304,1599283200,6782976,6574080,7344128,7565312,270761984,89219072,639016960,883314688,956985344,117690368,16601088,36605952,658100224,11767808,11485184,12513280,53280768,2662400,292864000,610304,606208,618496,286720,109957120,107638784,115466240,44126208,64798720,5464064,34054144,278528
2023-03-21 20:48:00,19136512,327208960,70578176,4284416,217100288,38776832,64643072,10469376,259420160,263290880,24539136,267304960,19501056,9678848,8003584,8204288,8568832,9048064,11788288,8982528,8585216,11038720,7974912,7745536,8986624,8462336,8376320,18395136,17895424,18251776,59080704,47902720,75223040,35520512,70066176,13332480,9625600,6647808,6758400,6651904,4816896,4820992,4874240,7729152,66514944,68878336,42213376,43868160,14934016,14598144,15024128,10502144,55734272,52551680,51294208,2621440,20602880,293314560,69140480,3952640,309075968,1319428096,6750208,6729728,7319552,8392704,270761984,89223168,639016960,883838976,959459328,115716096,16605184,36245504,483946496,14180352,11800576,11812864,53280768,2793472,292864000,610304,606208,618496,286720,115535872,108490752,112992256,44109824,64798720,5484544,34045952,278528
