"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-21 20:28:00,14479,489,492
2023-03-21 20:32:00,14480,490,492
2023-03-21 20:36:00,14488,490,492
2023-03-21 20:40:00,14480,488,493
2023-03-21 20:44:00,14480,489,493
2023-03-21 20:48:00,14478,490,489
2023-03-21 20:52:00,14477,490,491
2023-03-21 20:56:00,14485,490,492
2023-03-21 21:00:00,14478,487,494
2023-03-21 21:04:00,14480,491,493
2023-03-21 21:08:00,14480,487,489
2023-03-21 21:12:00,14477,490,492
2023-03-21 21:16:00,14491,488,489
2023-03-21 21:20:00,14477,490,492
2023-03-21 21:24:00,14476,487,494
2023-03-21 21:28:00,14479,490,492
2023-03-21 21:32:00,14479,487,494
2023-03-21 21:36:00,14489,488,492
2023-03-21 21:40:00,14476,488,492
2023-03-21 21:44:00,14475,488,490
2023-03-21 21:48:00,14461,488,492
2023-03-21 21:52:00,14459,488,490
2023-03-21 21:56:00,14469,487,490
2023-03-21 22:00:00,14455,488,492
2023-03-21 22:04:00,14458,488,489
2023-03-21 22:08:00,14461,490,492
2023-03-21 22:12:00,14462,487,490
2023-03-21 22:16:00,14465,488,489
2023-03-21 22:20:00,14459,490,491
2023-03-21 22:24:00,14457,489,492
2023-03-21 22:28:00,14459,487,491
2023-03-21 22:32:00,14460,487,492
2023-03-21 22:36:00,14467,488,492
2023-03-21 22:40:00,14458,487,492
2023-03-21 22:44:00,14463,490,492
2023-03-21 22:48:00,14455,488,492
2023-03-21 22:52:00,14456,487,492
2023-03-21 22:56:00,14468,488,492
2023-03-21 23:00:00,14458,490,494
2023-03-21 23:04:00,14460,489,492
2023-03-21 23:08:00,14456,490,489
2023-03-21 23:12:00,14460,487,490
2023-03-21 23:16:00,14464,488,489
2023-03-21 23:20:00,14460,490,489
2023-03-21 23:24:00,14459,488,492
2023-03-21 23:28:00,14457,488,492
2023-03-21 23:32:00,14461,488,494
2023-03-21 23:36:00,14470,487,492
2023-03-21 23:40:00,14460,490,494
2023-03-21 23:44:00,14459,490,492
2023-03-21 23:48:00,14461,488,495
2023-03-21 23:52:00,14457,488,492
2023-03-21 23:56:00,14466,488,494
2023-03-22 00:00:00,14462,488,492
2023-03-22 00:04:00,14457,488,489
2023-03-22 00:08:00,14459,488,492
2023-03-22 00:12:00,14459,488,492
2023-03-22 00:16:00,14466,490,492
2023-03-22 00:20:00,14457,487,492
2023-03-22 00:24:00,14459,490,492
2023-03-22 00:28:00,14462,488,489
2023-03-22 00:32:00,14461,490,492
2023-03-22 00:36:00,14466,487,489
2023-03-22 00:40:00,14461,488,492
2023-03-22 00:44:00,14463,487,492
2023-03-22 00:48:00,14461,487,489
