"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-21 20:30:00,4652,3649,4806,7538,172,32732,0,201,4334,384,144,0
2023-03-21 20:32:00,4652,3649,4806,7538,172,32732,0,201,4334,384,144,0
2023-03-21 20:34:00,4652,3649,4806,7538,172,32732,0,201,4334,384,144,0
2023-03-21 20:36:00,4472,3579,5272,7207,179,34998,0,201,4870,381,248,0
2023-03-21 20:38:00,4472,3579,5272,7207,179,34998,0,201,4870,381,248,0
2023-03-21 20:40:00,5612,3686,4696,7441,179,32771,0,201,4211,383,144,0
2023-03-21 20:42:00,5612,3686,4696,7441,179,32771,0,201,4211,383,144,0
2023-03-21 20:44:00,5612,3686,4696,7441,179,32771,0,201,4211,383,144,0
2023-03-21 20:46:00,4500,3557,5277,7533,181,34602,0.140,201,4870,386,252,0
2023-03-21 20:48:00,4500,3557,5277,7533,181,34602,0.140,201,4870,386,252,0
2023-03-21 20:50:00,18168,3599,4789,7382,178,34233,0,201,4271,382,144,0
2023-03-21 20:52:00,18168,3599,4789,7382,178,34233,0,201,4271,382,144,0
2023-03-21 20:54:00,18168,3599,4789,7382,178,34233,0,201,4271,382,144,0
2023-03-21 20:56:00,4464,3472,7668,7196,175,31996,0.0467,201,7786,384,513,0.156
2023-03-21 20:58:00,4464,3472,7668,7196,175,31996,0.0467,201,7786,384,513,0.156
2023-03-21 21:00:00,4467,3744,4656,7639,183,35407,0.0467,201,4255,384,146,0
2023-03-21 21:02:00,4467,3744,4656,7639,183,35407,0.0467,201,4255,384,146,0
2023-03-21 21:04:00,4467,3744,4656,7639,183,35407,0.0467,201,4255,384,146,0
2023-03-21 21:06:00,4519,3552,5275,7290,173,33835,0,201,4949,384,257,0.0778
2023-03-21 21:08:00,4519,3552,5275,7290,173,33835,0,201,4949,384,257,0.0778
2023-03-21 21:10:00,5573,3618,4707,7297,177,33860,0,201,4189,376,145,0
2023-03-21 21:12:00,5573,3618,4707,7297,177,33860,0,201,4189,376,145,0
