"Time","cattle-fleet-local-system","cattle-fleet-system","cattle-monitoring-system","cattle-system","cert-manager","cilium-monitoring","default","falco","kube-system","longhorn-system","sock-shop","tracee-system"
2023-03-21 20:30:00,9.19,16.4,1244,47.7,2.87,22.9,0,2.65,899,25.5,19.3,0
2023-03-21 20:31:00,9.19,16.4,1244,47.7,2.87,22.9,0,2.65,899,25.5,19.3,0
2023-03-21 20:32:00,9.19,16.4,1244,47.7,2.87,22.9,0,2.65,899,25.5,19.3,0
2023-03-21 20:33:00,9.19,16.4,1244,47.7,2.87,22.9,0,2.65,899,25.5,19.3,0
2023-03-21 20:34:00,9.19,16.4,1244,47.7,2.87,22.9,0,2.65,899,25.5,19.3,0
2023-03-21 20:35:00,8.90,15.8,1428,47.0,2.95,24.7,0.00667,2.65,1027,25.6,26.9,0
2023-03-21 20:36:00,8.90,15.8,1428,47.0,2.95,24.7,0.00667,2.65,1027,25.6,26.9,0
2023-03-21 20:37:00,8.90,15.8,1428,47.0,2.95,24.7,0.00667,2.65,1027,25.6,26.9,0
2023-03-21 20:38:00,8.90,15.8,1428,47.0,2.95,24.7,0.00667,2.65,1027,25.6,26.9,0
2023-03-21 20:39:00,8.90,15.8,1428,47.0,2.95,24.7,0.00667,2.65,1027,25.6,26.9,0
2023-03-21 20:40:00,9.23,16.3,1240,48.7,2.95,23.3,0,2.65,886,25.9,19.2,0
2023-03-21 20:41:00,9.23,16.3,1240,48.7,2.95,23.3,0,2.65,886,25.9,19.2,0
2023-03-21 20:42:00,9.23,16.3,1240,48.7,2.95,23.3,0,2.65,886,25.9,19.2,0
2023-03-21 20:43:00,9.23,16.3,1240,48.7,2.95,23.3,0,2.65,886,25.9,19.2,0
2023-03-21 20:44:00,9.23,16.3,1240,48.7,2.95,23.3,0,2.65,886,25.9,19.2,0
2023-03-21 20:45:00,9.06,15.7,1415,47.6,3.07,24.0,0,2.65,1015,26.0,27.2,0
2023-03-21 20:46:00,9.06,15.7,1415,47.6,3.07,24.0,0,2.65,1015,26.0,27.2,0
2023-03-21 20:47:00,9.06,15.7,1415,47.6,3.07,24.0,0,2.65,1015,26.0,27.2,0
2023-03-21 20:48:00,9.06,15.7,1415,47.6,3.07,24.0,0,2.65,1015,26.0,27.2,0
2023-03-21 20:49:00,9.06,15.7,1415,47.6,3.07,24.0,0,2.65,1015,26.0,27.2,0
2023-03-21 20:50:00,13.0,15.9,1263,47.4,2.86,24.1,0,2.65,907,25.7,19.1,0
2023-03-21 20:51:00,13.0,15.9,1263,47.4,2.86,24.1,0,2.65,907,25.7,19.1,0
2023-03-21 20:52:00,13.0,15.9,1263,47.4,2.86,24.1,0,2.65,907,25.7,19.1,0
2023-03-21 20:53:00,13.0,15.9,1263,47.4,2.86,24.1,0,2.65,907,25.7,19.1,0
2023-03-21 20:54:00,13.0,15.9,1263,47.4,2.86,24.1,0,2.65,907,25.7,19.1,0
2023-03-21 20:55:00,8.95,15.3,2124,46.1,2.91,22.6,0.00333,2.65,1608,25.7,48.0,0
2023-03-21 20:56:00,8.95,15.3,2124,46.1,2.91,22.6,0.00333,2.65,1608,25.7,48.0,0
2023-03-21 20:57:00,8.95,15.3,2124,46.1,2.91,22.6,0.00333,2.65,1608,25.7,48.0,0
2023-03-21 20:58:00,8.95,15.3,2124,46.1,2.91,22.6,0.00333,2.65,1608,25.7,48.0,0
2023-03-21 20:59:00,8.95,15.3,2124,46.1,2.91,22.6,0.00333,2.65,1608,25.7,48.0,0
2023-03-21 21:00:00,8.79,16.3,1208,47.4,3.06,24.8,0,2.65,878,24.6,19.4,0
2023-03-21 21:01:00,8.79,16.3,1208,47.4,3.06,24.8,0,2.65,878,24.6,19.4,0
2023-03-21 21:02:00,8.79,16.3,1208,47.4,3.06,24.8,0,2.65,878,24.6,19.4,0
2023-03-21 21:03:00,8.79,16.3,1208,47.4,3.06,24.8,0,2.65,878,24.6,19.4,0
2023-03-21 21:04:00,8.79,16.3,1208,47.4,3.06,24.8,0,2.65,878,24.6,19.4,0
2023-03-21 21:05:00,8.45,15.4,1413,45.0,2.84,23.8,0,2.65,1035,23.2,27.2,0.0100
2023-03-21 21:06:00,8.45,15.4,1413,45.0,2.84,23.8,0,2.65,1035,23.2,27.2,0.0100
2023-03-21 21:07:00,8.45,15.4,1413,45.0,2.84,23.8,0,2.65,1035,23.2,27.2,0.0100
2023-03-21 21:08:00,8.45,15.4,1413,45.0,2.84,23.8,0,2.65,1035,23.2,27.2,0.0100
2023-03-21 21:09:00,8.45,15.4,1413,45.0,2.84,23.8,0,2.65,1035,23.2,27.2,0.0100
2023-03-21 21:10:00,8.58,15.7,1225,45.2,2.98,23.6,0.00333,2.65,866,22.5,19.2,0
2023-03-21 21:11:00,8.58,15.7,1225,45.2,2.98,23.6,0.00333,2.65,866,22.5,19.2,0
2023-03-21 21:12:00,8.58,15.7,1225,45.2,2.98,23.6,0.00333,2.65,866,22.5,19.2,0
2023-03-21 21:13:00,8.58,15.7,1225,45.2,2.98,23.6,0.00333,2.65,866,22.5,19.2,0
2023-03-21 21:14:00,8.58,15.7,1225,45.2,2.98,23.6,0.00333,2.65,866,22.5,19.2,0
2023-03-21 21:15:00,12.6,15.6,1445,46.3,3.03,23.0,0,2.65,1041,24.8,27.2,0
2023-03-21 21:16:00,12.6,15.6,1445,46.3,3.03,23.0,0,2.65,1041,24.8,27.2,0
2023-03-21 21:17:00,12.6,15.6,1445,46.3,3.03,23.0,0,2.65,1041,24.8,27.2,0
2023-03-21 21:18:00,12.6,15.6,1445,46.3,3.03,23.0,0,2.65,1041,24.8,27.2,0
2023-03-21 21:19:00,12.6,15.6,1445,46.3,3.03,23.0,0,2.65,1041,24.8,27.2,0
2023-03-21 21:20:00,8.62,15.8,1206,45.7,2.92,23.6,0.00333,2.65,867,24.9,19.2,0
2023-03-21 21:21:00,8.62,15.8,1206,45.7,2.92,23.6,0.00333,2.65,867,24.9,19.2,0
2023-03-21 21:22:00,8.62,15.8,1206,45.7,2.92,23.6,0.00333,2.65,867,24.9,19.2,0
2023-03-21 21:23:00,8.62,15.8,1206,45.7,2.92,23.6,0.00333,2.65,867,24.9,19.2,0
2023-03-21 21:24:00,8.62,15.8,1206,45.7,2.92,23.6,0.00333,2.65,867,24.9,19.2,0
2023-03-21 21:25:00,8.98,16.0,1457,53.1,2.98,24.3,0,2.65,1059,25.6,27.1,0
2023-03-21 21:26:00,8.98,16.0,1457,53.1,2.98,24.3,0,2.65,1059,25.6,27.1,0
2023-03-21 21:27:00,8.98,16.0,1457,53.1,2.98,24.3,0,2.65,1059,25.6,27.1,0
2023-03-21 21:28:00,8.98,16.0,1457,53.1,2.98,24.3,0,2.65,1059,25.6,27.1,0
2023-03-21 21:29:00,8.98,16.0,1457,53.1,2.98,24.3,0,2.65,1059,25.6,27.1,0
2023-03-21 21:30:00,8.14,15.7,1237,46.4,2.96,22.6,0.00333,2.65,882,25.7,19.1,0
2023-03-21 21:31:00,8.14,15.7,1237,46.4,2.96,22.6,0.00333,2.65,882,25.7,19.1,0
2023-03-21 21:32:00,8.14,15.7,1237,46.4,2.96,22.6,0.00333,2.65,882,25.7,19.1,0
2023-03-21 21:33:00,8.14,15.7,1237,46.4,2.96,22.6,0.00333,2.65,882,25.7,19.1,0
2023-03-21 21:34:00,8.14,15.7,1237,46.4,2.96,22.6,0.00333,2.65,882,25.7,19.1,0
2023-03-21 21:35:00,8.88,15.9,1410,47.3,2.93,22.8,0,2.65,1028,26.0,26.6,0
2023-03-21 21:36:00,8.88,15.9,1410,47.3,2.93,22.8,0,2.65,1028,26.0,26.6,0
2023-03-21 21:37:00,8.88,15.9,1410,47.3,2.93,22.8,0,2.65,1028,26.0,26.6,0
2023-03-21 21:38:00,8.88,15.9,1410,47.3,2.93,22.8,0,2.65,1028,26.0,26.6,0
2023-03-21 21:39:00,8.88,15.9,1410,47.3,2.93,22.8,0,2.65,1028,26.0,26.6,0
2023-03-21 21:40:00,13.9,16.4,1273,47.8,3.05,25.1,0.00333,2.65,898,26.1,19.0,0
2023-03-21 21:41:00,13.9,16.4,1273,47.8,3.05,25.1,0.00333,2.65,898,26.1,19.0,0
2023-03-21 21:42:00,13.9,16.4,1273,47.8,3.05,25.1,0.00333,2.65,898,26.1,19.0,0
2023-03-21 21:43:00,13.9,16.4,1273,47.8,3.05,25.1,0.00333,2.65,898,26.1,19.0,0
2023-03-21 21:44:00,13.9,16.4,1273,47.8,3.05,25.1,0.00333,2.65,898,26.1,19.0,0
2023-03-21 21:45:00,8.96,16.0,1754,47.8,2.85,22.1,0,2.65,1332,26.4,35.0,0
2023-03-21 21:46:00,8.96,16.0,1754,47.8,2.85,22.1,0,2.65,1332,26.4,35.0,0
2023-03-21 21:47:00,8.96,16.0,1754,47.8,2.85,22.1,0,2.65,1332,26.4,35.0,0
2023-03-21 21:48:00,8.96,16.0,1754,47.8,2.85,22.1,0,2.65,1332,26.4,35.0,0
2023-03-21 21:49:00,8.96,16.0,1754,47.8,2.85,22.1,0,2.65,1332,26.4,35.0,0
2023-03-21 21:50:00,8.53,16.2,1576,48.7,3.03,25.0,0,2.65,1151,25.4,34.0,0
2023-03-21 21:51:00,8.53,16.2,1576,48.7,3.03,25.0,0,2.65,1151,25.4,34.0,0
2023-03-21 21:52:00,8.53,16.2,1576,48.7,3.03,25.0,0,2.65,1151,25.4,34.0,0
2023-03-21 21:53:00,8.53,16.2,1576,48.7,3.03,25.0,0,2.65,1151,25.4,34.0,0
2023-03-21 21:54:00,8.53,16.2,1576,48.7,3.03,25.0,0,2.65,1151,25.4,34.0,0
2023-03-21 21:55:00,8.89,16.2,1221,46.6,2.98,23.6,0.00333,2.65,859,26.0,19.3,0
2023-03-21 21:56:00,8.89,16.2,1221,46.6,2.98,23.6,0.00333,2.65,859,26.0,19.3,0
2023-03-21 21:57:00,8.89,16.2,1221,46.6,2.98,23.6,0.00333,2.65,859,26.0,19.3,0
2023-03-21 21:58:00,8.89,16.2,1221,46.6,2.98,23.6,0.00333,2.65,859,26.0,19.3,0
2023-03-21 21:59:00,8.89,16.2,1221,46.6,2.98,23.6,0.00333,2.65,859,26.0,19.3,0
2023-03-21 22:00:00,8.81,15.9,1418,46.1,2.90,24.0,0,2.65,1030,25.5,27.2,0.00333
2023-03-21 22:01:00,8.81,15.9,1418,46.1,2.90,24.0,0,2.65,1030,25.5,27.2,0.00333
2023-03-21 22:02:00,8.81,15.9,1418,46.1,2.90,24.0,0,2.65,1030,25.5,27.2,0.00333
2023-03-21 22:03:00,8.81,15.9,1418,46.1,2.90,24.0,0,2.65,1030,25.5,27.2,0.00333
2023-03-21 22:04:00,8.81,15.9,1418,46.1,2.90,24.0,0,2.65,1030,25.5,27.2,0.00333
2023-03-21 22:05:00,12.9,15.9,1250,47.5,2.95,23.4,0.00333,2.65,898,25.7,19,0.00667
2023-03-21 22:06:00,12.9,15.9,1250,47.5,2.95,23.4,0.00333,2.65,898,25.7,19,0.00667
2023-03-21 22:07:00,12.9,15.9,1250,47.5,2.95,23.4,0.00333,2.65,898,25.7,19,0.00667
2023-03-21 22:08:00,12.9,15.9,1250,47.5,2.95,23.4,0.00333,2.65,898,25.7,19,0.00667
2023-03-21 22:09:00,12.9,15.9,1250,47.5,2.95,23.4,0.00333,2.65,898,25.7,19,0.00667
2023-03-21 22:10:00,9.08,15.6,1414,47.8,2.93,23.7,0,2.65,1037,25.8,27.1,0
2023-03-21 22:11:00,9.08,15.6,1414,47.8,2.93,23.7,0,2.65,1037,25.8,27.1,0
2023-03-21 22:12:00,9.08,15.6,1414,47.8,2.93,23.7,0,2.65,1037,25.8,27.1,0
2023-03-21 22:13:00,9.08,15.6,1414,47.8,2.93,23.7,0,2.65,1037,25.8,27.1,0
2023-03-21 22:14:00,9.08,15.6,1414,47.8,2.93,23.7,0,2.65,1037,25.8,27.1,0
2023-03-21 22:15:00,8.72,16.6,1232,47.3,2.94,22.7,0.00333,2.65,855,25.9,19.0,0
2023-03-21 22:16:00,8.72,16.6,1232,47.3,2.94,22.7,0.00333,2.65,855,25.9,19.0,0
2023-03-21 22:17:00,8.72,16.6,1232,47.3,2.94,22.7,0.00333,2.65,855,25.9,19.0,0
2023-03-21 22:18:00,8.72,16.6,1232,47.3,2.94,22.7,0.00333,2.65,855,25.9,19.0,0
2023-03-21 22:19:00,8.72,16.6,1232,47.3,2.94,22.7,0.00333,2.65,855,25.9,19.0,0
2023-03-21 22:20:00,8.78,15.8,1419,48.2,3.01,25.5,0,2.65,1040,26.2,27.0,0
2023-03-21 22:21:00,8.78,15.8,1419,48.2,3.01,25.5,0,2.65,1040,26.2,27.0,0
2023-03-21 22:22:00,8.78,15.8,1419,48.2,3.01,25.5,0,2.65,1040,26.2,27.0,0
2023-03-21 22:23:00,8.78,15.8,1419,48.2,3.01,25.5,0,2.65,1040,26.2,27.0,0
2023-03-21 22:24:00,8.78,15.8,1419,48.2,3.01,25.5,0,2.65,1040,26.2,27.0,0
2023-03-21 22:25:00,12.6,16.3,1266,46.5,2.94,23.4,0,2.65,908,25.7,19.5,0
2023-03-21 22:26:00,12.6,16.3,1266,46.5,2.94,23.4,0,2.65,908,25.7,19.5,0
2023-03-21 22:27:00,12.6,16.3,1266,46.5,2.94,23.4,0,2.65,908,25.7,19.5,0
2023-03-21 22:28:00,12.6,16.3,1266,46.5,2.94,23.4,0,2.65,908,25.7,19.5,0
2023-03-21 22:29:00,12.6,16.3,1266,46.5,2.94,23.4,0,2.65,908,25.7,19.5,0
2023-03-21 22:30:00,8.73,15.5,1396,45.4,2.93,23.3,0,2.65,1018,23.2,27.2,0
2023-03-21 22:31:00,8.73,15.5,1396,45.4,2.93,23.3,0,2.65,1018,23.2,27.2,0
2023-03-21 22:32:00,8.73,15.5,1396,45.4,2.93,23.3,0,2.65,1018,23.2,27.2,0
2023-03-21 22:33:00,8.73,15.5,1396,45.4,2.93,23.3,0,2.65,1018,23.2,27.2,0
2023-03-21 22:34:00,8.73,15.5,1396,45.4,2.93,23.3,0,2.65,1018,23.2,27.2,0
2023-03-21 22:35:00,7.78,15.2,1216,45.7,2.98,23.8,0.00333,2.65,864,22.3,19.2,0
2023-03-21 22:36:00,7.78,15.2,1216,45.7,2.98,23.8,0.00333,2.65,864,22.3,19.2,0
2023-03-21 22:37:00,7.78,15.2,1216,45.7,2.98,23.8,0.00333,2.65,864,22.3,19.2,0
2023-03-21 22:38:00,7.78,15.2,1216,45.7,2.98,23.8,0.00333,2.65,864,22.3,19.2,0
2023-03-21 22:39:00,7.78,15.2,1216,45.7,2.98,23.8,0.00333,2.65,864,22.3,19.2,0
