"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","falco-jxh2r","falco-pj6wr","falco-x5wwx","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tiefighter","tracee-lvgxw","tracee-nxgbl","tracee-z2w8m","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-21 20:30:00,1.86,0.103,0.207,3.50,0,0.967,0.493,1.72,281,149,250,247,3.60,1.40,0.260,0.247,0.253,0.253,1.40,0.247,0.257,1.50,0.260,0.260,1.57,0,0,0,0,0,0.863,0.907,0.910,10.8,10.5,5.37,8.39,1.15,1.30,0,0.973,1.01,0.983,0.983,0.997,0.997,0.0633,2.91,3.04,0.463,0.443,0,0,0,0,3.27,3.06,3.17,0,9.22,0.103,0.207,3.62,20.2,14.2,274,149,244,5.73,0.0767,0.0700,16.0,13.0,20.6,2.27,5.39,0.443,11.9,248,269,147,0.653,0.00667,0,0,0,0,0,0,0,0,1.55,0,4.95,2.79,0
2023-03-21 20:32:00,1.86,0.103,0.207,3.50,0,0.967,0.493,1.72,281,149,250,247,3.60,1.40,0.260,0.247,0.253,0.253,1.40,0.247,0.257,1.50,0.260,0.260,1.57,0,0,0,0,0,0.863,0.907,0.910,10.8,10.5,5.37,8.39,1.15,1.30,0,0.973,1.01,0.983,0.983,0.997,0.997,0.0633,2.91,3.04,0.463,0.443,0,0,0,0,3.27,3.06,3.17,0,9.22,0.103,0.207,3.62,20.2,14.2,274,149,244,5.73,0.0767,0.0700,16.0,13.0,20.6,2.27,5.39,0.443,11.9,248,269,147,0.653,0.00667,0,0,0,0,0,0,0,0,1.55,0,4.95,2.79,0
2023-03-21 20:34:00,1.86,0.103,0.207,3.50,0,0.967,0.493,1.72,281,149,250,247,3.60,1.40,0.260,0.247,0.253,0.253,1.40,0.247,0.257,1.50,0.260,0.260,1.57,0,0,0,0,0,0.863,0.907,0.910,10.8,10.5,5.37,8.39,1.15,1.30,0,0.973,1.01,0.983,0.983,0.997,0.997,0.0633,2.91,3.04,0.463,0.443,0,0,0,0,3.27,3.06,3.17,0,9.22,0.103,0.207,3.62,20.2,14.2,274,149,244,5.73,0.0767,0.0700,16.0,13.0,20.6,2.27,5.39,0.443,11.9,248,269,147,0.653,0.00667,0,0,0,0,0,0,0,0,1.55,0,4.95,2.79,0
2023-03-21 20:36:00,1.90,1.46,1.07,4.13,0.200,1.03,0.513,1.73,249,177,268,273,3.97,1.52,0.253,0.250,0.253,0.220,1.44,0.247,0.253,1.47,0.253,0.257,1.48,0,0,0,0,0,0.863,0.907,0.910,10.3,10.8,10.1,7.75,1.04,1.37,0,1.02,0.973,0.973,0.963,0.983,0.990,0.0633,3.02,2.86,0.437,0.440,0,0,0,0,3.12,3.23,3.12,0,9.15,0.0933,0.210,3.44,22.0,13.4,250,175,279,5.71,0.0633,0.0667,15.3,13.1,20.4,1.22,5.45,0.367,12.2,274,253,177,0.717,0.217,0,0,0,0,0,0,0,0,15.5,0,4.93,2.98,0
2023-03-21 20:38:00,1.90,1.46,1.07,4.13,0.200,1.03,0.513,1.73,249,177,268,273,3.97,1.52,0.253,0.250,0.253,0.220,1.44,0.247,0.253,1.47,0.253,0.257,1.48,0,0,0,0,0,0.863,0.907,0.910,10.3,10.8,10.1,7.75,1.04,1.37,0,1.02,0.973,0.973,0.963,0.983,0.990,0.0633,3.02,2.86,0.437,0.440,0,0,0,0,3.12,3.23,3.12,0,9.15,0.0933,0.210,3.44,22.0,13.4,250,175,279,5.71,0.0633,0.0667,15.3,13.1,20.4,1.22,5.45,0.367,12.2,274,253,177,0.717,0.217,0,0,0,0,0,0,0,0,15.5,0,4.93,2.98,0
2023-03-21 20:40:00,2.02,0.100,0.193,3.40,0,1.01,0.543,1.68,263,132,239,240,3.69,1.48,0.253,0.247,0.253,0.267,1.47,0.247,0.253,1.50,0.260,0.260,1.60,0,0,0,0,0,0.863,0.907,0.910,10.6,11.2,5.29,8.03,1.15,1.34,0,0.937,1.01,0.997,1.02,0.970,0.977,0.0667,2.82,2.90,0.443,0.457,0,0,0.00333,0,3.19,3.24,3.22,0,9.10,0.103,0.193,3.42,20.2,13.1,258,138,234,5.46,0.0667,0.0733,16.1,13.2,21.4,1.29,5.22,0.473,11.3,237,261,139,0.763,0.00667,0.00333,0,0,0,0,0,0,0,1.54,0,5.10,2.96,0
2023-03-21 20:42:00,2.02,0.100,0.193,3.40,0,1.01,0.543,1.68,263,132,239,240,3.69,1.48,0.253,0.247,0.253,0.267,1.47,0.247,0.253,1.50,0.260,0.260,1.60,0,0,0,0,0,0.863,0.907,0.910,10.6,11.2,5.29,8.03,1.15,1.34,0,0.937,1.01,0.997,1.02,0.970,0.977,0.0667,2.82,2.90,0.443,0.457,0,0,0.00333,0,3.19,3.24,3.22,0,9.10,0.103,0.193,3.42,20.2,13.1,258,138,234,5.46,0.0667,0.0733,16.1,13.2,21.4,1.29,5.22,0.473,11.3,237,261,139,0.763,0.00667,0.00333,0,0,0,0,0,0,0,1.54,0,5.10,2.96,0
2023-03-21 20:44:00,2.02,0.100,0.193,3.40,0,1.01,0.543,1.68,263,132,239,240,3.69,1.48,0.253,0.247,0.253,0.267,1.47,0.247,0.253,1.50,0.260,0.260,1.60,0,0,0,0,0,0.863,0.907,0.910,10.6,11.2,5.29,8.03,1.15,1.34,0,0.937,1.01,0.997,1.02,0.970,0.977,0.0667,2.82,2.90,0.443,0.457,0,0,0.00333,0,3.19,3.24,3.22,0,9.10,0.103,0.193,3.42,20.2,13.1,258,138,234,5.46,0.0667,0.0733,16.1,13.2,21.4,1.29,5.22,0.473,11.3,237,261,139,0.763,0.00667,0.00333,0,0,0,0,0,0,0,1.54,0,5.10,2.96,0
2023-03-21 20:46:00,1.91,1.49,1.14,4.09,0.200,1.01,0.527,1.79,251,180,265,272,3.85,1.46,0.260,0.247,0.270,0.253,1.48,0.240,0.253,1.47,0.253,0.260,1.57,0.00333,0,0,0,0,0.863,0.907,0.910,10.4,10.6,10.0,7.95,1.06,1.34,0,1.03,0.997,0.970,1.02,0.997,0.963,0.0533,3,3.04,0.453,0.447,0,0,0,0,3.23,3.23,3.29,0,9.29,0.107,0.200,3.62,21.3,13.6,265,179,276,5.31,0.0667,0.0800,16.0,12.9,20.7,1.15,5.34,0.460,11.5,270,248,173,0.803,0.187,0,0,0,0,0.00333,0,0,0,15.5,0,5.10,2.75,0.00333
2023-03-21 20:48:00,1.91,1.49,1.14,4.09,0.200,1.01,0.527,1.79,251,180,265,272,3.85,1.46,0.260,0.247,0.270,0.253,1.48,0.240,0.253,1.47,0.253,0.260,1.57,0.00333,0,0,0,0,0.863,0.907,0.910,10.4,10.6,10.0,7.95,1.06,1.34,0,1.03,0.997,0.970,1.02,0.997,0.963,0.0533,3,3.04,0.453,0.447,0,0,0,0,3.23,3.23,3.29,0,9.29,0.107,0.200,3.62,21.3,13.6,265,179,276,5.31,0.0667,0.0800,16.0,12.9,20.7,1.15,5.34,0.460,11.5,270,248,173,0.803,0.187,0,0,0,0,0.00333,0,0,0,15.5,0,5.10,2.75,0.00333
