"Time","alertmanager-rancher-monitoring-alertmanager-0","carts-764fc55cb5-28vx2","carts-db-b8857f897-7p4xn","catalogue-64499f4dc4-zwhjl","catalogue-db-5b6696d9bd-fbb5s","cert-manager-85f7c4c4b8-cdjxb","cert-manager-cainjector-7656fbb787-pkv8n","cert-manager-webhook-797b5db9c6-hhdgx","cilium-hks2q","cilium-lnk87","cilium-operator-d7fc69fd7-f2msg","cilium-xsrc2","coredns-7b5bbc6644-tpp2m","csi-attacher-54dfc6cdf4-2d2sn","csi-attacher-54dfc6cdf4-9nwjl","csi-attacher-54dfc6cdf4-m58tc","csi-provisioner-7544d7867c-8h99q","csi-provisioner-7544d7867c-fdqx9","csi-provisioner-7544d7867c-jmgt2","csi-resizer-59fc8b7895-66tql","csi-resizer-59fc8b7895-k8fz9","csi-resizer-59fc8b7895-s45wt","csi-snapshotter-69f4795cf8-68mkk","csi-snapshotter-69f4795cf8-brzk9","csi-snapshotter-69f4795cf8-lp65b","deathstar-6cf8dd5457-jgbrm","deathstar-6cf8dd5457-vmvfq","engine-image-ei-881c42db-dq56c","engine-image-ei-881c42db-gp65l","engine-image-ei-881c42db-sflls","falco-jxh2r","falco-pj6wr","falco-x5wwx","fleet-agent-59557c8896-7lp6n","fleet-controller-6f8f94fffb-wcgt6","front-end-5c6fdd77d7-q2jtq","gitjob-766b5f678d-4rrlp","grafana-67b5cf6bdd-bbv8c","hubble-relay-6565cf56c6-52kkq","hubble-ui-64bd8dcbf5-7x4nn","instance-manager-e-40c0f7f8","instance-manager-e-6b83fa90","instance-manager-e-a461837b","instance-manager-r-10aaabb9","instance-manager-r-8266b245","instance-manager-r-f7a5bf94","local-path-provisioner-687d6d7765-dblqm","longhorn-admission-webhook-5bc44d4c9c-ffgx6","longhorn-admission-webhook-5bc44d4c9c-hvw2b","longhorn-conversion-webhook-595c45975-h7lhl","longhorn-conversion-webhook-595c45975-nk4bs","longhorn-csi-plugin-lc9ss","longhorn-csi-plugin-w6s4p","longhorn-csi-plugin-zc8xs","longhorn-driver-deployer-86487c7d89-d2mwr","longhorn-manager-mqctm","longhorn-manager-sfh8w","longhorn-manager-tmf5v","longhorn-ui-6588b76644-wdhzj","metrics-server-667586758d-9bmlb","orders-846cc4998f-d2dbw","orders-db-64cf56d65-8wpxb","payment-7f8c55ccdb-r6ssj","prometheus-678fcbcfb7-7jkrz","prometheus-rancher-monitoring-prometheus-0","pushprox-k3s-server-client-5xvrv","pushprox-k3s-server-client-kqnvf","pushprox-k3s-server-client-tmr89","pushprox-k3s-server-proxy-575bb76848-wfk24","queue-master-7f97ddc64c-ggs74","rabbitmq-6d4b4d589f-2vrzz","rancher-747786585f-8dkk4","rancher-747786585f-ckbfh","rancher-747786585f-fj5hc","rancher-monitoring-grafana-68576c5cfc-ptnxf","rancher-monitoring-kube-state-metrics-7798b97f8-528sn","rancher-monitoring-operator-7f84c87bfc-swdnn","rancher-monitoring-prometheus-adapter-d7f6d6b87-t8wwr","rancher-monitoring-prometheus-node-exporter-8bj82","rancher-monitoring-prometheus-node-exporter-bmktd","rancher-monitoring-prometheus-node-exporter-bq4nv","rancher-webhook-555dd59d4c-lsjlj","session-db-74fb9d6f76-87cd7","shipping-748699d84b-5jw4t","svclb-traefik-72825b3b-d5nvs","svclb-traefik-72825b3b-j6q8w","svclb-traefik-72825b3b-lqlx5","tiefighter","tracee-lvgxw","tracee-nxgbl","tracee-z2w8m","traefik-64b96ccbcd-64qtj","ubuntu","user-665b475d67-fhr6l","user-db-847ddd8676-twtdk","xwing"
2023-03-21 20:30:00,172,39.8,19.6,307,0,211,154,150,177152,125679,163384,159717,348,441,131,124,125,125,428,123,127,460,132,132,473,0,0,0,0,0,198,202,202,4652,4563,429,2735,107,85.6,0,65.1,67.9,65.6,65.8,66.6,66.6,4.58,1857,1926,33.8,32.0,0,0,0,0,1921,1820,1856,0,1910,39.8,19.6,318,65357,42937,173352,125589,157388,17546,4.47,4.41,9145,7072,12438,5952,1579,325,23453,160539,170381,125207,1497,0.360,0,0,0,0,0,0,0,0,181,0,578,262,0
2023-03-21 20:32:00,172,39.8,19.6,307,0,211,154,150,177152,125679,163384,159717,348,441,131,124,125,125,428,123,127,460,132,132,473,0,0,0,0,0,198,202,202,4652,4563,429,2735,107,85.6,0,65.1,67.9,65.6,65.8,66.6,66.6,4.58,1857,1926,33.8,32.0,0,0,0,0,1921,1820,1856,0,1910,39.8,19.6,318,65357,42937,173352,125589,157388,17546,4.47,4.41,9145,7072,12438,5952,1579,325,23453,160539,170381,125207,1497,0.360,0,0,0,0,0,0,0,0,181,0,578,262,0
2023-03-21 20:34:00,172,39.8,19.6,307,0,211,154,150,177152,125679,163384,159717,348,441,131,124,125,125,428,123,127,460,132,132,473,0,0,0,0,0,198,202,202,4652,4563,429,2735,107,85.6,0,65.1,67.9,65.6,65.8,66.6,66.6,4.58,1857,1926,33.8,32.0,0,0,0,0,1921,1820,1856,0,1910,39.8,19.6,318,65357,42937,173352,125589,157388,17546,4.47,4.41,9145,7072,12438,5952,1579,325,23453,160539,170381,125207,1497,0.360,0,0,0,0,0,0,0,0,181,0,578,262,0
2023-03-21 20:36:00,172,334,189,433,37.2,225,162,151,162541,157452,182745,187832,380,467,128,125,125,109,453,123,126,441,129,129,450,0,0,0,0,0,198,202,202,4472,4631,1230,2527,80.0,89.4,0,68.3,65.1,65.0,64.5,65.7,66.2,5.06,1880,1828,32.0,31.5,0,0,0,0,1850,1902,1853,0,1904,35.9,19.9,302,69916,40383,162638,154616,192084,17549,3.99,4.27,8765,7048,11461,109,1547,180,23129,189351,165143,155041,1553,27.2,0,0,0,0,0,0,0,0,13203,0,577,284,0
2023-03-21 20:38:00,172,334,189,433,37.2,225,162,151,162541,157452,182745,187832,380,467,128,125,125,109,453,123,126,441,129,129,450,0,0,0,0,0,198,202,202,4472,4631,1230,2527,80.0,89.4,0,68.3,65.1,65.0,64.5,65.7,66.2,5.06,1880,1828,32.0,31.5,0,0,0,0,1850,1902,1853,0,1904,35.9,19.9,302,69916,40383,162638,154616,192084,17549,3.99,4.27,8765,7048,11461,109,1547,180,23129,189351,165143,155041,1553,27.2,0,0,0,0,0,0,0,0,13203,0,577,284,0
2023-03-21 20:40:00,185,38.5,18.4,297,0,222,170,146,168306,120632,159473,159640,353,459,128,124,126,132,456,123,127,460,132,132,486,0,0,0,0,0,198,202,202,5612,4757,422,2615,105,87.6,0,62.7,67.9,66.6,68.1,64.9,65.2,5.12,1798,1816,32.0,32.9,0,0,0.233,0,1872,1908,1893,0,1902,39.8,18.4,300,65438,41611,165368,124457,154966,17530,4.13,4.55,9143,7106,11961,151,1555,327,22698,159216,166322,127095,1555,0.360,0.233,0,0,0,0,0,0,0,169,0,598,278,0
2023-03-21 20:42:00,185,38.5,18.4,297,0,222,170,146,168306,120632,159473,159640,353,459,128,124,126,132,456,123,127,460,132,132,486,0,0,0,0,0,198,202,202,5612,4757,422,2615,105,87.6,0,62.7,67.9,66.6,68.1,64.9,65.2,5.12,1798,1816,32.0,32.9,0,0,0.233,0,1872,1908,1893,0,1902,39.8,18.4,300,65438,41611,165368,124457,154966,17530,4.13,4.55,9143,7106,11961,151,1555,327,22698,159216,166322,127095,1555,0.360,0.233,0,0,0,0,0,0,0,169,0,598,278,0
2023-03-21 20:44:00,185,38.5,18.4,297,0,222,170,146,168306,120632,159473,159640,353,459,128,124,126,132,456,123,127,460,132,132,486,0,0,0,0,0,198,202,202,5612,4757,422,2615,105,87.6,0,62.7,67.9,66.6,68.1,64.9,65.2,5.12,1798,1816,32.0,32.9,0,0,0.233,0,1872,1908,1893,0,1902,39.8,18.4,300,65438,41611,165368,124457,154966,17530,4.13,4.55,9143,7106,11961,151,1555,327,22698,159216,166322,127095,1555,0.360,0.233,0,0,0,0,0,0,0,169,0,598,278,0
2023-03-21 20:46:00,173,384,198,429,37.2,222,163,156,163516,155838,184229,186964,373,458,131,124,132,125,457,120,126,453,129,132,479,0.233,0,0,0,0,198,202,202,4500,4519,1214,2595,81.1,87.7,0,69.0,66.6,64.8,68.5,66.6,64.4,3.60,1866,1913,32.4,32.4,0,0,0,0,1862,1861,1911,0,1926,40.0,19,318,69123,42903,170707,157826,190063,17522,4.13,4.83,9119,6922,12481,104,1584,327,22776,184703,162431,151802,1610,22.6,0,0,0,0,0.233,0,0,0,13200,0,596,258,0.233
2023-03-21 20:48:00,173,384,198,429,37.2,222,163,156,163516,155838,184229,186964,373,458,131,124,132,125,457,120,126,453,129,132,479,0.233,0,0,0,0,198,202,202,4500,4519,1214,2595,81.1,87.7,0,69.0,66.6,64.8,68.5,66.6,64.4,3.60,1866,1913,32.4,32.4,0,0,0,0,1862,1861,1911,0,1926,40.0,19,318,69123,42903,170707,157826,190063,17522,4.13,4.83,9119,6922,12481,104,1584,327,22776,184703,162431,151802,1610,22.6,0,0,0,0,0.233,0,0,0,13200,0,596,258,0.233
