"Time","192.168.0.211:10250","192.168.0.221:10250","192.168.0.222:10250"
2023-03-21 20:28:00,1686220800,167583744,165814272
2023-03-21 20:32:00,1693650944,169218048,171339776
2023-03-21 20:36:00,1763897344,172060672,164827136
2023-03-21 20:40:00,1840308224,172392448,169668608
2023-03-21 20:44:00,1694310400,169631744,169635840
2023-03-21 20:48:00,1763741696,171053056,164134912
2023-03-21 20:52:00,1684824064,169181184,167845888
2023-03-21 20:56:00,1733955584,166764544,169279488
2023-03-21 21:00:00,1842339840,171573248,171196416
2023-03-21 21:04:00,1678098432,166952960,170450944
2023-03-21 21:08:00,1733386240,169668608,169902080
2023-03-21 21:12:00,1738780672,168296448,163663872
2023-03-21 21:16:00,1741836288,171630592,165634048
2023-03-21 21:20:00,1776885760,164302848,168132608
2023-03-21 21:24:00,1734758400,170786816,170958848
2023-03-21 21:28:00,1697038336,167333888,165310464
2023-03-21 21:32:00,1684578304,169705472,165425152
2023-03-21 21:36:00,1721016320,170532864,165597184
2023-03-21 21:40:00,1902006272,171540480,164491264
2023-03-21 21:44:00,1709289472,170266624,168005632
2023-03-21 21:48:00,1664897024,169402368,167993344
2023-03-21 21:52:00,1678155776,169381888,170401792
2023-03-21 21:56:00,1767460864,164540416,170995712
2023-03-21 22:00:00,1895501824,166780928,165994496
2023-03-21 22:04:00,1720143872,167952384,172306432
2023-03-21 22:08:00,1788702720,171913216,167071744
2023-03-21 22:12:00,1722494976,171388928,168534016
2023-03-21 22:16:00,1686208512,171798528,167460864
2023-03-21 22:20:00,1921351680,169811968,170549248
2023-03-21 22:24:00,1704796160,164634624,165810176
2023-03-21 22:28:00,1680371712,167260160,170389504
2023-03-21 22:32:00,1743822848,172986368,167485440
2023-03-21 22:36:00,1697947648,167641088,166703104
2023-03-21 22:40:00,1932136448,168906752,164802560
2023-03-21 22:44:00,1726468096,170307584,165875712
2023-03-21 22:48:00,1732378624,165306368,168472576
2023-03-21 22:52:00,1688915968,167796736,170541056
2023-03-21 22:56:00,1877184512,169971712,164884480
2023-03-21 23:00:00,1884184576,170274816,166432768
2023-03-21 23:04:00,1739583488,169693184,170848256
2023-03-21 23:08:00,1730166784,165199872,168595456
2023-03-21 23:12:00,1668820992,171999232,169803776
2023-03-21 23:16:00,1746685952,170795008,167874560
2023-03-21 23:20:00,1886519296,170381312,170237952
2023-03-21 23:24:00,1706020864,169574400,165257216
2023-03-21 23:28:00,1674702848,169160704,166158336
2023-03-21 23:32:00,1741746176,164806656,169189376
2023-03-21 23:36:00,1661575168,168488960,170610688
2023-03-21 23:40:00,1926508544,169623552,164802560
2023-03-21 23:44:00,1728270336,170098688,170905600
2023-03-21 23:48:00,1746563072,168775680,164659200
2023-03-21 23:52:00,1657864192,171417600,165212160
2023-03-21 23:56:00,1729900544,169693184,171118592
2023-03-22 00:00:00,1856315392,164012032,166850560
2023-03-22 00:04:00,1661407232,170528768,166580224
2023-03-22 00:08:00,1724887040,167473152,171614208
2023-03-22 00:12:00,1715867648,168177664,166887424
2023-03-22 00:16:00,1706827776,169054208,170340352
2023-03-22 00:20:00,1901883392,171659264,170586112
2023-03-22 00:24:00,1666940928,166629376,171622400
2023-03-22 00:28:00,1681223680,169480192,165457920
2023-03-22 00:32:00,1736179712,170799104,170835968
2023-03-22 00:36:00,1725247488,168296448,171016192
2023-03-22 00:40:00,1920360448,169881600,170233856
2023-03-22 00:44:00,1676812288,168570880,170328064
2023-03-22 00:48:00,1684529152,166621184,166846464
2023-03-22 00:52:00,1727209472,170803200,167374848
2023-03-22 00:56:00,1660727296,164347904,171569152
2023-03-22 01:00:00,1862029312,170135552,165511168
2023-03-22 01:04:00,1685471232,168775680,166752256
2023-03-22 01:08:00,1725820928,169291776,168644608
2023-03-22 01:12:00,1697755136,166944768,167514112
2023-03-22 01:16:00,1711624192,168726528,160747520
2023-03-22 01:20:00,1851322368,167309312,166658048
2023-03-22 01:24:00,1711337472,170573824,163868672
2023-03-22 01:28:00,1719427072,170983424,168054784
2023-03-22 01:32:00,1678434304,173285376,169627648
2023-03-22 01:36:00,1766326272,170418176,170536960
2023-03-22 01:40:00,1849249792,170098688,163172352
2023-03-22 01:44:00,1696509952,171315200,166723584
2023-03-22 01:48:00,1712582656,165482496,166961152
2023-03-22 01:52:00,1684140032,166326272,170332160
2023-03-22 01:56:00,1674141696,164921344,169082880
2023-03-22 02:00:00,1935839232,172519424,165502976
2023-03-22 02:04:00,1683402752,170094592,165203968
2023-03-22 02:08:00,1679310848,168906752,171905024
2023-03-22 02:12:00,1752449024,164818944,170299392
2023-03-22 02:16:00,1750188032,166182912,170110976
2023-03-22 02:20:00,1876422656,168816640,169955328
2023-03-22 02:24:00,1692004352,169398272,169156608
2023-03-22 02:28:00,1717616640,169451520,169648128
2023-03-22 02:32:00,1676943360,169095168,170524672
2023-03-22 02:36:00,1708146688,169414656,165531648
2023-03-22 02:40:00,1915916288,170328064,172048384
2023-03-22 02:44:00,1663918080,168095744,170663936
2023-03-22 02:48:00,1710845952,170921984,166449152
2023-03-22 02:52:00,1719611392,170323968,171175936
2023-03-22 02:56:00,1728458752,169742336,170967040
2023-03-22 03:00:00,1937469440,170786816,171225088
2023-03-22 03:04:00,1705836544,170790912,164724736
2023-03-22 03:08:00,1715068928,169287680,169598976
2023-03-22 03:12:00,1715646464,169771008,166023168
2023-03-22 03:16:00,1717293056,167731200,170065920
2023-03-22 03:20:00,1756028928,168992768,168493056
2023-03-22 03:24:00,1733431296,165482496,164630528
2023-03-22 03:28:00,1717325824,169967616,170737664
2023-03-22 03:32:00,1742110720,170450944,170606592
2023-03-22 03:36:00,1697140736,167723008,167391232
2023-03-22 03:40:00,1965027328,168366080,165027840
2023-03-22 03:44:00,1724903424,167002112,166907904
2023-03-22 03:48:00,1677770752,166969344,163659776
2023-03-22 03:52:00,1724682240,170201088,166146048
2023-03-22 03:56:00,1784721408,170061824,167755776
2023-03-22 04:00:00,1844457472,167321600,162889728
2023-03-22 04:04:00,1699598336,167698432,163835904
2023-03-22 04:08:00,1712738304,169455616,165163008
2023-03-22 04:12:00,1707470848,171708416,168849408
2023-03-22 04:16:00,1679028224,168398848,168845312
2023-03-22 04:20:00,1745891328,170000384,170233856
2023-03-22 04:24:00,1756012544,166354944,166469632
2023-03-22 04:28:00,1682534400,170496000,170336256
2023-03-22 04:32:00,1721929728,169865216,166944768
2023-03-22 04:36:00,1696600064,168665088,170586112
2023-03-22 04:40:00,1725669376,170012672,164327424
2023-03-22 04:44:00,1737928704,164601856,167849984
2023-03-22 04:48:00,1700880384,168796160,171491328
2023-03-22 04:52:00,1736491008,169840640,164704256
2023-03-22 04:56:00,1653657600,168701952,170684416
2023-03-22 05:00:00,1842458624,169123840,168579072
2023-03-22 05:04:00,1718272000,169549824,170438656
2023-03-22 05:08:00,1717780480,169414656,169742336
2023-03-22 05:12:00,1711071232,168771584,163352576
2023-03-22 05:16:00,1728884736,168058880,165285888
2023-03-22 05:20:00,1892302848,169271296,169758720
2023-03-22 05:24:00,1694334976,169828352,167264256
2023-03-22 05:28:00,1731416064,169148416,164843520
2023-03-22 05:32:00,1719656448,170188800,164368384
2023-03-22 05:36:00,1732481024,167206912,170110976
2023-03-22 05:40:00,1877360640,172474368,165089280
2023-03-22 05:44:00,1670426624,168714240,164859904
2023-03-22 05:48:00,1733070848,167907328,170631168
2023-03-22 05:52:00,1706549248,168534016,166195200
2023-03-22 05:56:00,1685618688,169402368,164745216
2023-03-22 06:00:00,1752862720,169152512,163696640
2023-03-22 06:04:00,1728839680,166551552,163315712
2023-03-22 06:08:00,1702645760,168452096,171548672
2023-03-22 06:12:00,1723224064,164864000,167813120
2023-03-22 06:16:00,1691119616,171913216,170708992
2023-03-22 06:20:00,1915744256,171311104,170663936
2023-03-22 06:24:00,1695449088,167391232,169537536
2023-03-22 06:28:00,1734823936,168939520,169656320
2023-03-22 06:32:00,1708257280,168247296,169996288
2023-03-22 06:36:00,1802055680,169103360,168165376
2023-03-22 06:40:00,1842110464,169975808,171073536
2023-03-22 06:44:00,1692811264,168173568,167260160
2023-03-22 06:48:00,1739337728,167587840,168116224
2023-03-22 06:52:00,1706491904,168271872,166236160
2023-03-22 06:56:00,1692979200,171712512,165478400
2023-03-22 07:00:00,1905287168,166793216,166748160
2023-03-22 07:04:00,1659002880,171696128,171364352
2023-03-22 07:08:00,1721573376,168677376,167448576
2023-03-22 07:12:00,1678589952,171130880,165732352
2023-03-22 07:16:00,1701261312,169500672,167305216
2023-03-22 07:20:00,1743847424,170070016,170569728
2023-03-22 07:24:00,1728790528,168476672,165011456
2023-03-22 07:28:00,1728499712,168386560,171638784
2023-03-22 07:32:00,1724002304,172429312,170033152
2023-03-22 07:36:00,1757777920,168300544,170737664
2023-03-22 07:40:00,1925763072,169951232,170409984
2023-03-22 07:44:00,1701216256,167141376,168017920
2023-03-22 07:48:00,1703952384,170323968,170831872
2023-03-22 07:52:00,1734250496,170057728,171278336
2023-03-22 07:56:00,1707700224,168718336,170192896
2023-03-22 08:00:00,1932730368,169598976,169594880
2023-03-22 08:04:00,1741766656,166154240,165203968
2023-03-22 08:08:00,1732767744,169185280,171687936
2023-03-22 08:12:00,1718554624,172781568,164368384
2023-03-22 08:16:00,1700564992,172056576,165896192
2023-03-22 08:20:00,1744236544,167809024,164872192
2023-03-22 08:24:00,1734004736,169713664,170455040
2023-03-22 08:28:00,1697878016,171974656,170643456
2023-03-22 08:32:00,1752514560,169021440,170156032
2023-03-22 08:36:00,1778098176,171192320,166756352
2023-03-22 08:40:00,1948901376,169811968,165560320
2023-03-22 08:44:00,1714593792,171950080,168747008
2023-03-22 08:48:00,1677705216,167038976,168181760
2023-03-22 08:52:00,1674092544,169390080,170475520
2023-03-22 08:56:00,1740632064,168665088,167518208
2023-03-22 09:00:00,1843998720,169332736,170512384
2023-03-22 09:04:00,1676521472,168411136,165052416
2023-03-22 09:08:00,1748078592,167497728,169115648
2023-03-22 09:12:00,1678606336,170532864,171175936
2023-03-22 09:16:00,1721622528,170479616,165986304
2023-03-22 09:20:00,1859588096,168869888,168607744
2023-03-22 09:24:00,1659023360,169144320,166825984
2023-03-22 09:28:00,1726001152,172158976,170569728
2023-03-22 09:32:00,1689894912,169938944,164143104
2023-03-22 09:36:00,1720295424,167591936,171470848
2023-03-22 09:40:00,1903693824,169111552,170643456
2023-03-22 09:44:00,1713266688,168849408,170254336
2023-03-22 09:48:00,1691717632,167002112,166612992
2023-03-22 09:52:00,1724928000,168706048,168284160
2023-03-22 09:56:00,1689309184,169664512,167702528
2023-03-22 10:00:00,1877508096,165101568,166039552
2023-03-22 10:04:00,1689235456,169136128,165212160
2023-03-22 10:08:00,1736765440,169660416,169619456
2023-03-22 10:12:00,1705320448,171114496,165371904
2023-03-22 10:16:00,1747128320,164511744,169910272
2023-03-22 10:20:00,1846673408,167575552,170811392
2023-03-22 10:24:00,1691295744,168218624,169865216
2023-03-22 10:28:00,1716641792,164343808,170508288
2023-03-22 10:32:00,1698820096,167915520,171229184
2023-03-22 10:36:00,1725157376,168194048,162770944
2023-03-22 10:40:00,1900732416,167964672,171073536
2023-03-22 10:44:00,1703264256,167751680,170823680
2023-03-22 10:48:00,1700753408,167104512,169590784
2023-03-22 10:52:00,1701502976,169701376,170487808
2023-03-22 10:56:00,1702215680,169127936,165871616
2023-03-22 11:00:00,1910980608,166846464,168648704
2023-03-22 11:04:00,1717583872,166973440,166486016
2023-03-22 11:08:00,1697644544,171659264,167505920
2023-03-22 11:12:00,1728962560,169017344,171134976
2023-03-22 11:16:00,1677029376,169345024,169304064
2023-03-22 11:20:00,1890541568,169185280,170553344
2023-03-22 11:24:00,1702920192,167870464,165224448
2023-03-22 11:28:00,1726365696,169054208,168808448
2023-03-22 11:32:00,1741021184,169930752,165519360
2023-03-22 11:36:00,1685569536,170377216,170840064
2023-03-22 11:40:00,1740451840,169766912,163553280
2023-03-22 11:44:00,1736003584,171016192,170196992
2023-03-22 11:48:00,1687314432,165531648,168816640
2023-03-22 11:52:00,1744076800,168710144,168095744
2023-03-22 11:56:00,1642139648,168095744,170336256
2023-03-22 12:00:00,1847287808,164679680,170192896
2023-03-22 12:04:00,1672704000,168804352,165183488
2023-03-22 12:08:00,1725177856,164859904,165310464
2023-03-22 12:12:00,1773314048,169910272,169279488
2023-03-22 12:16:00,1731289088,164487168,169910272
2023-03-22 12:20:00,1917702144,164732928,166391808
2023-03-22 12:24:00,1712173056,169451520,166309888
2023-03-22 12:28:00,1660014592,169459712,169967616
2023-03-22 12:32:00,1693913088,169938944,169795584
2023-03-22 12:36:00,1799770112,169959424,166793216
2023-03-22 12:40:00,1859629056,169435136,171401216
2023-03-22 12:44:00,1661501440,167587840,169443328
2023-03-22 12:48:00,1722052608,173015040,171499520
2023-03-22 12:52:00,1679458304,165412864,166637568
2023-03-22 12:56:00,1698336768,171343872,167223296
2023-03-22 13:00:00,1899732992,168714240,169660416
2023-03-22 13:04:00,1687842816,169299968,165879808
2023-03-22 13:08:00,1716604928,168693760,169648128
2023-03-22 13:12:00,1707761664,171438080,164913152
2023-03-22 13:16:00,1647804416,169234432,166543360
2023-03-22 13:20:00,1846521856,168890368,167313408
2023-03-22 13:24:00,1735712768,163930112,167374848
2023-03-22 13:28:00,1687523328,168550400,164982784
2023-03-22 13:32:00,1699540992,167522304,163373056
2023-03-22 13:36:00,1732026368,172990464,170962944
2023-03-22 13:40:00,1879605248,170024960,168857600
2023-03-22 13:44:00,1675177984,171216896,163860480
2023-03-22 13:48:00,1697017856,168243200,169963520
2023-03-22 13:52:00,1663324160,171450368,166420480
2023-03-22 13:56:00,1689747456,169324544,169627648
2023-03-22 14:00:00,1731141632,169484288,167415808
2023-03-22 14:04:00,1733599232,168800256,172826624
2023-03-22 14:08:00,1689489408,167895040,171220992
2023-03-22 14:12:00,1662078976,167796736,165896192
2023-03-22 14:16:00,1655218176,170524672,169046016
2023-03-22 14:20:00,1916432384,169283584,169656320
2023-03-22 14:24:00,1702477824,164909056,170430464
2023-03-22 14:28:00,1660620800,170143744,167505920
2023-03-22 14:32:00,1682006016,170545152,171593728
2023-03-22 14:36:00,1750777856,169541632,165584896
2023-03-22 14:40:00,1898741760,167944192,164806656
2023-03-22 14:44:00,1707769856,168103936,165888000
2023-03-22 14:48:00,1670397952,172204032,170016768
2023-03-22 14:52:00,1709985792,170364928,170475520
2023-03-22 14:56:00,1741221888,173690880,167641088
2023-03-22 15:00:00,1843695616,167616512,165642240
2023-03-22 15:04:00,1720877056,170766336,170176512
2023-03-22 15:08:00,1721978880,168996864,168493056
2023-03-22 15:12:00,1707683840,164196352,163971072
2023-03-22 15:16:00,1718177792,170344448,168988672
2023-03-22 15:20:00,1902747648,167571456,170340352
2023-03-22 15:24:00,1714409472,166338560,169742336
2023-03-22 15:28:00,1691533312,169209856,163086336
2023-03-22 15:32:00,1734684672,169451520,170188800
2023-03-22 15:36:00,1705623552,169385984,170766336
2023-03-22 15:40:00,1920086016,166707200,169304064
2023-03-22 15:44:00,1688080384,170274816,170467328
2023-03-22 15:48:00,1714737152,168497152,167301120
2023-03-22 15:52:00,1742069760,170029056,168226816
2023-03-22 15:56:00,1662476288,169734144,168546304
2023-03-22 16:00:00,1844609024,165617664,162816000
2023-03-22 16:04:00,1669402624,169160704,170102784
2023-03-22 16:08:00,1724878848,170143744,168742912
2023-03-22 16:12:00,1665376256,167485440,170528768
2023-03-22 16:16:00,1720143872,165212160,168054784
2023-03-22 16:20:00,1876570112,171106304,163299328
2023-03-22 16:24:00,1734983680,166969344,167596032
2023-03-22 16:28:00,1710833664,164823040,170008576
2023-03-22 16:32:00,1673551872,168288256,169844736
