"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-21 20:30:00,1.49,1.68,1.27
2023-03-21 20:32:00,1.74,2.21,1.38
2023-03-21 20:34:00,1.58,1.44,1.36
2023-03-21 20:36:00,1.34,0.930,1.28
2023-03-21 20:38:00,1.93,2.85,1.50
2023-03-21 20:40:00,1.44,0.690,1.37
2023-03-21 20:42:00,1.32,0.970,1.33
2023-03-21 20:44:00,1.10,0.820,1.24
2023-03-21 20:46:00,1.70,2.76,1.45
2023-03-21 20:48:00,1.76,2.11,1.49
2023-03-21 20:50:00,1.74,1.61,1.51
2023-03-21 20:52:00,1.64,1.60,1.50
2023-03-21 20:54:00,1.40,1.15,1.42
2023-03-21 20:56:00,1.36,0.970,1.39
2023-03-21 20:58:00,1.36,1.49,1.38
2023-03-21 21:00:00,1.36,1.80,1.37
2023-03-21 21:02:00,1.22,0.850,1.31
2023-03-21 21:04:00,1.06,0.830,1.23
2023-03-21 21:06:00,1.06,0.950,1.20
2023-03-21 21:08:00,1.06,1.07,1.18
2023-03-21 21:10:00,0.930,0.730,1.12
2023-03-21 21:12:00,0.830,0.710,1.04
2023-03-21 21:14:00,0.660,0.320,0.950
2023-03-21 21:16:00,0.740,0.640,0.950
2023-03-21 21:18:00,1.19,2.18,1.08
2023-03-21 21:20:00,1.18,1.14,1.08
2023-03-21 21:22:00,1.08,0.830,1.05
2023-03-21 21:24:00,1.29,1.83,1.12
2023-03-21 21:26:00,1.31,1.55,1.14
2023-03-21 21:28:00,1.16,0.890,1.09
2023-03-21 21:30:00,1.12,0.970,1.08
2023-03-21 21:32:00,1.42,1.79,1.20
2023-03-21 21:34:00,1.50,1.31,1.26
2023-03-21 21:36:00,1.76,2.35,1.38
2023-03-21 21:38:00,1.80,1.42,1.45
2023-03-21 21:40:00,1.41,0.680,1.35
2023-03-21 21:42:00,1.35,0.880,1.33
2023-03-21 21:44:00,1.37,1.26,1.34
2023-03-21 21:46:00,1.26,0.990,1.30
2023-03-21 21:48:00,1.06,0.750,1.22
2023-03-21 21:50:00,0.930,0.620,1.15
