"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-21 20:30:00,0,0,501,544176,92433,93753
2023-03-21 20:32:00,0,0,0,731227,176629,219364
2023-03-21 20:34:00,0,0,0,607209,91341,202706
2023-03-21 20:36:00,0,0,0,653995,167799,92615
2023-03-21 20:38:00,0,0,0,744880,171850,171668
2023-03-21 20:40:00,0,0,15792,554871,88064,86107
2023-03-21 20:42:00,0,0,0,707698,178677,170471
2023-03-21 20:44:00,0,0,0,610035,85288,152007
2023-03-21 20:46:00,0,0,0,664462,173670,112731
2023-03-21 20:48:00,0,0,0,716527,179905,185458
2023-03-21 20:50:00,0,0,0,536667,96848,80418
2023-03-21 20:52:00,0,0,0,695592,174353,169802
2023-03-21 20:54:00,0,0,0,583407,86699,152690
2023-03-21 20:56:00,0,0,0,680619,171895,104721
2023-03-21 20:58:00,0,0,0,729998,171986,173625
2023-03-21 21:00:00,0,0,0,538442,92069,86653
2023-03-21 21:02:00,0,0,0,712567,455612,264010
2023-03-21 21:04:00,0,0,0,607892,371325,197336
2023-03-21 21:06:00,0,0,228,668968,174945,112913
2023-03-21 21:08:00,0,0,0,730772,177649,167208
2023-03-21 21:10:00,0,0,910,558876,91204,91568
2023-03-21 21:12:00,0,0,0,716754,174080,172442
2023-03-21 21:14:00,0,0,0,591371,82785,148639
2023-03-21 21:16:00,0,0,0,680073,176538,101327
2023-03-21 21:18:00,0,0,0,726792,172305,166389
2023-03-21 21:20:00,0,0,0,549865,84924,83922
2023-03-21 21:22:00,0,0,0,728405,171622,164386
2023-03-21 21:24:00,0,0,0,681210,164523,149914
2023-03-21 21:26:00,0,0,410,758579,241527,175946
2023-03-21 21:28:00,0,0,410,718711,175627,180588
2023-03-21 21:30:00,0,0,0,553233,90931,94891
2023-03-21 21:32:00,0,0,0,724127,182181,220729
2023-03-21 21:34:00,0,0,0,604069,87472,191101
2023-03-21 21:36:00,0,0,0,690950,172578,108590
2023-03-21 21:38:00,0,0,728,723536,183728,171668
2023-03-21 21:40:00,0,0,728,522513,97758,95365
2023-03-21 21:42:00,0,0,774,715799,175536,224961
2023-03-21 21:44:00,0,0,0,629646,85333,195288
2023-03-21 21:46:00,0,0,0,675886,164022,99032
2023-03-21 21:48:00,0,0,0,700507,173670,175673
2023-03-21 21:50:00,0,0,0,538078,87063,94390
2023-03-21 21:52:00,0,0,0,745244,174581,180725
2023-03-21 21:54:00,0,0,0,583498,90886,165569
2023-03-21 21:56:00,0,0,455,662869,180452,117009
2023-03-21 21:58:00,0,0,455,723809,181680,184320
2023-03-21 22:00:00,0,0,0,550548,85060,87199
2023-03-21 22:02:00,0,0,0,730271,912437,549092
2023-03-21 22:04:00,0,0,0,611897,89930,156513
2023-03-21 22:06:00,0,0,0,670652,170803,108316
2023-03-21 22:08:00,0,0,0,727950,169574,174672
2023-03-21 22:10:00,0,0,0,538123,81237,84742
2023-03-21 22:12:00,0,0,0,716982,172988,178130
2023-03-21 22:14:00,0,0,0,628690,93025,153099
2023-03-21 22:16:00,0,0,0,661823,182500,107861
2023-03-21 22:18:00,0,0,0,735778,186732,230559
2023-03-21 22:20:00,0,0,0,555554,91341,94845
2023-03-21 22:22:00,0,0,137,714115,169074,180952
2023-03-21 22:24:00,0,0,137,559225,91068,157468
2023-03-21 22:26:00,0,0,1820,671198,163886,113505
2023-03-21 22:28:00,0,0,0,718848,174218,187551
2023-03-21 22:30:00,0,0,0,551686,92934,88519
2023-03-21 22:32:00,0,0,0,724673,178039,222003
2023-03-21 22:34:00,0,0,0,624913,95983,203389
2023-03-21 22:36:00,0,0,0,649307,175627,101399
2023-03-21 22:38:00,0,0,0,696775,178222,166571
2023-03-21 22:40:00,0,0,0,538305,89649,90021
2023-03-21 22:42:00,0,0,0,727086,179268,168801
2023-03-21 22:44:00,0,0,319,625186,90112,156285
2023-03-21 22:46:00,0,0,0,651218,171895,106496
2023-03-21 22:48:00,0,0,0,704057,182591,164417
2023-03-21 22:50:00,0,0,0,550593,87609,74350
2023-03-21 22:52:00,0,0,0,736051,178677,172851
2023-03-21 22:54:00,0,0,0,612625,86699,155967
2023-03-21 22:56:00,0,0,0,709018,174126,106724
2023-03-21 22:58:00,0,0,0,750322,183592,164250
2023-03-21 23:00:00,0,0,0,550788,94982,88929
2023-03-21 23:02:00,0,0,0,712613,457887,274113
2023-03-21 23:04:00,0,0,0,625368,370642,245214
2023-03-21 23:06:00,0,0,0,653084,174808,96210
2023-03-21 23:08:00,0,0,0,709518,173804,180770
2023-03-21 23:10:00,0,0,0,552914,91932,86517
2023-03-21 23:12:00,0,0,0,722716,180087,163066
2023-03-21 23:14:00,0,617206,228,603568,924352,157468
2023-03-21 23:16:00,0,616949,0,632195,1018493,113869
2023-03-21 23:18:00,0,0,0,701053,180178,176720
2023-03-21 23:20:00,0,0,0,558649,92797,94663
2023-03-21 23:22:00,0,0,0,725993,172851,176434
2023-03-21 23:24:00,0,0,0,607437,99487,146728
