"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf3de66de77bc)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf3de66de77bc)","Receive Total (lxcf97c652df312)"
2023-03-21 20:30:00,0,81.1,33657,61824,0,0,0,0,0,178,277,124,129,66.1,126,38.5,0,589,32.3,0,38.5,1788,4.27,133,0,65.8,41697,19,1808,6878,0,1338,81.1,0,35531,61772,0,0,0,0,0,224,113,29.0,21.9,40.6,35.2,19,0,698,26.2,0,19,188,4.13,31.6,0,41,28807,38.5,217,1160,0,1345
2023-03-21 20:32:00,0,84.0,28173,80474,0,0,0,0,62,178,278,118,117,66.1,116,530,0,608,31.9,0,38.5,1846,4.27,116,0,65.7,41618,19,1877,7010,0,1602,84.0,0,58905,88631,0,0,0,0,152,222,112,27.7,20.0,40.6,27.7,406,0,722,25.8,0,19,180,4.13,32.6,0,40.3,20247,38.5,221,1140,0,1600
2023-03-21 20:34:00,0,78.2,30003,58095,0,0,0,0,15.5,178,276,136,129,65.7,132,153,0,587,31.9,0,38.5,1944,4.27,133,0,66.1,41660,19,1957,7218,0,1872,78.2,0,36185,60991,0,0,0,0,38.1,222,105,32.0,21.9,40.6,31.6,107,0,695,25.8,0,19.4,214,4.13,36.5,0,41.4,24488,38.5,230,1192,0,1867
2023-03-21 20:36:00,0,75.6,24907,52452,0,0,0,0,0,178,280,130,129,65.8,121,38.5,0,587,31.9,0,38.5,1745,4.27,132,0,66.5,41673,19.4,1758,6841,0,1074,75.6,0,35256,59443,0,0.389,0,0,0,224,116,30.7,21.9,40.3,29.0,19,0,699,25.8,0,19.4,203,4.13,31.6,0,41.7,20313,38.5,221,1161,0,1075
2023-03-21 20:38:00,0,73.8,23322,50656,0,0,0.389,0,0,180,282,130,129,65.7,121,38.5,0,585,32.0,0,38.5,1936,4.50,122,0,65.3,41588,19.4,1957,7227,0,1871,73.8,0,35981,62478,0,0.389,0,0.389,0,221,119,30.3,21.9,40.7,29.0,19,0,702,26.0,0,19,193,4.37,29.0,0,40.6,17931,38.5,226,1159,0,1861
2023-03-21 20:40:00,0,75.2,32588,60614,0,0,0.389,0,0,181,272,124,124,65.8,121,38.5,0,587,31.2,0,38.5,1790,4.50,128,0,65.0,41628,19,1812,6873,0,1346,75.2,0,35496,59725,0,0,0,0.389,0,224,103,29.0,20.9,41.0,29.0,19.4,0,700,25.1,0,19,194,4.37,30.3,0,39.9,27749,38.5,220,1135,0,1336
2023-03-21 20:42:00,0,75.6,27952,80263,0,0,0,0,62,178,275,136,135,65.8,137,614,0.389,589,31.2,0,38.5,1885,4.73,133,0,65.0,41596,19,1881,7038,0,1609,75.6,0,58937,87894,0,0,0,0,152,224,107,31.6,22.8,41,32.9,412,0,699,25.1,0,19,219,4.60,31.6,0,39.9,20043,38.5,219,1170,0,1599
2023-03-21 20:44:00,0,75.6,33989,65968,0,0,0,0,62,177,280,124,129,65.3,127,614,0.389,589,31.2,0,38.9,1941,4.97,128,0,66.1,41676,19,1958,7183,0,1875,75.6,0,40009,67049,0,0,0,0,152,223,117,29.0,21.9,40.3,30.3,412,0,698,25.1,0,19,205,4.83,30.3,0,41.4,27689,38.5,220,1187,0,1872
2023-03-21 20:46:00,0,77.8,25176,52746,0,0,0,0,0,178,278,135,134,66.4,132,38.9,0,590,31.6,0,38.9,1791,4.97,122,0,65.7,41602,19,1863,7075,0,1345,77.8,0,35499,59966,0,0,0,0,0,222,114,31.6,22.8,41.5,31.6,19,0,698,25.5,0,19,187,4.83,29.0,0,41,20318,38.5,249,1175,0,1333
2023-03-21 20:48:00,0,76.3,25020,52485,0,0,0,0,0,177,277,136,140,66.4,132,38.5,0,586,31.7,0,38.5,1877,4.50,133,0,65.4,41609,19,1884,7348,0,1605,76.3,0,35742,60338,0,0,0,0,0,223,108,31.6,23.8,41,31.6,19,0,700,25.6,0,19,204,4.37,31.6,0,41,19898,38.5,224,1160,0,1596
2023-03-21 20:50:00,0,74.9,34842,63015,0,0,0,0,0,181,277,124,124,66.1,116,38.5,0,589,31.9,0,38.5,1810,4.27,121,0,65.8,41654,19,1825,6912,0,1341,74.9,0,35511,59799,0,0,0,0,0,223,113,29.0,21.3,41.4,27.7,19,0,698,25.8,0,19,210,4.13,29.0,0,42.1,30002,38.5,227,1123,0,1337
2023-03-21 20:52:00,0,77.8,29858,117225,0,0,0,0,15.5,181,279,124,118,65.4,121,161,0,588,31.9,0,38.5,1861,4.27,117,0.389,66.1,41605,19,1886,7126,0.389,1609,77.8,0,90971,126806,0,0,0,0,38.7,222,114,29.0,20.0,41,29.0,105,0,699,25.8,0,19,181,4.13,27.7,0,42.1,19289,38.9,224,1150,0,1601
2023-03-21 20:54:00,0,80.7,45252,179995,0,0.389,0,0,155,179,284,136,135,65.4,132,1567,0,586,32.3,0,38.5,1935,4.27,128,0,66.1,41648,19,1956,7186,0,1879,80.7,0,135203,181107,0.389,0,0,0,380,223,118,31.6,22.8,40.3,31.6,1032,0,700,26.2,0,19,195,4.13,30.3,0.389,41.7,29020,38.5,227,1165,0,1867
2023-03-21 20:56:00,0,82.9,27577,75687,0,0,0,0,62,177,275,130,129,66.2,126,735,0,585,31.9,0,38.5,1795,4.27,128,0,65.7,41547,19,1810,6900,0,1343,82.9,0,54962,83485,0,0,0,0,151,225,114,30.3,21.9,41.1,30.3,466,0,701,25.8,0,19,189,4.13,30.3,0,40.3,20275,38.5,216,1140,0,1337
2023-03-21 20:58:00,0,80.7,24056,51383,0,0,0,0,0,178,278,124,124,65.3,126,38.5,0,587,31.4,0,38.5,1871,4.27,122,0,66.1,41530,19,1895,7063,0,1610,80.7,0,35707,60479,0,0,0,0,0,225,106,29.0,20.9,39.9,30.3,19,0,699,25.4,0,19,197,4.13,29.0,0,40.6,18918,38.5,226,1113,0,1599
2023-03-21 21:00:00,0,76.3,35112,63315,0,0,0,0,0,178,277,124,128,65.0,120,36.4,0,592,31.7,0.389,38.5,1867,4.27,128,0,66.1,41639,19,1896,7077,0,1613,76.3,0,35780,60530,0,0,0,0,0,223,113,29.0,21.9,39.5,29.0,17.9,0,695,25.6,0,19,177,4.13,30.3,0,41,30005,38.5,209,1168,0,1602
