"Time","idle","iowait","irq","nice","softirq","steal","system","user"
2023-03-21 20:30:00,0.896,0.000667,0,0,0.00138,0.00113,0.0169,0.0708
2023-03-21 20:32:00,0.879,0.000917,0,0,0.00175,0.00142,0.0165,0.0891
2023-03-21 20:34:00,0.929,0.000792,0,0,0.00108,0.00150,0.0177,0.0367
2023-03-21 20:36:00,0.881,0.000833,0,0,0.00192,0.00104,0.0167,0.0878
2023-03-21 20:38:00,0.878,0.000625,0,0,0.00312,0.00142,0.0175,0.0895
2023-03-21 20:40:00,0.879,0.000625,0,0,0.00321,0.00129,0.0173,0.0868
2023-03-21 20:42:00,0.877,0.000833,0,0,0.00317,0.00142,0.0174,0.0884
2023-03-21 20:44:00,0.923,0.000667,0,0,0.00146,0.00150,0.0177,0.0412
2023-03-21 20:46:00,0.879,0.000792,0,0,0.00313,0.00138,0.0168,0.0884
2023-03-21 20:48:00,0.891,0.000833,0,0,0.00225,0.00171,0.0207,0.0684
2023-03-21 20:50:00,0.879,0.000708,0,0,0.00229,0.00121,0.0169,0.0873
2023-03-21 20:52:00,0.876,0.000667,0,0,0.00158,0.00154,0.0175,0.0902
2023-03-21 20:54:00,0.902,0.000667,0,0,0.00142,0.00179,0.0171,0.0632
2023-03-21 20:56:00,0.879,0.000708,0,0,0.00142,0.00108,0.0165,0.0885
2023-03-21 20:58:00,0.907,0.000625,0,0,0.00146,0.00188,0.0228,0.0512
2023-03-21 21:00:00,0.881,0.000792,0,0,0.00254,0.00146,0.0156,0.0870
2023-03-21 21:02:00,0.878,0.000750,0,0,0.00379,0.00125,0.0173,0.0885
2023-03-21 21:04:00,0.891,0.000792,0,0,0.00267,0.00158,0.0169,0.0766
2023-03-21 21:06:00,0.878,0.000792,0,0,0.00229,0.00129,0.0175,0.0889
2023-03-21 21:08:00,0.932,0.000708,0,0,0.00121,0.00154,0.0171,0.0318
2023-03-21 21:10:00,0.880,0.000708,0,0,0.00296,0.00129,0.0169,0.0870
2023-03-21 21:12:00,0.881,0.000583,0,0,0.00333,0.00171,0.0171,0.0880
2023-03-21 21:14:00,0.877,0.000667,0,0,0.00183,0.00142,0.0180,0.0893
2023-03-21 21:16:00,0.878,0.000583,0,0,0.00333,0.00129,0.0168,0.0888
2023-03-21 21:18:00,0.918,0.000750,0,0,0.00142,0.00208,0.0235,0.0363
2023-03-21 21:20:00,0.879,0.000583,0,0,0.00258,0.00142,0.0172,0.0890
2023-03-21 21:22:00,0.907,0.000708,0,0,0.00258,0.00146,0.0166,0.0600
2023-03-21 21:24:00,0.878,0.000833,0,0,0.00296,0.00150,0.0171,0.0887
2023-03-21 21:26:00,0.876,0.000875,0,0,0.00183,0.00138,0.0180,0.0906
2023-03-21 21:28:00,0.895,0.000708,0,0,0.00121,0.00162,0.0166,0.0731
2023-03-21 21:30:00,0.880,0.000667,0,0,0.00292,0.00129,0.0160,0.0891
2023-03-21 21:32:00,0.926,0.000750,0,0,0.00125,0.00158,0.0187,0.0377
2023-03-21 21:34:00,0.878,0.000833,0,0,0.00321,0.00142,0.0168,0.0894
2023-03-21 21:36:00,0.879,0.000708,0,0,0.00296,0.00137,0.0162,0.0888
2023-03-21 21:38:00,0.876,0.000625,0,0,0.00284,0.00150,0.0166,0.0896
2023-03-21 21:40:00,0.876,0.000667,0,0,0.00304,0.00171,0.0172,0.0890
2023-03-21 21:42:00,0.925,0.000833,0,0,0.000958,0.00208,0.0223,0.0301
2023-03-21 21:44:00,0.879,0.000750,0,0,0.00362,0.00125,0.0166,0.0876
2023-03-21 21:46:00,0.893,0.000708,0,0,0.00233,0.00192,0.0207,0.0661
2023-03-21 21:48:00,0.878,0.000708,0,0,0.00275,0.00137,0.0160,0.0887
2023-03-21 21:50:00,0.876,0.000625,0,0,0.00262,0.00162,0.0169,0.0896
2023-03-21 21:52:00,0.899,0.000875,0,0,0.00204,0.00142,0.0168,0.0677
2023-03-21 21:54:00,0.879,0.000625,0,0,0.00263,0.00104,0.0170,0.0894
2023-03-21 21:56:00,0.925,0.000792,0,0,0.000958,0.00142,0.0178,0.0397
2023-03-21 21:58:00,0.880,0.000833,0,0,0.00146,0.00183,0.0162,0.0889
2023-03-21 22:00:00,0.880,0.000792,0,0,0.00162,0.00125,0.0172,0.0875
2023-03-21 22:02:00,0.878,0.000708,0,0,0.00167,0.00167,0.0174,0.0867
2023-03-21 22:04:00,0.878,0.000833,0,0,0.00158,0.00133,0.0168,0.0893
2023-03-21 22:06:00,0.928,0.000708,0,0,0.00108,0.00133,0.0177,0.0375
2023-03-21 22:08:00,0.879,0.000708,0,0,0.00187,0.00117,0.0170,0.0879
2023-03-21 22:10:00,0.879,0.000792,0,0,0.00304,0.00146,0.0170,0.0879
2023-03-21 22:12:00,0.878,0.000750,0,0,0.00329,0.00133,0.0169,0.0885
2023-03-21 22:14:00,0.880,0.000792,0,0,0.00254,0.00146,0.0167,0.0870
2023-03-21 22:16:00,0.935,0.000750,0,0,0.00117,0.00179,0.0175,0.0295
2023-03-21 22:18:00,0.880,0.000667,0,0,0.00296,0.00163,0.0168,0.0883
2023-03-21 22:20:00,0.891,0.000875,0,0,0.00296,0.00154,0.0172,0.0751
2023-03-21 22:22:00,0.877,0.000875,0,0,0.00317,0.00158,0.0176,0.0897
2023-03-21 22:24:00,0.881,0.000708,0,0,0.00308,0.00125,0.0165,0.0886
2023-03-21 22:26:00,0.911,0.000792,0,0,0.00204,0.00146,0.0176,0.0540
2023-03-21 22:28:00,0.880,0.00100,0,0,0.00325,0.00125,0.0163,0.0875
2023-03-21 22:30:00,0.918,0.000833,0,0,0.00217,0.00142,0.0177,0.0481
2023-03-21 22:32:00,0.878,0.000708,0,0,0.00329,0.00129,0.0165,0.0895
2023-03-21 22:34:00,0.877,0.000750,0,0,0.00279,0.00137,0.0177,0.0898
2023-03-21 22:36:00,0.878,0.000708,0,0,0.00287,0.00204,0.0213,0.0804
2023-03-21 22:38:00,0.879,0.000708,0,0,0.00313,0.00158,0.0171,0.0872
2023-03-21 22:40:00,0.930,0.000625,0,0,0.000875,0.00150,0.0178,0.0343
2023-03-21 22:42:00,0.880,0.000750,0,0,0.00275,0.00138,0.0174,0.0877
2023-03-21 22:44:00,0.879,0.000708,0,0,0.00325,0.00158,0.0173,0.0885
2023-03-21 22:46:00,0.877,0.000667,0,0,0.00317,0.00125,0.0171,0.0892
2023-03-21 22:48:00,0.878,0.000625,0,0,0.00312,0.00183,0.0171,0.0888
2023-03-21 22:50:00,0.935,0.000708,0,0,0.000999,0.00150,0.0178,0.0286
2023-03-21 22:52:00,0.878,0.000875,0,0,0.00317,0.00133,0.0170,0.0873
2023-03-21 22:54:00,0.889,0.000833,0,0,0.00279,0.00117,0.0160,0.0798
2023-03-21 22:56:00,0.880,0.000750,0,0,0.00225,0.00133,0.0163,0.0888
2023-03-21 22:58:00,0.878,0.000667,0,0,0.00271,0.00154,0.0169,0.0896
2023-03-21 23:00:00,0.911,0.000750,0,0,0.00146,0.00200,0.0219,0.0472
2023-03-21 23:02:00,0.879,0.000917,0,0,0.00162,0.00158,0.0164,0.0889
2023-03-21 23:04:00,0.903,0.000917,0,0,0.00112,0.00154,0.0178,0.0642
2023-03-21 23:06:00,0.880,0.000792,0,0,0.00154,0.00138,0.0167,0.0898
2023-03-21 23:08:00,0.878,0.000833,0,0,0.00192,0.00179,0.0169,0.0893
2023-03-21 23:10:00,0.885,0.000667,0,0,0.00183,0.00196,0.0215,0.0723
2023-03-21 23:12:00,0.880,0.000792,0,0,0.00158,0.00129,0.0172,0.0875
2023-03-21 23:14:00,0.924,0.000750,0,0,0.00117,0.00154,0.0182,0.0389
2023-03-21 23:16:00,0.879,0.000708,0,0,0.00379,0.00142,0.0167,0.0899
2023-03-21 23:18:00,0.879,0.000875,0,0,0.00388,0.00171,0.0172,0.0879
2023-03-21 23:20:00,0.877,0.000750,0,0,0.00317,0.00125,0.0175,0.0886
2023-03-21 23:22:00,0.879,0.000667,0,0,0.00329,0.00154,0.0167,0.0875
2023-03-21 23:24:00,0.931,0.000667,0,0,0.00146,0.00158,0.0182,0.0337
2023-03-21 23:26:00,0.878,0.000792,0,0,0.00308,0.00121,0.0167,0.0892
2023-03-21 23:28:00,0.904,0.000708,0,0,0.00213,0.00146,0.0175,0.0608
2023-03-21 23:30:00,0.879,0.000833,0,0,0.00258,0.00133,0.0160,0.0878
2023-03-21 23:32:00,0.877,0.000750,0,0,0.00362,0.00154,0.0176,0.0888
2023-03-21 23:34:00,0.894,0.000708,0,0,0.00221,0.00171,0.0172,0.0711
2023-03-21 23:36:00,0.878,0.000792,0,0,0.00254,0.00150,0.0173,0.0887
2023-03-21 23:38:00,0.925,0.000792,0,0,0.00142,0.00196,0.0192,0.0368
2023-03-21 23:40:00,0.879,0.000708,0,0,0.00292,0.00121,0.0163,0.0894
2023-03-21 23:42:00,0.881,0.000708,0,0,0.00275,0.00146,0.0167,0.0878
2023-03-21 23:44:00,0.878,0.000667,0,0,0.00254,0.00125,0.0168,0.0886
2023-03-21 23:46:00,0.878,0.000708,0,0,0.00304,0.00117,0.0165,0.0880
2023-03-21 23:48:00,0.931,0.000708,0,0,0.000792,0.00154,0.0180,0.0334
2023-03-21 23:50:00,0.878,0.000792,0,0,0.00288,0.00142,0.0168,0.0890
2023-03-21 23:52:00,0.904,0.00108,0,0,0.00188,0.00167,0.0176,0.0610
