"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-21 20:30:00,250,250,0,46876,46876,0
2023-03-21 20:32:00,0,0,0,109682,109682,0
2023-03-21 20:34:00,0,0,0,101353,101353,0
2023-03-21 20:36:00,0,0,0,46308,46308,0
2023-03-21 20:38:00,0,0,0,85834,85834,0
2023-03-21 20:40:00,7896,7896,0,43054,43054,0
2023-03-21 20:42:00,0,0,0,85236,85236,0
2023-03-21 20:44:00,0,0,0,76004,76004,0
2023-03-21 20:46:00,0,0,0,56366,56366,0
2023-03-21 20:48:00,0,0,0,92729,92729,0
2023-03-21 20:50:00,0,0,0,40209,40209,0
2023-03-21 20:52:00,0,0,0,84901,84901,0
2023-03-21 20:54:00,0,0,0,76345,76345,0
2023-03-21 20:56:00,0,0,0,52361,52361,0
2023-03-21 20:58:00,0,0,0,86812,86812,0
2023-03-21 21:00:00,0,0,0,43327,43327,0
2023-03-21 21:02:00,0,0,0,132005,132005,0
2023-03-21 21:04:00,0,0,0,98668,98668,0
2023-03-21 21:06:00,114,114,0,56457,56457,0
2023-03-21 21:08:00,0,0,0,83604,83604,0
2023-03-21 21:10:00,455,455,0,45784,45784,0
2023-03-21 21:12:00,0,0,0,86221,86221,0
2023-03-21 21:14:00,0,0,0,74320,74320,0
2023-03-21 21:16:00,0,0,0,50663,50663,0
2023-03-21 21:18:00,0,0,0,83194,83194,0
2023-03-21 21:20:00,0,0,0,41961,41961,0
2023-03-21 21:22:00,0,0,0,82193,82193,0
2023-03-21 21:24:00,0,0,0,74957,74957,0
2023-03-21 21:26:00,205,205,0,87973,87973,0
2023-03-21 21:28:00,205,205,0,90294,90294,0
2023-03-21 21:30:00,0,0,0,47445,47445,0
2023-03-21 21:32:00,0,0,0,110364,110364,0
2023-03-21 21:34:00,0,0,0,95551,95551,0
2023-03-21 21:36:00,0,0,0,54295,54295,0
2023-03-21 21:38:00,364,364,0,85834,85834,0
2023-03-21 21:40:00,364,364,0,47682,47682,0
2023-03-21 21:42:00,387,387,0,112481,112481,0
2023-03-21 21:44:00,0,0,0,97644,97644,0
2023-03-21 21:46:00,0,0,0,49516,49516,0
2023-03-21 21:48:00,0,0,0,87836,87836,0
2023-03-21 21:50:00,0,0,0,47195,47195,0
2023-03-21 21:52:00,0,0,0,90362,90362,0
2023-03-21 21:54:00,0,0,0,82785,82785,0
2023-03-21 21:56:00,228,228,0,58505,58505,0
2023-03-21 21:58:00,228,228,0,92160,92160,0
2023-03-21 22:00:00,0,0,0,43600,43600,0
2023-03-21 22:02:00,0,0,0,274546,274546,0
2023-03-21 22:04:00,0,0,0,78256,78256,0
2023-03-21 22:06:00,0,0,0,54158,54158,0
2023-03-21 22:08:00,0,0,0,87336,87336,0
2023-03-21 22:10:00,0,0,0,42371,42371,0
2023-03-21 22:12:00,0,0,0,89065,89065,0
2023-03-21 22:14:00,0,0,0,76550,76550,0
2023-03-21 22:16:00,0,0,0,53931,53931,0
2023-03-21 22:18:00,0,0,0,115280,115280,0
2023-03-21 22:20:00,0,0,0,47423,47423,0
2023-03-21 22:22:00,68.3,68.3,0,90476,90476,0
2023-03-21 22:24:00,68.3,68.3,0,78734,78734,0
2023-03-21 22:26:00,910,910,0,56752,56752,0
2023-03-21 22:28:00,0,0,0,93776,93776,0
2023-03-21 22:30:00,0,0,0,44260,44260,0
2023-03-21 22:32:00,0,0,0,111002,111002,0
2023-03-21 22:34:00,0,0,0,101695,101695,0
2023-03-21 22:36:00,0,0,0,50699,50699,0
2023-03-21 22:38:00,0,0,0,83285,83285,0
2023-03-21 22:40:00,0,0,0,45010,45010,0
2023-03-21 22:42:00,0,0,0,84400,84400,0
2023-03-21 22:44:00,159,159,0,78143,78143,0
2023-03-21 22:46:00,0,0,0,53248,53248,0
2023-03-21 22:48:00,0,0,0,82209,82209,0
2023-03-21 22:50:00,0,0,0,37175,37175,0
2023-03-21 22:52:00,0,0,0,86426,86426,0
2023-03-21 22:54:00,0,0,0,77983,77983,0
2023-03-21 22:56:00,0,0,0,53362,53362,0
2023-03-21 22:58:00,0,0,0,82125,82125,0
2023-03-21 23:00:00,0,0,0,44464,44464,0
2023-03-21 23:02:00,0,0,0,137057,137057,0
2023-03-21 23:04:00,0,0,0,122607,122607,0
2023-03-21 23:06:00,0,0,0,48105,48105,0
2023-03-21 23:08:00,0,0,0,90385,90385,0
2023-03-21 23:10:00,0,0,0,43258,43258,0
2023-03-21 23:12:00,0,0,0,81533,81533,0
2023-03-21 23:14:00,114,114,0,78734,78734,0
