"Time","Load[5m]","Load[1m]","Load[15m]"
2023-03-21 20:30:00,0.620,0.410,0.530
2023-03-21 20:32:00,0.750,1.07,0.580
2023-03-21 20:34:00,0.690,0.630,0.580
2023-03-21 20:36:00,0.610,0.470,0.560
2023-03-21 20:38:00,0.660,0.950,0.580
2023-03-21 20:40:00,0.530,0.320,0.540
2023-03-21 20:42:00,0.490,0.320,0.520
2023-03-21 20:44:00,0.400,0.330,0.480
2023-03-21 20:46:00,0.990,1.92,0.690
2023-03-21 20:48:00,1.20,1.80,0.800
2023-03-21 20:50:00,1.19,1.08,0.850
2023-03-21 20:52:00,0.970,0.570,0.810
2023-03-21 20:54:00,0.730,0.300,0.740
2023-03-21 20:56:00,0.750,0.490,0.750
2023-03-21 20:58:00,0.660,0.380,0.720
2023-03-21 21:00:00,0.540,0.310,0.670
2023-03-21 21:02:00,0.480,0.340,0.630
2023-03-21 21:04:00,0.430,0.410,0.590
2023-03-21 21:06:00,0.400,0.310,0.560
2023-03-21 21:08:00,0.370,0.290,0.530
2023-03-21 21:10:00,0.310,0.160,0.490
2023-03-21 21:12:00,0.260,0.200,0.440
2023-03-21 21:14:00,0.220,0.120,0.410
2023-03-21 21:16:00,0.290,0.350,0.410
2023-03-21 21:18:00,0.580,1.25,0.500
2023-03-21 21:20:00,0.570,0.590,0.500
2023-03-21 21:22:00,0.510,0.470,0.490
2023-03-21 21:24:00,0.390,0.190,0.440
2023-03-21 21:26:00,0.450,0.480,0.460
2023-03-21 21:28:00,0.410,0.320,0.440
2023-03-21 21:30:00,0.400,0.390,0.430
2023-03-21 21:32:00,0.330,0.220,0.400
2023-03-21 21:34:00,0.450,0.450,0.440
2023-03-21 21:36:00,0.470,0.510,0.450
2023-03-21 21:38:00,0.370,0.190,0.420
2023-03-21 21:40:00,0.330,0.220,0.400
2023-03-21 21:42:00,0.240,0.0800,0.350
2023-03-21 21:44:00,0.280,0.340,0.360
2023-03-21 21:46:00,0.330,0.340,0.360
2023-03-21 21:48:00,0.320,0.320,0.360
2023-03-21 21:50:00,0.300,0.300,0.340
2023-03-21 21:52:00,0.550,0.810,0.430
2023-03-21 21:54:00,0.460,0.360,0.410
2023-03-21 21:56:00,0.370,0.190,0.380
2023-03-21 21:58:00,0.300,0.130,0.350
2023-03-21 22:00:00,0.320,0.390,0.360
2023-03-21 22:02:00,0.280,0.200,0.340
2023-03-21 22:04:00,0.320,0.430,0.350
2023-03-21 22:06:00,0.720,1.70,0.480
2023-03-21 22:08:00,0.650,0.560,0.490
2023-03-21 22:10:00,0.590,0.490,0.480
2023-03-21 22:12:00,0.520,0.340,0.460
2023-03-21 22:14:00,0.490,0.330,0.460
2023-03-21 22:16:00,0.530,0.860,0.470
2023-03-21 22:18:00,0.450,0.300,0.450
2023-03-21 22:20:00,0.400,0.370,0.430
2023-03-21 22:22:00,0.350,0.270,0.410
2023-03-21 22:24:00,0.320,0.280,0.380
2023-03-21 22:26:00,0.360,0.290,0.390
