"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc138fa602f19f)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc138fa602f19f)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-21 20:30:00,0,76.7,14146,46085,270,0,0,8881,4351,4394,0,1816,122,0,124,306,34.3,124,67597,4.83,0,31.6,65.8,65.6,0,9773,0.600,454,19040,306,2586,222,76.7,0,19486,126675,270,0,0,1864,1458,1443,0,220,34.7,0,20.9,379,24.5,20.9,2481,4.97,0,25.5,40.3,41.4,0,298,0.600,265,10803,440,1281,217
2023-03-21 20:32:00,0,84.4,13997,45982,286,0,0,9045,4704,4461,0,1874,122,0,124,307,30.7,119,67675,4.37,0,31.6,65.8,65.3,0,105,45.3,447,20241,506,2586,222,84.4,0,20911,117983,280,0,0,1843,1494,1431,0,221,29.0,0,20.9,378,19.7,20.0,2500,4.50,0.389,25.5,40.6,41.4,0,232,36.2,257,10494,587,1280,217
2023-03-21 20:34:00,0,84.4,12765,44728,286,0,0,9320,4363,4532,0,1952,122,0,124,305,32.9,136,67708,4.13,0,31.6,66.1,65.7,0,105,45.3,445,28203,508,2583,224,84.4,0,28861,125973,279,0,0,1928,1450,1446,0,225,29.0,0.389,20.9,379,22.5,22.8,2508,4.27,0.389,25.5,41.4,42.8,0,231,36.2,249,9257,586,1277,218
2023-03-21 20:36:00,0,86.2,15807,47877,269,0,0,8887,4744,4401,0,1817,122,0,124,309,34.3,130,67623,4.13,0,31.6,65.3,66.1,0,105,0,446,20347,306,2585,222,86.2,0,20770,116373,268,0,0,1871,1497,1442,0,233,29.0,0.389,25.8,378,24.2,21.9,2508,4.27,0,25.5,39.9,42.5,0,230,0,250,12472,440,1281,217
2023-03-21 20:38:00,0,83.7,16731,49136,268,0,0,9177,4827,6555,0,1889,110,0,118,309,30.7,124,67691,4.13,0,31.6,65.4,65.8,0,187,0.600,451,27789,306,2583,223,83.7,0,28192,129087,268,0,0,1889,1532,1558,0,240,26.3,0,20.0,378,19.7,20.9,2521,4.27,0,25.5,39.9,40.6,0,262,0.600,255,13410,439,1279,224
2023-03-21 20:40:00,0,80.7,12651,44505,270,0,0,9133,4383,4477,0.389,1890,122,0,118,305,31.5,124,67650,4.13,0,31.6,65.7,65.8,0,108,0,450,17941,306,2588,223,80.7,0,18388,114482,270,0,0,1929,1464,1455,0,240,29.0,0,20.0,379,20.6,20.9,2504,4.27,0,25.5,40.6,40.3,0,234,0,255,9297,441,1285,218
2023-03-21 20:42:00,0,82.2,12537,44410,270,0,0,8662,4738,4326,0.389,1746,127,0,123,306,32.9,141,67510,4.13,0,31.6,65.7,65.7,0,105,37.6,447,25918,505,2586,219,82.2,0,26576,122211,270,0,0,1850,1495,1446,0,218,30.3,0,20.9,378,22.4,23.8,2489,4.27,0,25.5,40.3,40.3,0,230,34.7,252,9026,588,1281,213
2023-03-21 20:44:00,0,89.5,13624,45540,269,0,0,9306,4367,4539,0,1955,133,0,129,305,32.1,130,67679,4.13,0,31.6,65.8,66.1,0,104,37.6,447,17884,507,2583,222,89.5,0,18563,116049,269,0,0,1895,1452,1462,0,225,31.6,0,21.9,378,21.5,21.9,2482,4.66,0,25.5,40.3,41.7,0,232,34.7,249,10114,587,1277,217
2023-03-21 20:46:00,0,83.3,15805,47827,270,0,0,8850,4743,4392,0,1869,121,0.389,124,305,30.7,136,67620,4.13,0,31.6,65.8,65.7,0,103,0,450,20313,306,2584,223,83.3,0,20747,116623,270,0,0,1804,1499,1465,0,246,29.0,0,21.3,379,19.7,22.8,2484,4.27,0,25.5,40.3,41.7,0,232,0,255,12468,439,1279,225
2023-03-21 20:48:00,0,80.4,15932,48195,269,0,0,9378,4739,4463,0,1888,122,0,118,304,34.3,136,67699,4.13,0,31.6,65.7,65.3,0,186,0.600,449,29679,305,2585,225,80.4,0,30098,127564,269,0,0,1904,1492,1449,0,236,29.4,0,20.0,380,29.3,22.8,2506,4.27,0,25.5,40.6,41,0,263,0.600,254,12609,439,1281,227
2023-03-21 20:50:00,0,73.4,12934,45378,269,0,0,9386,4382,27369,0,1959,128,0,135,306,32.5,124,67725,4.13,0,31.6,65.7,65.7,0,107,0.389,447,20204,305,2585,223,73.4,0,20645,140649,269,0,0,1966,1452,1984,0,225,30.3,0,22.8,379,21.6,20.9,2507,4.27,0,25.5,40.6,41.4,0,236,0,257,9586,440,1280,218
2023-03-21 20:52:00,0,78.2,13358,45251,269,0,0,8709,4832,4401,0,1757,128,0,129,307,30.7,124,67524,4.13,0,31.6,65.7,65.7,0,103,0.367,447,28948,307,2612,225,78.2,0,29360,125383,270,0,0,1792,1532,1476,0,217,30.3,0,21.9,379,19.7,20.9,2494,4.27,0,25.5,40.3,40.3,0,233,0.367,257,10027,438,1292,220
2023-03-21 20:54:00,0,83.7,13705,45777,269,0,0.389,9344,4443,4567,0,1976,128,0,135,310,31.5,136,67733,4.13,0,31.6,66.7,66.4,0,101,95.3,448,19178,807,2585,223,83.7,0,20195,117289,269,0.389,0,1884,1473,1454,0,244,30.3,0,22.8,375,20.7,22.8,2515,4.27,0,25.5,41,41.7,0,234,87.3,252,9934,806,1280,218
2023-03-21 20:56:00,0,86.2,17095,49312,269,0,0.389,8841,4749,4389,0,1822,133,0,134,309,32.9,130,67571,4.13,0,31.6,66.8,66.5,0,103,65.8,449,20313,654,2585,218,86.2,0,21137,117097,269,0.389,0,1835,1510,1450,0,230,31.6,0,22.8,376,22.5,21.9,2499,4.27,0,25.5,41.4,41.8,0,232,61.1,254,13466,697,1286,213
2023-03-21 20:58:00,0,84.4,17717,50086,269,0,0,9128,4755,4463,0,1875,133,0,129,307,32.1,124,67648,4.60,0,31.8,65.3,65.3,0,184,0,450,28739,307,2585,225,84.4,0,29161,126496,269,0,0,1922,1513,1461,0,207,31.6,0,21.9,377,21.6,20.9,2499,4.73,0,25.7,40.3,41.4,0,261,0.389,255,14389,440,1286,226
2023-03-21 21:00:00,0,77.8,13937,45676,269,0,0,9274,4353,4534,0,1960,121,0,129,306,30.7,129,67721,4.83,0,32.3,65.3,65.3,0,109,0.600,436,20174,308,2583,222,77.8,0,20632,117228,270,0,0,1848,1423,1430,0,216,29.0,0,21.9,378,19.7,21.9,2491,4.97,0,26.2,39.9,40.6,0,235,0.600,244,10577,438,1277,217
2023-03-21 21:02:00,0,73.8,14277,46035,269,0,0,8630,4726,4364,0,1762,128,0,124,307,32.9,130,67566,5.22,0,32.0,65.7,65.8,0,104,0.233,437,28513,313,2613,220,73.8,0,28917,124682,270,0,0.389,1712,1471,1442,0,210,30.3,0,20.9,377,27.5,21.9,2484,4.97,0,26.0,40.3,41.7,0,232,0.233,246,10940,433,1293,214
2023-03-21 21:04:00,0,77.1,14135,46016,269,0,0,9343,4390,4530,0,1956,133,0,140,308,31.5,130,67732,5.22,0,31.6,65.7,65.8,0,104,0,449,18813,310,2584,223,77.1,0,19251,115813,269,0,0.389,1899,1451,1409,0,198,31.6,0,23.8,378,21.3,21.9,2515,4.97,0,25.5,40.3,41,0.389,232,0,253,10782,437,1281,218
