,Time,Type,Response,Code
0,2023-03-22 18:49:20.666060,Public,0.005157,200
0,2023-03-22 18:49:20.786337,Public,0.017658,200
0,2023-03-22 18:49:20.908215,Public,0.017935,200
0,2023-03-22 18:49:21.017486,Public,0.006267,200
0,2023-03-22 18:49:21.137612,Public,0.017188,200
0,2023-03-22 18:49:21.261201,Public,0.02011,200
0,2023-03-22 18:49:21.372280,Public,0.00952,200
0,2023-03-22 18:49:21.492753,Public,0.01791,200
0,2023-03-22 18:49:21.605140,Public,0.009084,200
0,2023-03-22 18:49:21.711819,Public,0.00493,200
0,2023-03-22 18:49:21.827346,Public,0.013304,200
0,2023-03-22 18:49:21.942455,Public,0.012702,200
0,2023-03-22 18:49:22.049724,Public,0.004919,200
0,2023-03-22 18:49:22.169040,Public,0.016837,200
0,2023-03-22 18:49:22.289068,Public,0.016139,200
0,2023-03-22 18:49:22.396271,Public,0.004809,200
0,2023-03-22 18:49:22.514370,Public,0.016685,200
0,2023-03-22 18:49:22.620918,Public,0.0052,200
0,2023-03-22 18:49:22.727347,Public,0.005087,200
0,2023-03-22 18:49:22.847252,Public,0.017251,200
0,2023-03-22 18:49:22.971803,Public,0.020769,200
0,2023-03-22 18:49:23.080295,Public,0.005866,200
0,2023-03-22 18:49:23.201026,Public,0.018063,200
0,2023-03-22 18:49:23.323263,Public,0.018201,200
0,2023-03-22 18:49:23.444500,Public,0.017336,200
0,2023-03-22 18:49:23.566338,Public,0.018083,200
0,2023-03-22 18:49:23.675611,Public,0.006555,200
0,2023-03-22 18:49:23.795769,Public,0.017062,200
0,2023-03-22 18:49:23.905908,Public,0.00717,200
0,2023-03-22 18:49:24.014016,Public,0.006239,200
0,2023-03-22 18:49:24.135024,Public,0.018213,200
0,2023-03-22 18:49:24.257231,Public,0.017802,200
0,2023-03-22 18:49:24.376415,Public,0.015578,200
0,2023-03-22 18:49:24.485042,Public,0.006311,200
0,2023-03-22 18:49:24.607200,Public,0.019553,200
0,2023-03-22 18:49:24.717211,Public,0.007421,200
0,2023-03-22 18:49:24.823867,Public,0.005143,200
0,2023-03-22 18:49:24.930260,Public,0.005046,200
0,2023-03-22 18:49:25.037082,Public,0.005469,200
0,2023-03-22 18:49:25.151117,Public,0.012148,200
0,2023-03-22 18:49:25.271159,Public,0.017102,200
0,2023-03-22 18:49:25.382729,Public,0.009179,200
0,2023-03-22 18:49:25.489897,Public,0.005619,200
0,2023-03-22 18:49:25.601618,Public,0.009834,200
0,2023-03-22 18:49:25.722368,Public,0.018209,200
0,2023-03-22 18:49:25.839048,Public,0.013943,200
0,2023-03-22 18:49:25.952225,Public,0.009681,200
0,2023-03-22 18:49:26.062304,Public,0.008322,200
0,2023-03-22 18:49:26.168751,Public,0.004912,200
0,2023-03-22 18:49:26.274892,Public,0.004845,200
0,2023-03-22 18:49:26.388139,Public,0.011397,200
0,2023-03-22 18:49:26.509383,Public,0.018462,200
0,2023-03-22 18:49:26.618173,Public,0.005772,200
0,2023-03-22 18:49:26.724608,Public,0.005092,200
0,2023-03-22 18:49:26.831467,Public,0.005461,200
0,2023-03-22 18:49:26.938841,Public,0.005943,200
0,2023-03-22 18:49:27.045409,Public,0.005159,200
0,2023-03-22 18:49:27.160058,Public,0.012608,200
0,2023-03-22 18:49:27.281684,Public,0.017793,200
0,2023-03-22 18:49:27.406124,Public,0.020565,200
0,2023-03-22 18:49:27.526760,Public,0.017793,200
0,2023-03-22 18:49:27.635327,Public,0.005593,200
0,2023-03-22 18:49:27.742369,Public,0.00548,200
0,2023-03-22 18:49:27.849129,Public,0.005153,200
0,2023-03-22 18:49:27.955889,Public,0.005245,200
0,2023-03-22 18:49:28.061923,Public,0.004712,200
0,2023-03-22 18:49:28.168024,Public,0.004773,200
0,2023-03-22 18:49:28.288395,Public,0.017849,200
0,2023-03-22 18:49:28.396910,Public,0.005682,200
0,2023-03-22 18:49:28.518068,Public,0.018458,200
0,2023-03-22 18:49:28.625248,Public,0.004592,200
0,2023-03-22 18:49:28.737280,Public,0.010378,200
0,2023-03-22 18:49:28.857957,Public,0.017685,200
0,2023-03-22 18:49:28.983126,Public,0.01884,200
0,2023-03-22 18:49:29.090394,Public,0.005252,200
0,2023-03-22 18:49:29.210669,Public,0.017591,200
0,2023-03-22 18:49:29.339825,Public,0.025155,200
0,2023-03-22 18:49:29.447074,Public,0.005195,200
0,2023-03-22 18:49:29.566443,Public,0.016887,200
0,2023-03-22 18:49:29.673612,Public,0.005334,200
0,2023-03-22 18:49:29.781114,Public,0.006109,200
0,2023-03-22 18:49:29.887332,Public,0.004896,200
0,2023-03-22 18:49:30.008085,Public,0.018424,200
0,2023-03-22 18:49:30.119563,Public,0.009502,200
0,2023-03-22 18:49:30.227298,Public,0.005935,200
0,2023-03-22 18:49:30.343140,Public,0.013551,200
0,2023-03-22 18:49:30.457451,Public,0.011508,200
0,2023-03-22 18:49:30.569379,Public,0.009631,200
0,2023-03-22 18:49:30.675541,Public,0.004698,200
