,Time,Type,Response,Code
0,2023-03-22 08:49:05.285537,Public,0.005001,200
0,2023-03-22 08:49:05.391747,Public,0.004837,200
0,2023-03-22 08:49:05.503294,Public,0.009652,200
0,2023-03-22 08:49:05.615336,Public,0.009627,200
0,2023-03-22 08:49:05.722469,Public,0.005237,200
0,2023-03-22 08:49:05.832711,Public,0.008505,200
0,2023-03-22 08:49:05.945337,Public,0.009859,200
0,2023-03-22 08:49:06.054805,Public,0.007543,200
0,2023-03-22 08:49:06.161679,Public,0.005273,200
0,2023-03-22 08:49:06.268526,Public,0.005453,200
0,2023-03-22 08:49:06.375370,Public,0.005375,200
0,2023-03-22 08:49:06.481613,Public,0.004868,200
0,2023-03-22 08:49:06.588931,Public,0.005745,200
0,2023-03-22 08:49:06.695460,Public,0.004995,200
0,2023-03-22 08:49:06.801556,Public,0.004787,200
0,2023-03-22 08:49:06.908120,Public,0.005188,200
0,2023-03-22 08:49:07.014635,Public,0.005151,200
0,2023-03-22 08:49:07.122068,Public,0.005897,200
0,2023-03-22 08:49:07.228185,Public,0.004766,200
0,2023-03-22 08:49:07.335864,Public,0.006178,200
0,2023-03-22 08:49:07.442914,Public,0.005584,200
0,2023-03-22 08:49:07.549697,Public,0.005353,200
0,2023-03-22 08:49:07.655764,Public,0.004765,200
0,2023-03-22 08:49:07.763137,Public,0.005907,200
0,2023-03-22 08:49:07.870733,Public,0.005902,200
0,2023-03-22 08:49:07.977553,Public,0.005251,200
0,2023-03-22 08:49:08.083956,Public,0.004975,200
0,2023-03-22 08:49:08.190492,Public,0.005169,200
0,2023-03-22 08:49:08.296675,Public,0.004815,200
0,2023-03-22 08:49:08.402954,Public,0.004941,200
0,2023-03-22 08:49:08.509335,Public,0.005018,200
0,2023-03-22 08:49:08.616159,Public,0.005432,200
0,2023-03-22 08:49:08.722445,Public,0.004904,200
0,2023-03-22 08:49:08.829041,Public,0.005179,200
0,2023-03-22 08:49:08.935335,Public,0.004939,200
0,2023-03-22 08:49:09.041648,Public,0.004977,200
0,2023-03-22 08:49:09.147747,Public,0.00478,200
0,2023-03-22 08:49:09.261389,Public,0.011598,200
0,2023-03-22 08:49:09.368300,Public,0.004759,200
0,2023-03-22 08:49:09.474929,Public,0.005255,200
0,2023-03-22 08:49:09.581304,Public,0.00501,200
0,2023-03-22 08:49:09.688806,Public,0.006029,200
0,2023-03-22 08:49:09.795768,Public,0.005568,200
0,2023-03-22 08:49:09.902604,Public,0.005462,200
0,2023-03-22 08:49:10.025243,Public,0.019977,200
0,2023-03-22 08:49:10.133130,Public,0.004973,200
0,2023-03-22 08:49:10.239486,Public,0.005017,200
0,2023-03-22 08:49:10.345632,Public,0.004768,200
0,2023-03-22 08:49:10.454235,Public,0.007118,200
0,2023-03-22 08:49:10.561171,Public,0.005282,200
0,2023-03-22 08:49:10.667740,Public,0.005095,200
0,2023-03-22 08:49:10.776625,Public,0.007057,200
0,2023-03-22 08:49:10.884873,Public,0.006717,200
0,2023-03-22 08:49:10.992415,Public,0.005964,200
0,2023-03-22 08:49:11.098733,Public,0.004982,200
0,2023-03-22 08:49:11.204973,Public,0.004896,200
0,2023-03-22 08:49:11.311855,Public,0.0055,200
0,2023-03-22 08:49:11.421789,Public,0.00824,200
0,2023-03-22 08:49:11.528866,Public,0.00514,200
0,2023-03-22 08:49:11.635065,Public,0.004799,200
0,2023-03-22 08:49:11.741850,Public,0.005274,200
0,2023-03-22 08:49:11.848511,Public,0.005263,200
0,2023-03-22 08:49:11.956137,Public,0.006017,200
0,2023-03-22 08:49:12.065236,Public,0.007533,200
0,2023-03-22 08:49:12.171554,Public,0.004954,200
0,2023-03-22 08:49:12.277663,Public,0.004813,200
0,2023-03-22 08:49:12.383902,Public,0.004909,200
0,2023-03-22 08:49:12.495835,Public,0.010042,200
0,2023-03-22 08:49:12.602406,Public,0.004716,200
0,2023-03-22 08:49:12.709273,Public,0.005462,200
0,2023-03-22 08:49:12.815747,Public,0.005078,200
0,2023-03-22 08:49:12.922341,Public,0.005239,200
